locus_tag	gene_name	old_locus_tag	group	gene_length	gc_content	gc3	gc3_deviation	nc	rare_codon_freq
SC_RS26000			Shielded	612	0.7450980392156863	0.946078431372549	0.03174968099385045	29.465044351676433	0.024630541871921183
SC_RS22590			Shielded	207	0.714975845410628	0.8695652173913043	0.04476353298739422	32.078526280873966	0.029411764705882353
SC_RS41270			Shielded	573	0.6893542757417103	0.8115183246073299	0.10281042577136867	43.1813527239194	0.042105263157894736
SC_RS40940			Shielded	384	0.6979166666666666	0.8359375	0.07839125037869854	36.77320399729272	0.06299212598425197
SC_RS40930			Shielded	507	0.6706114398422091	0.8224852071005917	0.09184354327810684	34.65750752200588	0.05952380952380952
SC_RS40695			Shielded	711	0.739803094233474	0.9029535864978903	0.011375163880808281	37.718361364026464	0.05084745762711865
SC_RS40665			Shielded	456	0.6776315789473685	0.8618421052631579	0.05248664511554069	37.67489276423554	0.046357615894039736
SC_RS39710			Shielded	1041	0.7243035542747358	0.9106628242074928	0.003665926171205758	33.526204186512395	0.028901734104046242
SC_RS38605			Shielded	888	0.6880630630630631	0.9391891891891891	0.024860438810490604	31.338254258408767	0.023728813559322035
SC_RS37690			Shielded	2799	0.7413361914969632	0.8971061093247589	0.01722264105393967	32.54351117340972	0.03111587982832618
SC_RS37660			Shielded	348	0.7068965517241379	0.9137931034482759	0.0005356469304226286	32.147613358059566	0.008695652173913044
SC_RS37565			Shielded	552	0.7192028985507246	0.9402173913043478	0.025888640925649242	30.95832534113464	0.02185792349726776
SC_RS37535			Shielded	537	0.7392923649906891	0.9162011173184358	0.0018723669397372467	33.67545646081383	0.03932584269662921
SC_RS37510			Shielded	762	0.7716535433070866	0.9488188976377953	0.034490147259096715	31.611280342772936	0.023715415019762844
SC_RS37435			Shielded	408	0.7426470588235294	0.9411764705882353	0.02684772020953674	32.28918074142629	0.02962962962962963
SC_RS37350			Shielded	918	0.7668845315904139	0.9019607843137255	0.012367966064973035	32.36446321518342	0.029508196721311476
SC_RS36140			Shielded	597	0.7202680067001676	0.9396984924623115	0.02536974208361298	31.353118222250753	0.020202020202020204
SC_RS35560			Shielded	657	0.7488584474885844	0.958904109589041	0.0445753592103425	31.03191214341984	0.01834862385321101
SC_RS35300			Shielded	432	0.7199074074074074	0.9166666666666666	0.0023379162879680893	33.138484936207746	0.027972027972027972
SC_RS35020			Shielded	678	0.7374631268436578	0.9247787610619469	0.010450010683248356	33.07442304659271	0.022222222222222223
SC_RS34880			Shielded	864	0.7060185185185185	0.9444444444444444	0.03011569406574588	32.63888197862692	0.027874564459930314
SC_RS34245			Shielded	252	0.7619047619047619	0.9166666666666666	0.0023379162879680893	31.355543077644036	0.024096385542168676
SC_RS33805			Shielded	648	0.7114197530864198	0.9166666666666666	0.0023379162879680893	30.92908194852288	0.027906976744186046
SC_RS33575			Shielded	648	0.6574074074074074	0.8564814814814815	0.05784726889721703	36.0152211960599	0.046511627906976744
SC_RS33480			Shielded	813	0.7380073800738007	0.9704797047970479	0.056150954418349386	28.938844436665338	0.014814814814814815
SC_RS32970			Shielded	570	0.7491228070175439	0.9789473684210527	0.06461861804235414	28.4428708252471	0.010582010582010581
SC_RS32950			Shielded	660	0.7212121212121212	0.9636363636363636	0.049307613257665084	30.24852098512361	0.0228310502283105
SC_RS32285			Shielded	1104	0.6476449275362319	0.9646739130434783	0.05034516266477973	30.517357191374295	0.010899182561307902
SC_RS32280			Shielded	1212	0.7318481848184818	0.9133663366336634	0.00096241374503514	33.28902457720084	0.04962779156327544
SC_RS32255			Shielded	861	0.6945412311265969	0.9059233449477352	0.008405405430963353	34.5806758823975	0.05244755244755245
SC_RS32230			Shielded	1530	0.6973856209150326	0.9705882352941176	0.0562594849154191	26.853438104324297	0.005893909626719057
SC_RS31920			Shielded	645	0.7271317829457364	0.9162790697674419	0.001950319388743349	32.04942657502673	0.03271028037383177
SC_RS31650			Shielded	654	0.6513761467889908	0.8256880733944955	0.08864067698420308	36.5852160297307	0.06451612903225806
SC_RS31400			Shielded	1266	0.7669826224328594	0.9407582938388626	0.026429543460164018	32.89718996138299	0.026128266033254157
SC_RS31340			Shielded	1536	0.6764322916666666	0.92578125	0.01145249962130146	30.741458577927652	0.03522504892367906
SC_RS31130			Shielded	687	0.7132459970887919	0.9563318777292577	0.04200312735055911	28.13499793585593	0.02631578947368421
SC_RS31005			Shielded	381	0.6850393700787402	0.7874015748031497	0.1269271755755489	41.15904587011251	0.06349206349206349
SC_RS30985			Shielded	864	0.7141203703703703	0.9409722222222222	0.02664347184352367	30.31682983862996	0.024390243902439025
SC_RS30675			Shielded	1014	0.7258382642998028	0.9467455621301775	0.032416811751478924	30.11513208555654	0.02967359050445104
SC_RS30495			Shielded	516	0.6744186046511628	0.936046511627907	0.021717761249208434	32.377601504763966	0.029239766081871343
SC_RS30335			Shielded	558	0.7473118279569892	0.946236559139785	0.031907808761086454	30.51911423982831	0.016216216216216217
SC_RS30020			Shielded	234	0.6282051282051282	0.8333333333333334	0.08099541704536517	35.45849022172207	0.06493506493506493
SC_RS29960			Shielded	645	0.7255813953488373	0.9441860465116279	0.029857296132929312	30.447853176511586	0.009345794392523364
SC_RS29825			Shielded	603	0.7396351575456053	0.9502487562189055	0.03592000584020694	31.45624677805718	0.03
SC_RS29770			Shielded	591	0.6954314720812182	0.9390862944162437	0.024757544037545154	31.974130799496884	0.02040816326530612
SC_RS29670			Shielded	495	0.7272727272727273	0.9636363636363636	0.049307613257665084	25.9775821085844	0.006097560975609756
SC_RS29205			Shielded	477	0.6561844863731656	0.9182389937106918	0.003910243331993302	36.05172239440369	0.03164556962025317
SC_RS29195			Shielded	669	0.7159940209267563	0.968609865470852	0.0542811150921535	29.13806564073184	0.02252252252252252
SC_RS29100			Shielded	642	0.6869158878504673	0.9485981308411215	0.034269380462423005	30.67495524545317	0.023474178403755867
SC_RS28600			Shielded	735	0.7238095238095238	0.9591836734693877	0.04485492309068917	27.661996954665312	0.01639344262295082
SC_RS28505			Shielded	1083	0.7423822714681441	0.9362880886426593	0.021959338263960793	31.034167492583666	0.03333333333333333
SC_RS28335			Shielded	765	0.7032679738562092	0.9568627450980393	0.04253399471934072	29.84403195452893	0.01968503937007874
SC_RS28260			Shielded	684	0.6842105263157895	0.8903508771929824	0.023977873185716092	32.738037100912436	0.06167400881057269
SC_RS27900			Shielded	672	0.7142857142857143	0.9241071428571429	0.009778392478444364	32.30611106297261	0.03139013452914798
SC_RS27660			Shielded	753	0.7370517928286853	0.9282868525896414	0.013958102210942847	31.92694724993057	0.048
SC_RS27585			Shielded	768	0.6341145833333334	0.80859375	0.10573500037869854	42.59824945243841	0.09803921568627451
SC_RS27345			Shielded	525	0.6761904761904762	0.9142857142857143	4.3036092984283236e-05	32.56426386189459	0.028735632183908046
SC_RS27330			Shielded	939	0.7401490947816827	0.9297124600638977	0.015383709685199198	32.0376530572561	0.022435897435897436
SC_RS27290			Shielded	918	0.7113289760348583	0.8562091503267973	0.0581196000519012	35.21060145448937	0.04590163934426229
SC_RS26925			Shielded	597	0.7236180904522613	0.9346733668341709	0.020344616455472364	33.529234647381045	0.030303030303030304
