SCO_ID	gene_id	gene_name	contig	start	end	strand	pfam_TF_flag	tf_related_domains	all_domains	ZorroAranda_regulator_type	CastroMelchor_regulator_flag	sigma_flag	sigma_group	TF_family	source_flags	product
	SC_RS02065		chromosome	577	699	+	no			NA	0	no	NA	NA	NA	hypothetical protein
	SC_RS02070		chromosome	800	1123	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0002	SC_RS02075		chromosome	1144	3813	+	no			NA	0	no	NA	NA	NA	DEAD/DEAH box helicase
SCO0003	SC_RS02080		chromosome	3869	6220	+	no			NA	0	no	NA	NA	NA	Helicase associated domain protein
SCO0004	SC_RS02085		chromosome	6346	7173	+	no			NA	0	no	NA	NA	NA	TnsA-like heteromeric transposase endonuclease subunit
SCO0005	SC_RS02090		chromosome	7154	9307	+	no			NA	0	no	NA	NA	NA	Mu transposase C-terminal domain-containing protein
SCO0006	SC_RS02095		chromosome	9424	10410	+	no			NA	0	no	NA	NA	NA	ATP-binding protein
	SC_RS02100		chromosome	10407	11363	+	no			NA	0	no	NA	NA	NA	TniQ family protein
SCO0010	SC_RS02110		chromosome	12366	13457	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0012	SC_RS02120		chromosome	14044	14343	-	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0014	SC_RS02130		chromosome	15317	15595	-	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0015	SC_RS02135	nhaA	chromosome	16070	17302	-	no			NA	0	no	NA	NA	NA	Na+/H+ antiporter NhaA
SCO0016	SC_RS02140		chromosome	17715	17918	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0017	SC_RS02145		chromosome	17919	18263	+	no			NA	0	no	NA	NA	NA	DUF6233 domain-containing protein
SCO0018	SC_RS02150		chromosome	18485	19363	-	no			NA	0	no	NA	NA	NA	ANTAR domain-containing protein
SCO0020	SC_RS02155		chromosome	19971	21620	+	no			NA	0	no	NA	NA	NA	ISL3 family transposase
SCO0021	SC_RS02160		chromosome	21758	22210	+	no			NA	0	no	NA	NA	NA	hypothetical protein
SCO0026	SC_RS02180		chromosome	23343	23831	+	no			NA	0	no	NA	NA	NA	hypothetical protein
