sample	timepoint	chrom	position	strand	mod_type	group	coverage	mod_freq	n_modified	n_canonical	n_other_mod	n_delete	n_fail	n_diff
1-1	T1	NC_003888.3	131	-	5mC	CCGG_pos_5mC	11	0.0	0	3	8	0	21	0
1-1	T1	NC_003888.3	131	-	4mC	CCGG_4mC	11	72.73	8	3	0	0	21	0
1-1	T1	NC_003888.3	138	-	6mA	6mA	19	78.95	15	4	0	0	6	7
1-1	T1	NC_003888.3	139	-	6mA	6mA	6	33.33	2	4	0	1	13	12
1-1	T1	NC_003888.3	1030	+	6mA	6mA	2	100.0	2	0	0	0	0	0
1-1	T1	NC_003888.3	2721	+	6mA	6mA	5	60.0	3	2	0	0	4	0
1-1	T1	NC_003888.3	6872	+	5mC	CCGG_pos_5mC	7	0.0	0	1	6	0	5	0
1-1	T1	NC_003888.3	6872	+	4mC	CCGG_4mC	7	85.71	6	1	0	0	5	0
1-1	T1	NC_003888.3	7324	-	5mC	CCGG_pos_5mC	10	0.0	0	2	8	0	14	1
1-1	T1	NC_003888.3	7324	-	4mC	CCGG_4mC	10	80.0	8	2	0	0	14	1
1-1	T1	NC_003888.3	7328	-	6mA	6mA	22	36.36	8	14	0	0	3	0
1-1	T1	NC_003888.3	8437	-	5mC	CCGG_pos_5mC	9	0.0	0	4	5	0	15	0
1-1	T1	NC_003888.3	8437	-	4mC	CCGG_4mC	9	55.56	5	4	0	0	15	0
1-1	T1	NC_003888.3	8710	+	6mA	6mA	7	71.43	5	2	0	0	5	0
1-1	T1	NC_003888.3	10764	+	6mA	6mA	7	42.86	3	4	0	0	1	0
1-1	T1	NC_003888.3	14895	-	6mA	6mA	17	52.94	9	8	0	0	5	0
1-1	T1	NC_003888.3	15442	-	5mC	CCGG_pos_5mC	8	0.0	0	1	7	0	16	1
1-1	T1	NC_003888.3	15442	-	4mC	CCGG_4mC	8	87.5	7	1	0	0	16	1
1-1	T1	NC_003888.3	15890	+	5mC	CCGG_pos_5mC	7	0.0	0	1	6	1	7	1
1-1	T1	NC_003888.3	15890	+	4mC	CCGG_4mC	7	85.71	6	1	0	1	7	1
1-1	T1	NC_003888.3	22976	+	5mC	CCGG_pos_5mC	4	0.0	0	0	4	0	9	0
1-1	T1	NC_003888.3	22976	+	4mC	CCGG_4mC	4	100.0	4	0	0	0	9	0
1-1	T1	NC_003888.3	23405	+	6mA	6mA	7	42.86	3	4	0	1	4	0
1-1	T1	NC_003888.3	24110	+	6mA	6mA	8	62.5	5	3	0	0	5	0
1-1	T1	NC_003888.3	24113	+	6mA	6mA	7	71.43	5	2	0	0	6	0
1-1	T1	NC_003888.3	26182	+	6mA	6mA	6	50.0	3	3	0	0	6	0
1-1	T1	NC_003888.3	28089	+	5mC	CCGG_pos_5mC	4	0.0	0	1	3	0	17	0
1-1	T1	NC_003888.3	28089	+	4mC	CCGG_4mC	4	75.0	3	1	0	0	17	0
1-1	T1	NC_003888.3	28196	+	5mC	CCGG_pos_5mC	2	0.0	0	0	2	0	12	8
1-1	T1	NC_003888.3	28196	+	4mC	CCGG_4mC	2	100.0	2	0	0	0	12	8
1-1	T1	NC_003888.3	29409	+	6mA	6mA	18	61.11	11	7	0	1	3	0
1-1	T1	NC_003888.3	31828	-	5mC	CCGG_pos_5mC	6	0.0	0	2	4	0	22	0
1-1	T1	NC_003888.3	31828	-	4mC	CCGG_4mC	6	66.67	4	2	0	0	22	0
1-1	T1	NC_003888.3	31832	-	6mA	6mA	21	47.62	10	11	0	1	6	0
1-1	T1	NC_003888.3	33484	+	5mC	CCGG_pos_5mC	6	0.0	0	0	6	0	17	0
1-1	T1	NC_003888.3	33484	+	4mC	CCGG_4mC	6	100.0	6	0	0	0	17	0
1-1	T1	NC_003888.3	35451	+	5mC	CCGG_pos_5mC	3	0.0	0	0	3	0	22	0
1-1	T1	NC_003888.3	35451	+	4mC	CCGG_4mC	3	100.0	3	0	0	0	22	0
1-1	T1	NC_003888.3	36304	+	6mA	6mA	16	25.0	4	12	0	0	11	0
1-1	T1	NC_003888.3	40677	+	5mC	CCGG_pos_5mC	9	0.0	0	0	9	0	16	0
1-1	T1	NC_003888.3	40677	+	4mC	CCGG_4mC	9	100.0	9	0	0	0	16	0
1-1	T1	NC_003888.3	43753	+	6mA	6mA	17	64.71	11	6	0	0	10	0
1-1	T1	NC_003888.3	45004	+	6mA	6mA	21	52.38	11	10	0	0	10	0
1-1	T1	NC_003888.3	49273	+	5mC	CCGG_pos_5mC	6	0.0	0	2	4	0	19	2
1-1	T1	NC_003888.3	49273	+	4mC	CCGG_4mC	6	66.67	4	2	0	0	19	2
1-1	T1	NC_003888.3	51465	-	5mC	CCGG_pos_5mC	9	0.0	0	2	7	0	21	3
1-1	T1	NC_003888.3	51465	-	4mC	CCGG_4mC	9	77.78	7	2	0	0	21	3
1-1	T1	NC_003888.3	51943	+	6mA	6mA	14	50.0	7	7	0	0	8	0
1-1	T1	NC_003888.3	52710	+	6mA	6mA	16	50.0	8	8	0	1	6	0
1-1	T1	NC_003888.3	57394	+	6mA	6mA	14	50.0	7	7	0	1	4	0
1-1	T1	NC_003888.3	58174	-	6mA	6mA	23	56.52	13	10	0	0	6	0
1-1	T1	NC_003888.3	58379	+	6mA	6mA	14	42.86	6	8	0	0	3	0
1-1	T1	NC_003888.3	69018	-	5mC	CCGG_pos_5mC	5	0.0	0	2	3	0	8	1
1-1	T1	NC_003888.3	69018	-	4mC	CCGG_4mC	5	60.0	3	2	0	0	8	1
1-1	T1	NC_003888.3	72030	+	6mA	6mA	12	16.67	2	10	0	1	6	3
1-1	T1	NC_003888.3	72667	+	5mC	CCGG_pos_5mC	10	0.0	0	1	9	0	11	1
1-1	T1	NC_003888.3	72667	+	4mC	CCGG_4mC	10	90.0	9	1	0	0	11	1
1-1	T1	NC_003888.3	75626	+	5mC	CCGG_pos_5mC	8	0.0	0	0	8	0	18	0
