position	strand	timepoint	frequency	rel_pos_in_motif	motif_base	in_CCGG_C1	in_CCGG_C2	in_CCGG_other_C	orientation
86222	+	T1	98.04	3	C	True	False	False	+
108750	+	T1	89.56	3	C	True	False	False	+
131563	+	T1	94.66	3	C	True	False	False	+
139070	+	T1	91.11	3	C	True	False	False	+
140453	+	T1	76.59	3	C	True	False	False	+
149840	-	T1	92.21	5	G	False	False	False	+
175601	+	T1	78.31	3	C	True	False	False	+
178710	-	T1	92.59	5	G	False	False	False	+
203228	-	T1	96.97	5	G	False	False	False	+
241148	-	T1	94.12	5	G	False	False	False	+
242078	-	T1	92.16	5	G	False	False	False	+
251362	-	T1	78.89	5	G	False	False	False	+
304667	-	T1	89.1	5	G	False	False	False	+
323419	-	T1	81.87	5	G	False	False	False	+
335038	+	T1	93.52	3	C	True	False	False	+
364738	-	T1	94.66	5	G	False	False	False	+
372882	-	T1	93.27	5	G	False	False	False	+
381782	-	T1	92.86	5	G	False	False	False	+
406538	+	T1	100.0	3	C	True	False	False	+
419901	-	T1	97.44	5	G	False	False	False	+
429275	+	T1	98.67	3	C	True	False	False	+
436443	+	T1	91.61	3	C	True	False	False	+
441709	-	T1	81.94	5	G	False	False	False	+
450269	+	T1	100.0	3	C	True	False	False	+
459557	-	T1	93.33	5	G	False	False	False	+
460130	-	T1	93.64	5	G	False	False	False	+
476881	-	T1	97.78	5	G	False	False	False	+
491329	+	T1	87.22	3	C	True	False	False	+
585945	+	T1	100.0	3	C	True	False	False	+
594828	-	T1	83.33	5	G	False	False	False	+
613984	+	T1	89.1	3	C	True	False	False	+
619692	-	T1	95.56	5	G	False	False	False	+
620836	+	T1	95.56	3	C	True	False	False	+
647285	+	T1	88.37	3	C	True	False	False	+
663377	+	T1	95.24	3	C	True	False	False	+
683994	-	T1	91.41	5	G	False	False	False	+
717308	-	T1	86.12	5	G	False	False	False	+
721152	-	T1	83.75	5	G	False	False	False	+
743049	-	T1	96.97	5	G	False	False	False	+
746027	+	T1	85.53	3	C	True	False	False	+
746405	-	T1	83.01	5	G	False	False	False	+
