chrom	position	strand	T1_freq	T2_freq	T3_freq	delta	category	pattern	region
NC_003888.3	849568	-	88.82	84.73	50.28	38.53999999999999	dynamic	Monotone decrease	arm
NC_003888.3	1126539	+	54.29	83.3	86.8	32.51	dynamic	Monotone increase	arm
NC_003888.3	5491377	+	91.88	83.4	60.83	31.049999999999997	dynamic	Monotone decrease	core
NC_003888.3	5911122	+	80.63	90.49	59.51	30.979999999999997	dynamic	Peak (T2 max)	core
NC_003888.3	3930304	-	81.09	87.89	59.07	28.82	dynamic	Peak (T2 max)	core
NC_003888.3	4557114	-	68.31	59.39	87.54	28.150000000000006	dynamic	Valley (T2 min)	core
NC_003888.3	6528253	-	84.44	56.6	77.27	27.839999999999996	dynamic	Valley (T2 min)	core
NC_003888.3	6009873	-	59.58	70.48	87.18	27.60000000000001	dynamic	Monotone increase	core
NC_003888.3	5200407	-	94.87	73.88	67.41	27.460000000000008	dynamic	Monotone decrease	core
NC_003888.3	5426350	-	84.29	65.28	91.88	26.599999999999994	dynamic	Valley (T2 min)	core
NC_003888.3	2945348	-	83.82	87.85	61.48	26.369999999999997	dynamic	Peak (T2 max)	core
NC_003888.3	7140660	-	77.13	62.59	51.71	25.419999999999995	dynamic	Monotone decrease	core
NC_003888.3	7348859	+	66.67	82.33	91.86	25.189999999999998	dynamic	Monotone increase	arm
NC_003888.3	1144627	-	77.78	52.6	74.64	25.18	dynamic	Valley (T2 min)	arm
NC_003888.3	5586248	-	94.12	69.21	73.74	24.91000000000001	dynamic	Valley (T2 min)	core
NC_003888.3	2304887	-	80.16	76.72	55.67	24.489999999999995	dynamic	Monotone decrease	core
NC_003888.3	4019994	-	86.64	84.52	62.22	24.42	dynamic	Monotone decrease	core
NC_003888.3	2027745	+	71.52	95.14	82.74	23.620000000000005	dynamic	Peak (T2 max)	core
NC_003888.3	7176637	+	90.84	71.49	67.27	23.570000000000007	dynamic	Monotone decrease	arm
NC_003888.3	3444695	+	81.91	88.66	65.3	23.36	dynamic	Peak (T2 max)	core
NC_003888.3	4492468	-	85.11	81.2	62.5	22.61	dynamic	Monotone decrease	core
NC_003888.3	2212029	-	78.38	92.59	70.44	22.150000000000006	dynamic	Peak (T2 max)	core
NC_003888.3	5561237	+	86.12	65.05	64.03	22.090000000000003	dynamic	Monotone decrease	core
NC_003888.3	6490220	-	79.58	57.59	72.31	21.989999999999995	dynamic	Valley (T2 min)	core
NC_003888.3	4354719	-	89.33	89.92	68.25	21.67	dynamic	Peak (T2 max)	core
NC_003888.3	5091538	+	63.49	74.05	84.9	21.410000000000004	dynamic	Monotone increase	core
NC_003888.3	3744614	-	73.43	82.58	94.71	21.279999999999987	dynamic	Monotone increase	core
NC_003888.3	4760334	+	71.88	91.76	92.62	20.74000000000001	dynamic	Monotone increase	core
NC_003888.3	4237748	+	86.03	65.51	86.11	20.599999999999994	dynamic	Valley (T2 min)	core
NC_003888.3	7816264	+	74.53	86.28	65.97	20.310000000000002	dynamic	Peak (T2 max)	arm
NC_003888.3	1405945	-	90.48	84.52	70.25	20.230000000000004	dynamic	Monotone decrease	arm
NC_003888.3	7880437	-	85.4	73.81	65.21	20.190000000000012	dynamic	Monotone decrease	arm
NC_003888.3	2463377	-	75.22	79.05	95.24	20.019999999999996	dynamic	Monotone increase	core
NC_003888.3	8427620	+	78.21	93.33	98.04	19.830000000000013	dynamic	Monotone increase	arm
NC_003888.3	1929016	-	51.03	70.85	53.9	19.819999999999993	dynamic	Peak (T2 max)	core
NC_003888.3	6420788	+	84.41	93.18	73.41	19.77000000000001	dynamic	Peak (T2 max)	core
NC_003888.3	7966815	-	98.61	96.1	79.01	19.599999999999994	dynamic	Monotone decrease	arm
NC_003888.3	4420062	+	83.42	91.67	72.14	19.53	dynamic	Peak (T2 max)	core
NC_003888.3	3103725	-	70.35	89.43	85.18	19.080000000000013	dynamic	Peak (T2 max)	core
NC_003888.3	4730940	-	73.41	60.87	54.62	18.79	dynamic	Monotone decrease	core
NC_003888.3	4875388	-	87.72	76.41	94.87	18.460000000000008	dynamic	Valley (T2 min)	core
NC_003888.3	4363050	+	82.58	82.18	64.19	18.39	dynamic	Monotone decrease	core
NC_003888.3	5650747	-	84.83	66.61	78.93	18.22	dynamic	Valley (T2 min)	core
NC_003888.3	3397812	+	80.42	74.45	62.39	18.03	dynamic	Monotone decrease	core
NC_003888.3	6709357	+	58.78	64.76	76.61	17.83	dynamic	Monotone increase	core
NC_003888.3	2911607	+	94.94	78.57	96.37	17.80000000000001	dynamic	Valley (T2 min)	core
NC_003888.3	2486595	+	82.75	65.15	74.25	17.599999999999994	dynamic	Valley (T2 min)	core
NC_003888.3	3024503	-	90.5	72.96	79.5	17.540000000000006	dynamic	Valley (T2 min)	core
NC_003888.3	6832902	-	74.94	92.46	84.13	17.519999999999996	dynamic	Peak (T2 max)	core
NC_003888.3	4654798	+	88.97	71.52	79.56	17.450000000000003	dynamic	Valley (T2 min)	core
NC_003888.3	2915338	+	98.55	85.07	81.11	17.439999999999998	dynamic	Monotone decrease	core
NC_003888.3	6697443	+	85.42	78.99	68.05	17.370000000000005	dynamic	Monotone decrease	core
NC_003888.3	6480346	-	94.51	80.84	98.15	17.310000000000002	dynamic	Valley (T2 min)	core
NC_003888.3	6039604	-	87.01	91.93	74.64	17.290000000000006	dynamic	Peak (T2 max)	core
NC_003888.3	4309104	-	79.76	72.63	62.5	17.260000000000005	dynamic	Monotone decrease	core
NC_003888.3	7420172	+	88.38	96.08	78.89	17.189999999999998	dynamic	Peak (T2 max)	arm
NC_003888.3	2008110	+	92.07	88.39	74.88	17.189999999999998	dynamic	Monotone decrease	core
NC_003888.3	3622804	+	94.95	88.7	77.78	17.17	dynamic	Monotone decrease	core
NC_003888.3	1190775	-	94.44	88.26	77.27	17.17	dynamic	Monotone decrease	arm
NC_003888.3	1985445	+	63.62	50.0	67.06	17.060000000000002	dynamic	Valley (T2 min)	core
NC_003888.3	2400994	+	73.49	78.86	61.83	17.03	dynamic	Peak (T2 max)	core
NC_003888.3	911132	+	80.89	94.12	97.92	17.03	dynamic	Monotone increase	arm
NC_003888.3	3453798	-	68.21	61.11	78.13	17.019999999999996	dynamic	Valley (T2 min)	core
NC_003888.3	7634732	+	80.78	97.78	88.89	17.0	dynamic	Peak (T2 max)	arm
NC_003888.3	3526687	+	97.06	80.08	86.38	16.980000000000004	dynamic	Valley (T2 min)	core
NC_003888.3	4792397	+	79.5	80.73	96.3	16.799999999999997	dynamic	Monotone increase	core
NC_003888.3	3671380	-	93.61	76.85	91.48	16.760000000000005	dynamic	Valley (T2 min)	core
NC_003888.3	2218444	+	92.44	79.73	75.75	16.689999999999998	dynamic	Monotone decrease	core
NC_003888.3	5312472	+	81.25	69.34	64.6	16.650000000000006	dynamic	Monotone decrease	core
NC_003888.3	5916295	-	90.44	83.52	100.0	16.480000000000004	dynamic	Valley (T2 min)	core
NC_003888.3	460130	-	93.64	77.43	81.67	16.209999999999994	dynamic	Valley (T2 min)	arm
NC_003888.3	3348495	-	76.24	60.19	70.71	16.049999999999997	dynamic	Valley (T2 min)	core
NC_003888.3	1107099	+	87.45	96.67	80.63	16.040000000000006	dynamic	Peak (T2 max)	arm
NC_003888.3	2582224	-	90.9	84.85	74.88	16.02000000000001	dynamic	Monotone decrease	core
NC_003888.3	4828966	+	78.36	78.21	94.21	16.0	dynamic	Valley (T2 min)	core
NC_003888.3	441709	-	81.94	97.92	91.55	15.980000000000004	dynamic	Peak (T2 max)	arm
NC_003888.3	2316074	+	97.78	84.26	81.97	15.810000000000002	dynamic	Monotone decrease	core
NC_003888.3	6057036	+	65.99	50.34	63.18	15.649999999999991	dynamic	Valley (T2 min)	core
NC_003888.3	5247253	+	79.74	76.16	64.12	15.61999999999999	dynamic	Monotone decrease	core
NC_003888.3	1943198	+	89.47	83.33	73.88	15.590000000000003	dynamic	Monotone decrease	core
NC_003888.3	4472362	+	79.0	67.3	63.48	15.520000000000003	dynamic	Monotone decrease	core
NC_003888.3	5213907	+	86.15	94.07	78.64	15.429999999999993	dynamic	Peak (T2 max)	core
NC_003888.3	2178642	+	80.25	72.54	64.85	15.400000000000006	dynamic	Monotone decrease	core
NC_003888.3	4200147	-	94.72	91.65	79.34	15.379999999999995	dynamic	Monotone decrease	core
NC_003888.3	3969402	+	85.19	70.16	69.84	15.349999999999994	dynamic	Monotone decrease	core
NC_003888.3	2610388	-	77.72	62.38	75.89	15.339999999999996	dynamic	Valley (T2 min)	core
NC_003888.3	5057397	+	84.22	78.36	68.89	15.329999999999998	dynamic	Monotone decrease	core
NC_003888.3	6211240	+	95.06	94.58	79.76	15.299999999999997	dynamic	Monotone decrease	core
NC_003888.3	372882	-	93.27	89.52	77.97	15.299999999999997	dynamic	Monotone decrease	arm
NC_003888.3	6046580	-	57.41	69.53	54.24	15.29	dynamic	Peak (T2 max)	core
NC_003888.3	3886525	+	85.07	82.79	69.82	15.25	dynamic	Monotone decrease	core
NC_003888.3	5448469	+	90.43	80.42	75.21	15.220000000000013	dynamic	Monotone decrease	core
NC_003888.3	4445154	-	75.98	87.92	91.19	15.209999999999994	dynamic	Monotone increase	core
NC_003888.3	1480748	-	89.41	74.22	77.98	15.189999999999998	dynamic	Valley (T2 min)	arm
NC_003888.3	4529995	+	92.04	81.71	76.92	15.120000000000005	dynamic	Monotone decrease	core
NC_003888.3	7210462	-	96.25	100.0	84.95	15.049999999999997	dynamic	Peak (T2 max)	arm
NC_003888.3	5503134	+	86.42	71.38	72.19	15.040000000000006	dynamic	Valley (T2 min)	core
NC_003888.3	2609980	-	86.19	84.09	71.17	15.019999999999996	dynamic	Monotone decrease	core
NC_003888.3	5797696	-	93.59	98.33	83.34	14.989999999999995	dynamic	Peak (T2 max)	core
NC_003888.3	663377	+	95.24	80.33	92.46	14.909999999999997	dynamic	Valley (T2 min)	arm
NC_003888.3	5070543	-	94.33	79.5	83.14	14.829999999999998	dynamic	Valley (T2 min)	core
NC_003888.3	2636552	+	86.43	94.97	80.16	14.810000000000002	dynamic	Peak (T2 max)	core
NC_003888.3	4994408	+	81.47	74.04	66.69	14.780000000000001	dynamic	Monotone decrease	core
NC_003888.3	5015413	-	72.65	58.01	59.76	14.640000000000008	dynamic	Valley (T2 min)	core
NC_003888.3	2601300	-	81.73	67.09	72.5	14.64	dynamic	Valley (T2 min)	core
NC_003888.3	4609721	-	70.1	84.67	81.8	14.570000000000007	dynamic	Peak (T2 max)	core
NC_003888.3	5845058	+	81.93	71.08	85.64	14.560000000000002	dynamic	Valley (T2 min)	core
NC_003888.3	2347213	+	97.92	86.13	83.36	14.560000000000002	dynamic	Monotone decrease	core
NC_003888.3	2697702	-	86.39	96.67	82.32	14.350000000000009	dynamic	Peak (T2 max)	core
NC_003888.3	2546354	+	75.71	84.44	70.09	14.349999999999994	dynamic	Peak (T2 max)	core
NC_003888.3	5471207	-	71.94	75.09	60.76	14.330000000000005	dynamic	Peak (T2 max)	core
NC_003888.3	6254672	-	97.78	84.42	83.46	14.320000000000007	dynamic	Monotone decrease	core
NC_003888.3	1468404	-	94.84	80.52	89.17	14.320000000000007	dynamic	Valley (T2 min)	arm
NC_003888.3	7773144	-	100.0	85.72	91.19	14.280000000000001	dynamic	Valley (T2 min)	arm
NC_003888.3	4995850	+	78.97	88.85	74.63	14.219999999999999	dynamic	Peak (T2 max)	core
NC_003888.3	4079406	-	96.19	91.67	82.0	14.189999999999998	dynamic	Monotone decrease	core
NC_003888.3	3976757	-	69.6	55.42	64.65	14.179999999999993	dynamic	Valley (T2 min)	core
NC_003888.3	3700627	-	82.5	82.18	68.35	14.150000000000006	dynamic	Monotone decrease	core
NC_003888.3	6030018	+	96.26	84.15	82.13	14.13000000000001	dynamic	Monotone decrease	core
NC_003888.3	8365342	-	90.28	94.44	80.32	14.120000000000005	dynamic	Peak (T2 max)	arm
NC_003888.3	4935662	+	93.13	86.44	79.05	14.079999999999998	dynamic	Monotone decrease	core
NC_003888.3	5159175	-	94.06	89.96	80.04	14.019999999999996	dynamic	Monotone decrease	core
NC_003888.3	7622522	-	76.11	82.6	68.7	13.899999999999991	dynamic	Peak (T2 max)	arm
NC_003888.3	2103449	+	94.62	92.41	80.73	13.89	dynamic	Monotone decrease	core
NC_003888.3	6625301	+	86.06	96.08	82.27	13.810000000000002	dynamic	Peak (T2 max)	core
NC_003888.3	5478036	+	83.65	95.06	97.44	13.789999999999992	dynamic	Monotone increase	core
NC_003888.3	2946180	-	65.81	62.06	75.81	13.75	dynamic	Valley (T2 min)	core
NC_003888.3	8503014	+	76.4	90.14	84.22	13.739999999999995	dynamic	Peak (T2 max)	arm
NC_003888.3	4949632	+	94.86	96.73	83.06	13.670000000000002	dynamic	Peak (T2 max)	core
NC_003888.3	4983938	+	68.9	74.24	60.58	13.659999999999997	dynamic	Peak (T2 max)	core
NC_003888.3	3533746	-	85.94	72.36	78.04	13.579999999999998	dynamic	Valley (T2 min)	core
NC_003888.3	4872346	-	92.78	79.23	84.52	13.549999999999997	dynamic	Valley (T2 min)	core
NC_003888.3	6459845	-	98.04	92.16	84.53	13.510000000000005	dynamic	Monotone decrease	core
NC_003888.3	7359957	+	78.52	69.14	65.03	13.489999999999995	dynamic	Monotone decrease	arm
NC_003888.3	3620211	+	90.56	79.79	93.27	13.47999999999999	dynamic	Valley (T2 min)	core
NC_003888.3	7463794	-	76.67	78.92	90.12	13.450000000000003	dynamic	Monotone increase	arm
NC_003888.3	6095147	-	86.26	90.0	76.67	13.329999999999998	dynamic	Peak (T2 max)	core
NC_003888.3	3993845	-	81.78	75.97	68.52	13.260000000000005	dynamic	Monotone decrease	core
NC_003888.3	8005438	+	100.0	94.53	86.78	13.219999999999999	dynamic	Monotone decrease	arm
NC_003888.3	3601358	+	92.84	88.13	79.63	13.210000000000008	dynamic	Monotone decrease	core
NC_003888.3	1534652	-	91.64	87.19	78.43	13.209999999999994	dynamic	Monotone decrease	core
