chrom	position	strand	T1_freq	T2_freq	T3_freq	delta	category	pattern	region
NC_003888.3	8509637	-	72.78	50.02	70.86	22.759999999999998	dynamic	Valley (T2 min)	arm
NC_003888.3	8157647	-	50.02	58.95	69.31	19.29	dynamic	Monotone increase	arm
NC_003888.3	7560764	+	58.11	54.15	72.86	18.71	dynamic	Valley (T2 min)	arm
NC_003888.3	670858	-	76.98	59.39	74.73	17.590000000000003	dynamic	Valley (T2 min)	arm
NC_003888.3	8233758	-	54.31	70.91	70.58	16.599999999999994	dynamic	Peak (T2 max)	arm
NC_003888.3	357890	+	72.02	71.76	55.44	16.58	dynamic	Monotone decrease	arm
NC_003888.3	2811133	-	69.88	56.11	53.56	16.319999999999993	dynamic	Monotone decrease	core
NC_003888.3	4129198	-	57.77	50.61	66.82	16.209999999999994	dynamic	Valley (T2 min)	core
NC_003888.3	1672407	-	73.36	57.28	68.2	16.08	dynamic	Valley (T2 min)	core
NC_003888.3	1826518	-	61.47	64.59	77.03	15.560000000000002	dynamic	Monotone increase	core
NC_003888.3	321886	-	79.45	64.15	75.15	15.299999999999997	dynamic	Valley (T2 min)	arm
NC_003888.3	942124	-	80.26	65.4	70.83	14.86	dynamic	Valley (T2 min)	arm
NC_003888.3	8630724	-	76.34	71.47	61.6	14.740000000000002	dynamic	Monotone decrease	arm
NC_003888.3	2240356	-	66.24	60.95	51.53	14.709999999999994	dynamic	Monotone decrease	core
NC_003888.3	4088376	+	61.64	58.53	72.74	14.209999999999994	dynamic	Valley (T2 min)	core
NC_003888.3	6907097	-	58.57	66.84	72.57	13.999999999999993	dynamic	Monotone increase	core
NC_003888.3	7294986	-	69.74	83.67	83.58	13.930000000000007	dynamic	Peak (T2 max)	arm
NC_003888.3	7615297	-	63.13	50.82	64.22	13.399999999999999	dynamic	Valley (T2 min)	arm
NC_003888.3	1043761	-	80.3	66.91	70.82	13.39	dynamic	Valley (T2 min)	arm
NC_003888.3	6751520	-	64.25	54.43	51.02	13.229999999999997	dynamic	Monotone decrease	core
NC_003888.3	3742024	-	53.52	66.57	60.8	13.04999999999999	dynamic	Peak (T2 max)	core
NC_003888.3	631017	-	50.1	54.81	63.11	13.009999999999998	dynamic	Monotone increase	arm
NC_003888.3	2315384	-	72.18	68.94	81.89	12.950000000000003	dynamic	Valley (T2 min)	core
NC_003888.3	3907581	+	76.54	75.32	63.68	12.860000000000007	dynamic	Monotone decrease	core
NC_003888.3	6337641	-	72.05	82.07	69.67	12.399999999999991	dynamic	Peak (T2 max)	core
NC_003888.3	6941576	+	66.15	64.08	53.9	12.250000000000007	dynamic	Monotone decrease	core
NC_003888.3	1535444	-	65.75	63.04	75.18	12.140000000000008	dynamic	Valley (T2 min)	core
NC_003888.3	2488224	-	52.98	57.01	65.1	12.119999999999997	dynamic	Monotone increase	core
NC_003888.3	8450515	-	86.36	78.63	74.26	12.099999999999994	dynamic	Monotone decrease	arm
NC_003888.3	7559499	-	53.65	65.57	58.04	11.919999999999995	dynamic	Peak (T2 max)	arm
NC_003888.3	4256583	+	68.78	59.65	57.7	11.079999999999998	dynamic	Monotone decrease	core
NC_003888.3	609829	+	69.62	80.66	69.93	11.039999999999992	dynamic	Peak (T2 max)	arm
NC_003888.3	5861379	-	61.31	53.84	50.4	10.910000000000004	dynamic	Monotone decrease	core
NC_003888.3	6965962	-	62.03	51.39	51.35	10.68	dynamic	Monotone decrease	core
