locus_tag	old_locus_tag	gene_name	tf_family	bloc	region	nearest_methyl_dist	baseMean	log2FC_T2	log2FC_T3
SC_RS38475	SCO7252		Other regulatory	activation	arm	46	8706.3	9.53	8.24
SC_RS07750	SCO1160		Sensor kinase	activation	arm	86	637.3	7.9	6.82
SC_RS06310	SCO0877		HTH (other)	activation	arm	170	556.2	1.66	0.47
SC_RS07000	SCO1008		ArsR	activation	arm	183	216.1	0.09	-1.2
SC_RS38610	SCO7279		HTH (other)	activation	arm	25	202.0	1.46	1.63
SC_RS08090	SCO1227		HTH (other)	activation	arm	95	160.6	4.86	4.96
SC_RS40740	SCO7711		Sensor kinase	activation	arm	35	146.0	3.32	3.42
SC_RS35195	SCO6599		TetR	activation	arm	236	86.3	-1.65	-1.63
SC_RS02455	SCO0089		LysR	activation	arm	290	81.1	2.0	1.42
SC_RS40040	SCO7568		ROK	activation	arm	51	69.0	-1.21	0.3
SC_RS07910	SCO1191		MarR	activation	arm	110	68.5	-2.92	-2.12
SC_RS06045	SCO0823		GntR	activation	arm	247	62.0	-1.31	-1.15
SC_RS35610	SCO6685	ramR	Response regulator	activation	arm	286	61.4	8.85	10.26
SC_RS38785	SCO7314		Sigma factor	activation	arm	67	56.6	1.91	1.3
SC_RS40435	SCO7648		Response regulator	activation	arm	32	56.3	1.05	1.35
SC_RS35525	SCO6668		Sensor kinase	activation	arm	99	49.5	1.19	1.27
SC_RS39850	SCO7530		MerR	activation	arm	225	42.0	0.84	1.68
SC_RS04270	SCO0471		HTH (other)	activation	arm	239	41.1	1.53	2.15
SC_RS05485	SCO0712		HTH (other)	activation	arm	114	31.5	-1.09	2.5
SC_RS06430	SCO0897		Other regulatory	activation	arm	172	21.8	1.07	1.96
SC_RS03250	SCO0266		HTH (other)	activation	arm	293	18.7	0.85	1.81
SC_RS36820	SCO6924		HTH (other)	activation	arm	15	16.9	-2.65	0.99
SC_RS37675	SCO7089		Sensor kinase	activation	arm	34	16.7	0.52	2.49
SC_RS05075	SCO0632		Sigma factor	activation	arm	52	11.2	0.06	1.53
SC_RS07215	SCO1052		HTH (other)	activation	arm	216	9.4	-0.43	3.67
SC_RS36220			HTH (other)	activation	arm	183	8.5	1.77	2.56
SC_RS21680	SCO3907		Other regulatory	activation	core	206	11163.5	-2.57	-3.13
SC_RS16855	SCO2950		Other regulatory	activation	core	265	8827.9	-1.66	-2.67
SC_RS28630	SCO5289		Sensor kinase	activation	core	90	1960.1	-0.04	-2.32
SC_RS22980	SCO4158		LacI	activation	core	172	914.2	-0.02	-1.21
SC_RS17795	SCO3134		Response regulator	activation	core	69	878.2	3.86	3.86
SC_RS17670	SCO3109	mfd	Other regulatory	activation	core	131	595.9	-0.33	-1.12
SC_RS13965	SCO2386	fasR	Other regulatory	activation	core	24	555.0	-1.31	-1.85
SC_RS22135	SCO4005		Sigma factor	activation	core	52	462.5	0.22	3.45
SC_RS22780	SCO4122		MarR	activation	core	207	409.7	-3.86	-3.45
SC_RS27105	SCO4989		IclR	activation	core	197	233.4	-1.79	-2.45
SC_RS25990	SCO4766		LysR	activation	core	207	156.1	-0.56	-1.13
SC_RS09315	SCO1468		TetR	activation	core	163	136.8	4.03	4.35
SC_RS25370	SCO4639		TetR	activation	core	252	132.5	-1.24	-2.28
SC_RS23710	SCO4305		TetR	activation	core	226	95.9	-1.15	-1.3
SC_RS29350	SCO5433	tcrA	Other regulatory	activation	core	166	89.3	1.19	1.57
SC_RS31385	SCO5828		Response regulator	activation	core	48	84.2	1.36	0.51
SC_RS27300	SCO5027		HTH (other)	activation	core	104	80.8	-2.08	-1.29
SC_RS33895	SCO6334		Other regulatory	activation	core	30	75.3	1.25	2.68
SC_RS13145	SCO2223		TetR	activation	core	288	69.0	-2.8	-2.25
SC_RS29355	SCO5434		Response regulator	activation	core	76	64.3	-2.07	-1.1
SC_RS33745	SCO6299		TetR	activation	core	35	60.7	-1.46	-0.98
SC_RS15485	SCO2681	fxsT	TetR	unassigned	core	120	59.5	0.1	1.13
SC_RS09835	SCO1564		Sigma factor	activation	core	267	57.2	5.53	2.73
SC_RS24635	SCO4495		Other regulatory	activation	core	82	49.4	-2.89	-1.69
SC_RS32025	SCO5956		TetR	activation	core	5	48.2	-2.28	-1.26
SC_RS30140	SCO5584		Other regulatory	activation	core	126	47.8	-0.55	-1.37
SC_RS15270	SCO2639		Sigma factor	activation	core	113	39.5	-1.77	-1.21
SC_RS10435	SCO1684		TetR	activation	core	39	30.3	1.99	2.79
SC_RS34060	SCO6369		Sensor kinase	activation	core	264	29.9	1.64	2.63
SC_RS11515	SCO1897		DeoR	activation	core	191	26.3	1.68	1.44
SC_RS26855	SCO4938	sigJ	Sigma factor	activation	core	40	21.4	0.02	2.17
