position	strand	4mC	4mC_cov	5mC	5mC_cov
3976757	-	70.49000000000001	61	0.0	61
1729534	-	92.10578947368421	38	0.0	38
2474511	+	83.99880000000002	50	0.0	50
6371811	+	70.3711111111111	27	0.0	27
3477870	+	76.92410256410257	39	0.0	39
4403190	-	90.24743902439023	82	0.0	82
7048730	-	80.0008	25	0.0	25
5210454	-	88.88777777777779	63	0.0	63
6152005	-	88.89259259259259	27	0.0	27
2037299	-	92.4509433962264	53	0.0	53
2329793	-	93.8456923076923	65	0.0	65
4432789	+	58.49283018867924	53	0.0	53
3584284	+	86.66550000000001	60	0.0	60
7420172	+	82.60782608695652	23	0.0	23
5359887	-	91.11466666666666	45	0.0	45
5339009	-	87.71649122807018	57	0.0	57
7174582	+	96.55275862068964	29	0.0	29
3991928	+	70.96612903225805	62	0.0	62
7405665	+	68.18136363636364	22	0.0	22
3347074	+	96.97090909090909	66	0.0	66
3211953	-	54.28714285714286	35	0.0	35
4821363	+	77.9686440677966	59	0.0	59
7627883	+	93.10413793103449	29	0.0	29
1258403	-	93.02279069767442	43	0.0	43
4209237	+	92.30807692307692	52	0.0	52
7966815	-	96.8725	32	0.0	32
3696288	-	94.82793103448276	58	0.0	58
2282416	-	55.55377777777778	45	0.0	45
7242404	+	100.0	36	0.0	36
5648877	+	81.81636363636363	44	0.0	44
2307759	-	91.83755102040816	49	0.0	49
7236450	+	81.24937499999999	16	0.0	16
3133986	-	63.159473684210525	38	0.0	38
3723492	+	91.425	70	0.0	70
3097001	+	82.05333333333333	39	0.0	39
2020725	-	93.9984	50	0.0	50
5488710	+	68.7525	32	0.0	32
4235818	+	92.30961538461538	78	0.0	78
1943198	+	89.47631578947369	38	0.0	38
3234842	-	96.87625	32	0.0	32
2747022	+	85.71746031746031	63	0.0	63
3444695	+	91.89405405405405	37	0.0	37
2609995	-	95.31296875	64	0.0	64
6641886	+	93.54774193548387	31	0.0	31
3024068	-	82.499	40	0.0	40
7931714	-	89.28642857142857	28	0.0	28
2737866	-	94.20173913043479	69	0.0	69
4529995	+	90.19764705882353	51	0.0	51
6832902	-	83.78351351351353	37	0.0	37
3281617	+	67.64852941176471	34	0.0	34
3929422	-	97.16754716981133	106	0.0	106
6625301	+	87.4975	32	0.0	32
5334083	-	84.90811320754717	53	0.0	53
5270934	-	93.84215384615385	65	0.0	65
3539825	-	86.66666666666667	60	0.0	60
5636817	+	83.01811320754717	53	0.0	53
2743272	+	82.35470588235295	51	0.0	51
5451748	-	55.881764705882354	34	0.0	34
4832676	+	76.74604651162791	43	0.0	43
5791942	+	65.2195652173913	23	0.0	23
1985445	+	63.16157894736843	38	0.0	38
4178497	+	94.31636363636363	88	0.0	88
5549317	-	68.57314285714286	35	0.0	35
2756814	+	66.66999999999999	33	0.0	33
5016405	-	86.27686274509804	51	0.0	51
753689	-	94.9975	40	0.0	40
5708906	-	96.36545454545455	55	0.0	55
6188172	+	93.746875	32	0.0	32
3932051	-	90.6688	75	0.0	75
4935151	-	77.77814814814816	27	0.0	27
8284214	+	80.77	26	0.0	26
5418877	-	83.86935483870967	31	0.0	31
2454759	-	86.66266666666667	60	0.0	60
5584975	+	63.15842105263158	38	0.0	38
