locus_tag	gene_name	old_locus_tag	product	tf_family	start	end	strand	tss	region	is_coordinated	coordination_primary	nearest_methyl_dist	sites_within_2kb	sites_2kb_T1	sites_2kb_T2	delta_sites	lfc_T2vsT1	padj_T2vsT1
SC_RS01945			helix-turn-helix domain-containing protein	HTH (other)	13054	13797	-	13797	arm	False	non_coordinated	1098	2	0	1	1		
SC_RS01955		SCP2.15c	DNA-binding protein	Other regulatory	14867	15088	-	15088	arm	False	non_coordinated	193	3	0	2	2		
SC_RS02040		SCP2.35	GntR family transcriptional regulator	GntR	26665	27462	+	26665	arm	False	non_coordinated	483	3	0	3	3		
SC_RS02055		SCP2.38c	helix-turn-helix domain-containing protein	HTH (other)	28549	28968	-	28968	arm	False	non_coordinated	441	3	1	3	2		
SC_RS02060		SCP2.39c	helix-turn-helix domain-containing protein	HTH (other)	28965	29477	-	29477	arm	False	non_coordinated	68	3	1	3	2		
SC_RS02220			RNA polymerase sigma-70 factor	Sigma factor	30379	31274	-	31274	arm	False	non_coordinated	554	3	2	2	0	0.7740014298969246	0.0012097687994748
SC_RS00170		SCP1.36c	AraC family transcriptional regulator	AraC	33166	34080	-	34080	arm	False	non_coordinated	596	2	0	2	2		
SC_RS02260		SCO0047	MarR family winged helix-turn-helix transcriptional regulator	MarR	37614	38768	-	38768	arm	False	non_coordinated	1909	1	0	1	1	-0.217473568852473	0.4027410500128949
SC_RS00205		SCP1.42c	TetR/AcrR family transcriptional regulator	TetR	40107	40730	-	40730	arm	False	non_coordinated	53	1	0	1	1		
SC_RS02325		SCO0062	LacI family DNA-binding transcriptional regulator	LacI	47789	48844	-	48844	arm	False	non_coordinated	429	1	0	1	1	-1.482151075954944	8.17419526957494e-08
SC_RS02330		SCO0063	ROK family protein	ROK	48889	49824	-	49824	arm	False	non_coordinated	551	2	0	2	2	-1.20882726219268	3.7688951825281104e-06
SC_RS00320		SCP1.60	helix-turn-helix domain-containing protein	HTH (other)	59650	60522	+	59650	arm	False	non_coordinated	244	3	0	3	3		
SC_RS02455		SCO0089	LysR family transcriptional regulator	LysR	75916	76893	+	75916	arm	True	discordant_gain_up	290	1	0	1	1	1.9589972494364425	2.5249380577013426e-17
SC_RS02470			helix-turn-helix domain-containing protein	HTH (other)	78489	78779	-	78779	arm	False	non_coordinated	358	2	1	2	1		
SC_RS00470		SCP1.89c	helix-turn-helix domain-containing protein	HTH (other)	87214	88383	-	88383	arm	False	non_coordinated	2161	0	0	0	0		
SC_RS00480		SCP1.91c	GntR family transcriptional regulator	GntR	89274	90032	-	90032	arm	False	non_coordinated	3622	0	0	0	0		
SC_RS02530		SCO0110	helix-turn-helix transcriptional regulator	HTH (other)	90951	91790	-	91790	arm	False	non_coordinated	1864	1	1	1	0	2.202280419097655	6.644293286168122e-13
SC_RS00505		SCP1.95	WhiB family transcriptional regulator	WhiB	92483	92791	+	92483	arm	False	non_coordinated	1171	1	1	1	0		
SC_RS02550		SCO0116	TetR/AcrR family transcriptional regulator	TetR	94306	94872	-	94872	arm	False	non_coordinated	1218	2	1	2	1	0.3847571846540605	0.170044066357223
SC_RS00610		SCP1.115	WhiB family transcriptional regulator	WhiB	109297	109824	+	109297	arm	False	non_coordinated	349	6	1	5	4		
SC_RS00615		SCP1.116	RNA polymerase sigma factor	Sigma factor	110149	111153	+	110149	arm	False	non_coordinated	340	6	1	5	4		
SC_RS02625		SCO0132	helix-turn-helix transcriptional regulator	HTH (other)	122743	125502	+	122743	arm	False	non_coordinated	941	4	0	2	2	1.3478072821107898	5.868369631750894e-09
SC_RS02660		SCO0140	MerR family transcriptional regulator	MerR	132693	133520	+	132693	arm	False	non_coordinated	1130	1	1	1	0	-0.0159602400374791	0.9736791434367008
SC_RS02680		SCO0143	TetR/AcrR family transcriptional regulator	TetR	136683	137183	+	136683	arm	False	non_coordinated	405	2	2	1	-1	-1.0239134444181497	0.011152074341282
SC_RS02705		SCO0148	helix-turn-helix domain-containing protein	HTH (other)	139467	139712	+	139467	arm	False	non_coordinated	318	3	2	3	1	-1.0252718400292251	0.0079654211892534
SC_RS02735		SCO0155	TetR/AcrR family transcriptional regulator	TetR	145499	146122	+	145499	arm	False	non_coordinated	1274	1	1	1	0	1.148427079287908	7.163503731799534e-08
SC_RS00780		SCP1.151c	RNA polymerase sigma factor	Sigma factor	145658	146182	-	146182	arm	False	non_coordinated	591	1	1	1	0		
