protein_id	protein_len	domain_name	domain_acc	domain_len	seq_evalue	seq_score	dom_evalue	dom_score	ali_from	ali_to	env_from	env_to
WP_011029474.1	267	Trans_reg_C	PF00486.35	77	3.7e-30	102.6	5.8000000000000005e-30	102	146	219	145	219
WP_003974745.1	226	Trans_reg_C	PF00486.35	77	6.3000000000000005e-30	101.9	1.8e-29	100.4	148	224	148	224
WP_003975748.1	225	Trans_reg_C	PF00486.35	77	2.8999999999999997e-29	99.8	6.3e-29	98.7	147	222	145	222
WP_011029472.1	248	Trans_reg_C	PF00486.35	77	1.1000000000000002e-28	97.9	2.0000000000000002e-28	97.1	167	242	167	242
WP_161270116.1	300	Trans_reg_C	PF00486.35	77	3e-28	96.5	4.600000000000001e-28	95.9	218	292	217	292
WP_003976672.1	221	Trans_reg_C	PF00486.35	77	3e-28	96.5	5.7e-28	95.6	147	218	147	218
WP_003975799.1	229	Trans_reg_C	PF00486.35	77	1.1000000000000001e-27	94.7	2.7000000000000002e-27	93.5	150	225	150	226
WP_030863629.1	246	Trans_reg_C	PF00486.35	77	5.2e-27	92.6	6.699999999999999e-26	89	168	240	167	241
WP_003971915.1	229	Trans_reg_C	PF00486.35	77	2.1e-26	90.6	3.9e-26	89.8	150	226	150	226
WP_003974066.1	225	Trans_reg_C	PF00486.35	77	2.6e-26	90.3	5.3e-26	89.3	145	221	145	221
WP_003973245.1	228	Trans_reg_C	PF00486.35	77	8.1e-26	88.7	1.4e-25	88	152	223	151	223
WP_161269954.1	229	Trans_reg_C	PF00486.35	77	1.4e-25	88	5e-25	86.2	150	224	150	225
WP_003971612.1	233	Trans_reg_C	PF00486.35	77	1.5e-25	87.9	2.5e-25	87.2	154	230	154	230
WP_003973149.1	227	Trans_reg_C	PF00486.35	77	1.5999999999999998e-25	87.8	3.1999999999999997e-25	86.8	149	225	149	225
WP_011028201.1	193	Trans_reg_C	PF00486.35	77	1.8e-25	87.6	2.6e-25	87.1	113	186	113	187
WP_003973686.1	244	Trans_reg_C	PF00486.35	77	4.9e-25	86.2	1.7e-24	84.5	169	239	168	239
WP_003975477.1	234	Trans_reg_C	PF00486.35	77	7.2e-25	85.7	1.8999999999999998e-24	84.4	161	232	161	232
WP_003972069.1	230	Trans_reg_C	PF00486.35	77	2.9e-24	83.7	7.8e-24	82.4	151	225	150	225
WP_016326297.1	234	Trans_reg_C	PF00486.35	77	3.4e-24	83.6	8.4e-24	82.3	150	224	150	225
WP_003973594.1	222	Trans_reg_C	PF00486.35	77	4.2e-24	83.3	7.199999999999999e-24	82.5	149	218	147	218
WP_003993508.1	217	Trans_reg_C	PF00486.35	77	7.1e-24	82.5	1.5e-23	81.5	145	217	145	217
WP_161270291.1	242	Trans_reg_C	PF00486.35	77	6.3e-23	79.5	1.5e-21	75	160	240	158	240
WP_052842331.1	220	Trans_reg_C	PF00486.35	77	7.800000000000001e-22	76	2.2e-21	74.5	144	219	144	219
WP_011029105.1	231	Trans_reg_C	PF00486.35	77	6.2e-20	69.9	9.8e-20	69.2	146	217	145	217
WP_011028682.1	395	Trans_reg_C	PF00486.35	77	4.1e-13	48	7.6e-13	47.2	318	382	312	382
WP_011028835.1	638	Trans_reg_C	PF00486.35	77	1.1e-9	37	2.6e-9	35.8	50	118	46	119
WP_016327685.1	281	Trans_reg_C	PF00486.35	77	1.9e-9	36.3	6.8e-9	34.5	21	80	16	96
WP_003973893.1	255	Trans_reg_C	PF00486.35	77	2.2e-9	36.1	6.8e-9	34.5	23	94	19	96
WP_161270138.1	1102	Trans_reg_C	PF00486.35	77	4.4e-9	35.1	2.9e-8	32.5	23	78	20	88
WP_011029645.1	993	Trans_reg_C	PF00486.35	77	7.4e-9	34.4	1.9e-8	33.1	45	99	39	110
