locus_tag	old_locus_tag	gene_name	product	tf_family	region	tss	dT1	dT2	dT3	LFC_T2vsT1	LFC_T3vsT1
SC_RS03185	SCO0253		TetR/AcrR family transcriptional regulator C-terminal domain-containing protein	TetR	1	242203	125	7483	181696	-0.2353378035035249	-0.7205633305830927
SC_RS07215	SCO1052		helix-turn-helix domain-containing protein	HTH (other)	1	1108778	272	12805	105429	0.3469446698179995	2.364778272966627
SC_RS07285	SCO1066		LacI family DNA-binding transcriptional regulator	LacI	1	1126535	4	3426	87672	-0.3715703654838271	0.7346929332110727
SC_RS07885	SCO1186		LacI family DNA-binding transcriptional regulator	LacI	1	1258218	185	6710	44011	-0.7473344152774578	-0.842560267694085
SC_RS08620	SCO1331		LuxR C-terminal-related transcriptional regulator	Other regulatory	1	1406162	217	49655	72033	2.42716860395486	2.0427183314276274
SC_RS09425	SCO1490	nusB	transcription antitermination factor NusB	Other regulatory	0	1593516	113	5452	76676	-1.8852822743135569	-3.1920438843267904
SC_RS10090	SCO1616		LysR family transcriptional regulator	LysR	0	1729404	130	2797	59212	-2.332742571167738	-2.1435285187980977
SC_RS10160	SCO1630		sensor histidine kinase	Sensor kinase	0	1744680	66	4952	74488	10.4971485185914	8.030178460691724
SC_RS11090	SCO1813		FadR/GntR family transcriptional regulator	GntR	0	1942957	241	31371	148531	-2.4417335587764044	-2.836907214530434
SC_RS12650	SCO2121	macS	MacS family sensor histidine kinase	Sensor kinase	0	2282674	258	49839	191186	-1.082981617867327	-1.945238606456243
SC_RS12760	SCO2143		response regulator transcription factor	Response regulator	0	2303726	268	41978	212238	0.0859218504176399	-0.0180552510036599
SC_RS13830	SCO2359		sensor histidine kinase	Sensor kinase	0	2527841	96	57013	436353	0.1551476631430388	-0.6773139459439409
SC_RS13905	SCO2374		TetR family transcriptional regulator	TetR	0	2544733	10	73905	453245	-0.003092793300663	-1.0368606895309411
SC_RS14425	SCO2475		LysR family transcriptional regulator	LysR	0	2666940	178	2814	448442	-0.3237729340935993	-0.9734052968109216
SC_RS15140	SCO2614	folC	bifunctional tetrahydrofolate synthase/dihydrofolate synthase	TetR	0	2838671	228	4276	276711	-1.063467177593841	-1.8826759215594064
SC_RS15850	SCO2753		LacI family DNA-binding transcriptional regulator	LacI	0	2999879	235	2363	115503	-0.8557136270428685	-1.226961921224731
SC_RS16060	SCO2794		LacI family DNA-binding transcriptional regulator	LacI	0	3050892	37	53376	64490	-0.6934597498605036	-1.6364304760804471
SC_RS16090	SCO2800		sensor histidine kinase	Sensor kinase	0	3059226	200	61710	56156	1.111192488293643	0.7507773718523268
SC_RS16420	SCO2865		helix-turn-helix domain-containing protein	HTH (other)	0	3122091	159	124575	6709	-0.6378221525205899	-0.8759597897506419
SC_RS16475	SCO2875		MerR family transcriptional regulator	MerR	0	3129646	128	132130	14264	0.0504358950090346	-0.2594867707781527
SC_RS16870	SCO2953	rsuA	anti-sigma U factor RsuA	Anti-sigma	0	3212094	141	214578	69203	1.1926883458951565	1.5695413540350536
SC_RS16920	SCO2964	stgR	LysR family transcriptional regulator StgR	LysR	0	3225055	195	227539	56242	-2.146393632076846	0.4023928907698288
SC_RS17670	SCO3109	mfd	transcription-repair coupling factor	Other regulatory	0	3408313	131	410797	127016	-0.3256079258555034	-1.079052480924651
SC_RS17975	SCO3173		MerR family transcriptional regulator	MerR	0	3477824	46	480308	196527	-1.5446593892137368	-1.0864303272235214
SC_RS18030	SCO3183		5-formyltetrahydrofolate cyclo-ligase	TetR	0	3487555	166	490039	206258	-1.5471123392376651	-1.92176176718779
SC_RS18470			helix-turn-helix domain-containing protein	HTH (other)	0	3617878	93	620362	336581	0.3644117025229381	0.966601385629274
SC_RS18680	SCO3315		TetR/AcrR family transcriptional regulator	TetR	0	3666265	207	668749	384968	-0.421051085181412	-0.537255883798652
SC_RS18945	SCO3365		helix-turn-helix domain-containing protein	HTH (other)	0	3723256	236	725740	441959	3.4195676917640645	3.7435706170954175
SC_RS19190	SCO3413		MerR family transcriptional regulator	MerR	0	3779675	27	782159	498378	-0.1544535667081392	0.1760774960882377
SC_RS20135	SCO3600		helix-turn-helix domain-containing protein	HTH (other)	0	3976873	116	833586	695576	-2.032137929466868	-0.6648113932481485
SC_RS20250	SCO3623		GntR family transcriptional regulator	GntR	0	4003147	85	807312	721850	-1.6809730341213878	-1.3348116402092314
SC_RS20345	SCO3641		sensor histidine kinase	Sensor kinase	0	4019882	112	790577	738585	-0.9538057450057424	-0.7023230303624954
SC_RS20630	SCO3699		ArsR/SmtB family transcription factor	ArsR	0	4078997	244	731462	797700	0.3906674110010656	0.8405046276930888
SC_RS20985	SCO3773		LysR family transcriptional regulator	LysR	0	4147062	179	663397	859708	-2.6883283430955105	-0.884732867233218
SC_RS21185	SCO3812		GntR family transcriptional regulator	GntR	0	4190999	52	619460	815771	-1.4405098999168529	-1.324164419478943
SC_RS21350	SCO3843	fhaA	antibiotic biosynthesis regulator FhaA	Other regulatory	0	4227374	244	583085	779396	-2.3725358434839876	-2.639983192270919
SC_RS22135	SCO4005		SigE family RNA polymerase sigma factor	Sigma factor	0	4397767	52	412692	609003	0.2650411061157262	3.231774411787676
SC_RS22295	SCO4035		RNA polymerase sigma factor SigF	Sigma factor	0	4432795	6	377664	573975	-0.7328712147614266	2.07904608058758
SC_RS22805	SCO4124		sensor histidine kinase	Sensor kinase	0	4537801	90	272658	468969	-1.725259042101795	0.3174072843996345
SC_RS23725	SCO4308		MurR/RpiR family transcriptional regulator	Other regulatory	0	4722335	228	88124	284435	-2.074023651119372	-0.4402218607093474
SC_RS24140	SCO4394		metal-dependent transcriptional regulator	Other regulatory	0	4810836	245	377	195934	0.1078268639887354	-0.5992542659625048
