locus_tag	old_locus_tag	gene_name	product	tf_family	region_label	tss	nearest_GCCGGC_T1	nearest_GCCGGC_T2	nearest_GCCGGC_T3	baseMean	LFC_T2vsT1	LFC_T3vsT1	class
SC_RS02220			RNA polymerase sigma-70 factor	Sigma factor	arm	31274	54948	2210	392625	189.4	0.77	1.25	Shielded
SC_RS02260	SCO0047		MarR family winged helix-turn-helix transcriptional regulator	MarR	arm	38768	47454	1909	385131	88.7	-0.22	-0.03	Shielded
SC_RS02325	SCO0062		LacI family DNA-binding transcriptional regulator	LacI	arm	48844	37378	429	375055	92.5	-1.48	-0.72	Shielded
SC_RS02330	SCO0063		ROK family protein	ROK	arm	49824	36398	551	374075	66.2	-1.21	-0.33	Shielded
SC_RS02455	SCO0089		LysR family transcriptional regulator	LysR	arm	75916	10306	290	347983	102.0	1.96	1.31	Shielded
SC_RS02530	SCO0110		helix-turn-helix transcriptional regulator	HTH (other)	arm	91790	5568	8387	332109	66.1	2.2	2.01	Shielded
SC_RS02550	SCO0116		TetR/AcrR family transcriptional regulator	TetR	arm	94872	8650	9330	329027	63.9	0.38	-0.21	Shielded
SC_RS02625	SCO0132		helix-turn-helix transcriptional regulator	HTH (other)	arm	122743	8820	5849	301156	225.3	1.35	2.33	Shielded
SC_RS02660	SCO0140		MerR family transcriptional regulator	MerR	arm	132693	1130	3886	291206	32.6	-0.02	2.81	Shielded
SC_RS02680	SCO0143		TetR/AcrR family transcriptional regulator	TetR	arm	136683	2387	3102	287216	27.7	-1.02	0.4	Shielded
SC_RS02705	SCO0148		helix-turn-helix domain-containing protein	HTH (other)	arm	139467	397	318	284432	22.7	-1.03	-1.08	Shielded
SC_RS02735	SCO0155		TetR/AcrR family transcriptional regulator	TetR	arm	145499	4341	5714	278400	126.6	1.15	0.29	Shielded
SC_RS02745	SCO0159		sigma-70 family RNA polymerase sigma factor	Sigma factor	arm	148225	1615	3130	275674	27.3	-0.02	2.31	Shielded
SC_RS02750	SCO0160		helix-turn-helix domain-containing protein	HTH (other)	arm	150209	369	1146	273690	32.3	2.66	3.83	Shielded
SC_RS02915	SCO0193		MerR family transcriptional regulator	MerR	arm	184797	6087	11234	239102	1573.1	-1.02	-3.2	Shielded
SC_RS02920	SCO0194		sigma-70 family RNA polymerase sigma factor	Sigma factor	arm	184958	6248	11395	238941	625.8	-1.4	-0.62	Shielded
SC_RS02965	SCO0203		two-component system sensor histidine kinase	Sensor kinase	arm	194637	8591	16325	229262	1144.3	2.9	3.21	Shielded
SC_RS02970	SCO0204		response regulator	Response regulator	arm	195461	7767	15501	228438	3430.0	6.29	7.53	Shielded
SC_RS03000	SCO0211		sensor histidine kinase	Sensor kinase	arm	201374	1854	9588	222525	97.8	4.16	5.38	Shielded
