timepoint	motif_start	strand
T1	129	-
T1	3986	-
T1	11652	+
T1	23405	+
T1	31826	-
T1	82881	-
T1	96095	-
T1	120742	-
T1	127244	-
T1	173000	-
T1	186458	+
T1	190348	+
T1	190480	+
T1	191485	+
T1	195942	+
T1	206077	-
T1	208454	-
T1	229690	-
T1	232456	+
T1	240260	-
T1	261873	-
T1	281962	-
T1	317893	+
T1	321880	-
T1	327700	+
T1	337718	+
T1	357889	+
T1	371040	-
T1	391204	+
T1	409395	+
T1	429391	+
T1	466470	+
T1	467033	+
T1	468596	+
T1	481753	-
T1	488494	-
T1	489298	-
T1	493893	-
T1	506101	+
T1	516572	+
T1	527465	-
T1	527564	-
T1	536313	-
T1	542610	+
T1	562971	-
T1	580712	+
T1	582571	+
T1	582776	-
T1	609828	+
T1	631011	-
T1	648234	+
T1	648246	+
T1	648438	+
T1	648450	+
T1	670852	-
T1	687159	+
T1	701925	-
T1	736996	+
T1	744028	-
T1	767703	-
T1	796245	+
T1	796427	+
T1	798226	+
T1	826408	+
T1	837137	+
T1	864746	+
T1	877290	+
T1	877488	+
T1	877583	-
T1	883710	-
T1	914289	+
T1	934028	+
T1	942118	-
T1	956269	-
T1	959391	-
T1	967573	-
T1	977522	-
T1	997789	-
T1	1001423	-
T1	1028659	-
T1	1041370	-
T1	1056357	-
T1	1063000	-
T1	1073783	-
T1	1092468	+
T1	1094206	-
T1	1107135	-
T1	1115327	+
T1	1146002	-
T1	1147599	-
T1	1157913	-
T1	1161370	+
T1	1168616	+
T1	1172267	+
T1	1178737	+
T1	1231640	+
T1	1232485	-
T1	1237575	+
T1	1237998	+
T1	1249043	+
T1	1277943	-
T1	1282747	+
T1	1293960	-
T1	1296590	+
T1	1302115	-
T1	1308454	+
T1	1316552	+
T1	1363439	-
T1	1378792	+
T1	1420322	+
T1	1432368	-
T1	1447840	+
T1	1455579	-
T1	1459335	-
T1	1482812	-
T1	1497531	-
T1	1514769	-
T1	1517363	+
T1	1517611	+
T1	1520586	+
T1	1535438	-
T1	1543310	-
T1	1550661	+
T1	1551543	-
T1	1561811	-
T1	1574881	-
T1	1585734	-
T1	1589224	+
T1	1593991	-
T1	1601222	-
T1	1608883	+
T1	1611107	-
T1	1613996	-
T1	1619110	-
T1	1622468	-
T1	1622766	-
T1	1635825	+
T1	1650160	-
T1	1660893	+
T1	1669234	-
T1	1672401	-
T1	1675040	+
T1	1689080	-
T1	1730342	-
T1	1740719	+
T1	1741254	-
T1	1751548	+
T1	1769201	-
T1	1772486	+
T1	1788762	+
T1	1806800	-
T1	1823840	+
T1	1826512	-
T1	1856966	-
T1	1879808	-
T1	1881507	-
T1	1889013	-
T1	1892827	-
T1	1895819	+
T1	1921013	-
T1	1921809	-
T1	1923560	+
T1	1926873	+
T1	1929498	-
T1	1930366	-
T1	1944700	+
T1	1947798	+
T1	1962691	-
T1	1966674	+
T1	1968074	-
T1	1968260	-
T1	1981060	-
T1	1981126	-
T1	2005471	+
T1	2007833	-
T1	2023712	-
T1	2047672	-
T1	2054740	-
T1	2055485	-
T1	2075854	-
T1	2078094	-
T1	2078947	+
T1	2101735	+
T1	2109005	+
T1	2109601	-
T1	2113581	-
T1	2119598	+
T1	2123457	-
T1	2128927	+
T1	2139751	-
T1	2140380	-
T1	2147719	-
T1	2158535	+
T1	2173518	-
T1	2211209	-
T1	2211695	-
T1	2212961	-
T1	2213234	-
T1	2231811	+
T1	2240350	-
T1	2242000	-
T1	2249999	+
T1	2250885	-
T1	2254193	-
T1	2268730	+
T1	2297085	+
T1	2315378	-
T1	2315795	-
T1	2318177	+
T1	2333801	-
T1	2340861	+
T1	2354790	-
T1	2357523	-
T1	2361981	+
T1	2362188	+
T1	2362501	-
T1	2365871	-
T1	2378793	-
T1	2400278	+
T1	2404281	-
T1	2411415	+
T1	2419193	+
T1	2419225	+
T1	2423333	+
T1	2433109	+
T1	2434238	-
T1	2435429	+
T1	2440535	-
T1	2444862	+
T1	2446667	+
T1	2453045	+
T1	2470520	-
T1	2484552	+
T1	2488218	-
T1	2496844	-
T1	2504540	+
T1	2516227	-
T1	2556410	-
T1	2557818	+
T1	2558083	+
T1	2559888	+
T1	2571890	+
T1	2576748	+
T1	2593282	-
T1	2604319	-
T1	2618066	+
T1	2669783	-
T1	2679812	+
T1	2682947	+
T1	2689058	-
T1	2701382	+
T1	2712071	+
T1	2713585	+
T1	2739860	+
