accession,species,size_mb,gc_pct,CCGG_count,CCGG_density,CCGG_expected,CCGG_oe,AAGCCCG_count,AAGCCCG_density,AAGCCCG_expected,AAGCCCG_oe,GATC_count,GATC_density,GATC_expected,GATC_oe,GGCCGG_count,GGCCGG_density,GGCCGG_expected,GGCCGG_oe,GCCCG_count,GCCCG_density,GCCCG_expected,GCCCG_oe,GCGG_count,GCGG_density,GCGG_expected,GCGG_oe,CGACNNNCTCC_count,CGACNNNCTCC_density,CGACNNNCTCC_expected,CGACNNNCTCC_oe
GCF_014648775.1,Streptomyces abikoensis,7.0,72.2,120645,17232.9,119211.0,1.012,1363,194.7,1658.4,0.822,35898,5127.7,17590.9,2.041,30563,4365.6,31112.0,0.982,78317,11186.8,86126.6,0.909,222663,31805.1,238422.0,0.934,1901,271.5,599.1,3.173
GCF_001751365.1,Streptomyces abyssalis,6.61,70.8,103192,15610.1,103818.2,0.994,1427,215.9,1566.7,0.911,32573,4927.4,17657.9,1.845,22644,3425.4,26020.8,0.87,66466,10054.5,73504.2,0.904,208900,31600.8,207636.5,1.006,1510,228.4,554.6,2.723
GCF_008974245.1,Streptomyces abyssomicinicus,7.93,73.0,152783,19268.6,140802.3,1.085,1100,138.7,1872.3,0.588,39707,5007.7,19244.1,2.063,40420,5097.7,37525.9,1.077,85473,10779.6,102798.2,0.831,277927,35051.4,281604.6,0.987,1996,251.7,683.5,2.92
GCF_037892235.1,Streptomyces achmelvichensis,9.63,70.0,148180,15385.9,144842.3,1.023,1780,184.8,2276.7,0.782,58917,6117.5,26506.1,2.223,35540,3690.2,35525.5,1.0,87678,9103.8,101445.5,0.864,285119,29604.7,289684.6,0.984,1908,198.1,797.3,2.393
GCF_045160875.1,Streptomyces achromogenes,8.53,72.4,169520,19883.7,146079.9,1.16,1283,150.5,2018.9,0.635,43377,5087.9,21314.9,2.035,46523,5456.9,38243.1,1.217,93450,10961.1,105702.9,0.884,275319,32293.3,292159.7,0.942,1787,209.6,730.4,2.446
GCF_009377235.1,Streptomyces acidicola,10.26,70.3,149503,14576.4,156522.3,0.955,1803,175.8,2427.2,0.743,57469,5603.2,27950.5,2.056,34126,3327.2,38671.8,0.882,94847,9247.5,110027.3,0.862,294675,28730.5,313044.6,0.941,2223,216.7,853.1,2.606
GCF_051172935.1,Streptomyces acidiscabies,11.03,70.6,162811,14763.8,171221.4,0.951,1548,140.4,2612.3,0.593,63049,5717.3,29695.3,2.123,34246,3105.5,42670.2,0.803,90825,8236.1,120880.5,0.751,318837,28912.4,342442.9,0.931,3087,279.9,922.1,3.348
GCF_016741775.1,Streptomyces actinomycinicus,8.79,71.9,166190,18904.6,146443.5,1.135,1305,148.4,2084.2,0.626,46130,5247.4,22474.7,2.053,44866,5103.6,37802.1,1.187,90338,10276.2,105222.3,0.859,274675,31245.0,292886.9,0.938,1914,217.7,748.8,2.556
GCF_016921115.1,Streptomyces actuosus,8.45,72.0,150994,17866.0,142246.1,1.061,1258,148.8,2003.1,0.628,45414,5373.5,21433.2,2.119,38347,4537.3,36908.3,1.039,89699,10613.4,102470.2,0.875,275919,32647.4,284492.3,0.97,2033,240.5,721.5,2.818
GCF_020400605.1,Streptomyces aculeolatus,8.99,73.3,160414,17850.6,162163.6,0.989,1438,160.0,2118.1,0.679,40711,4530.3,21509.9,1.893,40991,4561.4,43567.8,0.941,103522,11519.8,118870.7,0.871,340831,37927.2,324327.3,1.051,2303,256.3,776.3,2.967
GCF_016598475.1,Streptomyces adelaidensis,9.32,70.6,142004,15234.4,144391.6,0.983,1585,170.0,2207.8,0.718,52683,5651.9,25140.8,2.096,34262,3675.7,35942.3,0.953,85532,9176.0,101880.0,0.84,274072,29402.9,288783.2,0.949,2389,256.3,778.9,3.067
GCF_041021105.1,Streptomyces adonidis,11.31,70.3,169092,14946.5,172557.5,0.98,1926,170.2,2677.1,0.719,67197,5939.7,30840.7,2.179,37995,3358.5,42622.6,0.891,105541,9329.1,121283.5,0.87,318036,28112.1,345115.0,0.922,2913,257.5,940.8,3.096
GCF_009377175.1,Streptomyces adustus,10.23,71.2,169690,16592.4,164256.1,1.033,1806,176.6,2425.2,0.745,58847,5754.1,26877.5,2.189,42339,4139.9,41633.1,1.017,101289,9904.1,116948.7,0.866,313477,30652.0,328512.2,0.954,2272,222.2,863.4,2.632
GCF_044327915.1,Streptomyces afghaniensis,9.43,71.2,156198,16569.5,151018.4,1.034,1561,165.6,2235.4,0.698,52733,5593.9,24821.2,2.125,39042,4141.6,38229.0,1.021,94731,10049.1,107454.9,0.882,281829,29896.5,302036.8,0.933,2270,240.8,795.3,2.854
GCF_030816955.1,Streptomyces africanus,9.07,71.2,150567,16601.5,145851.8,1.032,1526,168.3,2150.8,0.71,51094,5633.6,23813.1,2.146,37862,4174.7,36991.9,1.024,92202,10166.2,103878.2,0.888,272802,30079.1,291703.6,0.935,2196,242.1,765.9,2.867
GCF_001746455.1,Streptomyces agglomeratus,8.96,70.5,139514,15566.6,138331.9,1.009,1758,196.2,2122.4,0.828,48253,5384.0,24233.7,1.991,35229,3930.8,34371.8,1.025,84155,9389.8,97516.3,0.863,270670,30200.7,276663.7,0.978,1837,205.0,748.1,2.456
GCF_900112355.1,Streptomyces aidingensis,6.48,73.1,160497,24757.6,115425.2,1.39,829,127.9,1530.3,0.542,34879,5380.3,15697.9,2.222,48506,7482.3,30803.6,1.575,82565,12736.1,84326.9,0.979,236880,36540.1,230850.4,1.026,897,138.4,559.0,1.605
GCF_019599145.1,Streptomyces akebiae,10.55,70.9,163347,15484.0,166344.6,0.982,1789,169.6,2500.6,0.715,60147,5701.5,28098.0,2.141,37909,3593.5,41776.3,0.907,97508,9243.0,117891.9,0.827,309194,29309.2,332689.1,0.929,2620,248.4,886.1,2.957
GCF_014650595.1,Streptomyces alanosinicus,10.24,70.9,171687,16758.4,161656.8,1.062,1632,159.3,2428.5,0.672,59878,5844.7,27273.1,2.195,44179,4312.3,40613.3,1.088,97382,9505.5,114589.8,0.85,308785,30140.5,323313.5,0.955,2058,200.9,860.7,2.391
GCF_039530985.1,Streptomyces albiaxialis,9.19,72.8,134770,14665.7,161332.6,0.835,1876,204.1,2172.2,0.864,44385,4830.0,22519.0,1.971,25370,2760.8,42753.1,0.593,110324,12005.5,117451.9,0.939,309206,33647.9,322665.1,0.958,2528,275.1,790.7,3.197
GCF_008905045.1,Streptomyces albicerus,11.98,69.9,169696,14168.4,179190.4,0.947,2366,197.5,2830.0,0.836,70841,5914.7,33078.1,2.142,39089,3263.6,43835.6,0.892,109698,9159.0,125338.8,0.875,348686,29112.7,358380.9,0.973,2680,223.8,989.8,2.708
GCF_025642175.1,Streptomyces albidocamelliae,8.57,72.2,157158,18333.7,145580.5,1.08,1344,156.8,2030.9,0.662,45685,5329.5,21584.5,2.117,41424,4832.4,37943.9,1.092,89738,10468.6,105108.4,0.854,278830,32527.6,291161.1,0.958,1994,232.6,733.1,2.72
GCF_039529395.1,Streptomyces albidochromogenes,7.33,71.7,118070,16112.2,120986.5,0.976,1368,186.7,1737.7,0.787,39133,5340.2,18863.9,2.074,30856,4210.7,31091.6,0.992,74716,10196.0,86737.1,0.861,234587,32012.5,241972.9,0.969,1669,227.8,622.9,2.679
GCF_045039635.1,Streptomyces albidoflavus,7.22,73.4,134931,18699.6,130645.8,1.033,1169,162.0,1700.0,0.688,30850,4275.4,17221.0,1.791,35693,4946.6,35158.8,1.015,82177,11388.6,95847.2,0.857,248171,34393.1,261291.6,0.95,2104,291.6,623.6,3.374
GCF_013870515.1,Streptomyces albidus,6.66,69.8,90543,13599.8,98815.9,0.916,1422,213.6,1572.0,0.905,36181,5434.5,18483.9,1.957,18749,2816.1,24077.4,0.779,58637,8807.4,68981.6,0.85,186910,28074.4,197631.9,0.946,1554,233.4,548.7,2.832
GCF_014645835.1,Streptomyces albiflavescens,10.89,69.9,149552,13729.5,162821.6,0.919,2041,187.4,2573.6,0.793,65382,6002.3,30101.4,2.172,32712,3003.1,39813.4,0.822,97169,8920.5,113863.7,0.853,311939,28637.2,325643.2,0.958,2340,214.8,899.9,2.6
GCF_023701525.1,Streptomyces albipurpureus,9.37,68.3,128799,13752.3,127516.1,1.01,1839,196.4,2186.0,0.841,61967,6616.4,27422.5,2.26,26733,2854.4,29758.4,0.898,74311,7934.4,87116.8,0.853,248602,26544.1,255032.1,0.975,1547,165.2,746.7,2.072
GCF_021228125.1,Streptomyces albireticuli,8.56,72.5,158053,18454.4,147634.4,1.071,1688,197.1,2027.3,0.833,43029,5024.1,21307.5,2.019,42246,4932.7,38766.9,1.09,99490,11616.6,106989.0,0.93,287026,33513.5,295268.9,0.972,2170,253.4,734.6,2.954
GCF_008634025.1,Streptomyces albofaciens,9.25,72.3,169765,18347.8,158147.3,1.073,1588,171.6,2191.4,0.725,43947,4749.7,23178.5,1.896,45857,4956.1,41351.5,1.109,106255,11483.8,114364.5,0.929,320045,34589.8,316294.6,1.012,1825,197.2,792.3,2.303
GCF_000716675.1,Streptomyces alboflavus,9.72,72.2,137219,14121.0,164815.4,0.833,2205,226.9,2302.4,0.958,46463,4781.4,24493.8,1.897,27908,2872.0,42929.1,0.65,105969,10905.1,118957.0,0.891,329009,33857.8,329630.8,0.998,2406,247.6,830.9,2.896
GCF_044901485.1,Streptomyces albogriseolus,7.51,72.7,129886,17303.3,130811.1,0.993,1040,138.5,1775.5,0.586,37517,4998.0,18508.7,2.027,32628,4346.7,34536.7,0.945,78819,10500.2,95055.6,0.829,256440,34162.8,261622.2,0.98,1896,252.6,645.1,2.939
GCF_008704395.1,Streptomyces alboniger,7.96,71.2,105126,13202.2,127616.9,0.824,1573,197.5,1888.2,0.833,42644,5355.4,20960.1,2.035,23072,2897.5,32311.7,0.714,79065,9929.3,90813.2,0.871,258546,32469.3,255233.9,1.013,1863,234.0,671.8,2.773
GCF_014648695.1,Streptomyces albospinus,9.21,70.8,162093,17605.4,144916.8,1.119,1459,158.5,2182.3,0.669,52829,5737.9,24554.1,2.152,43018,4672.3,36362.1,1.183,89930,9767.6,102659.5,0.876,300346,32621.5,289833.6,1.036,1919,208.4,773.0,2.483
GCF_002150845.1,Streptomyces alboverticillatus,7.04,71.9,117216,16639.6,117976.3,0.994,1349,191.5,1669.9,0.808,35223,5000.2,17934.5,1.964,32084,4554.6,30535.2,1.051,74810,10619.8,84881.4,0.881,224102,31812.9,235952.6,0.95,1505,213.6,600.7,2.505
GCF_002154385.1,Streptomyces albovinaceus,7.24,71.4,126598,17492.4,117497.0,1.077,1371,189.4,1716.4,0.799,43940,6071.3,18869.2,2.329,28231,3900.8,29942.1,0.943,76222,10531.8,83882.1,0.909,223879,30934.0,234994.1,0.953,1857,256.6,612.7,3.031
GCF_000716935.1,Streptomyces alboviridis,8.57,71.3,147918,17257.8,138060.2,1.071,1495,174.4,2032.6,0.736,48938,5709.7,22477.7,2.177,34032,3970.6,35044.1,0.971,87534,10212.7,98368.6,0.89,262367,30610.7,276120.3,0.95,2145,250.3,724.1,2.962
GCF_024752535.1,Streptomyces albus,8.03,72.6,149263,18580.3,139643.3,1.069,1227,152.7,1900.5,0.646,34250,4263.4,19849.4,1.725,40178,5001.4,36822.2,1.091,91625,11405.5,101409.8,0.904,278283,34640.7,279286.6,0.996,1795,223.4,690.1,2.601
