accession	binomial	full_name	tax_id	strain	level	refseq_cat	n50	total_len	gc	n_assemblies
GCF_014648775.1	Streptomyces abikoensis	Streptomyces abikoensis	97398	JCM 4002	Contig	reference genome	785131	7000866	72	9
GCF_001751365.1	Streptomyces abyssalis	Streptomyces abyssalis	933944	SCSIO 10390	Scaffold	reference genome	652893	6610598	71	2
GCF_008974245.1	Streptomyces abyssomicinicus	Streptomyces abyssomicinicus	574929	CHI39	Scaffold	reference genome	307082	7929138	73	1
GCF_037892235.1	Streptomyces achmelvichensis	Streptomyces achmelvichensis	3134111	MS2.AVA.5	Contig	reference genome	8403191	9630876	70	1
GCF_045160875.1	Streptomyces achromogenes	Streptomyces achromogenes	67255	NBC_00156	Complete Genome	reference genome	8525584	8525584	72.5	18
GCF_009377235.1	Streptomyces acidicola	Streptomyces acidicola	2596892	K1PN6	Contig	reference genome	34036	10256521	70.5	4
GCF_051172935.1	Streptomyces acidiscabies	Streptomyces acidiscabies	42234	ATCC 49003	Contig	reference genome	7538445	11027707	70.5	18
GCF_016741775.1	Streptomyces actinomycinicus	Streptomyces actinomycinicus	1695166	RCU-197	Contig	reference genome	270358	8790999	72	2
GCF_016921115.1	Streptomyces actuosus	Streptomyces actuosus	1885	VRA1	Contig	reference genome	190774	8451480	72	2
GCF_020400605.1	Streptomyces aculeolatus	Streptomyces aculeolatus	270689	DSM 41644	Contig	reference genome	230881	8986452	73.5	2
GCF_016598475.1	Streptomyces adelaidensis	Streptomyces adelaidensis	2796465	CAP261	Contig	reference genome	83341	9321252	70.5	1
GCF_041021105.1	Streptomyces adonidis	Streptomyces adonidis	3231367	NEAU-BLH26	Scaffold	reference genome	101981	11313119	70.5	1
GCF_009377175.1	Streptomyces adustus	Streptomyces adustus	1609272	NBRC 109810	Contig	reference genome	32765	10226955	71	4
GCF_044327915.1	Streptomyces afghaniensis	Streptomyces afghaniensis	66865	NPDC018010	Scaffold	reference genome	714786	9426811	71	6
GCF_030816955.1	Streptomyces africanus	Streptomyces africanus	231024	B3I12	Contig	reference genome	9069472	9069472	71	2
GCF_001746455.1	Streptomyces agglomeratus	Streptomyces agglomeratus	285458	9-3-15	Contig	reference genome	8142030	8962368	70.5	4
GCF_900112355.1	Streptomyces aidingensis	Streptomyces aidingensis	910347	CGMCC 4.5739	Scaffold	reference genome	276870	6482745	73	1
GCF_019599145.1	Streptomyces akebiae	Streptomyces akebiae	2865673	MG28	Complete Genome	reference genome	10257202	10549378	71	1
GCF_014650595.1	Streptomyces alanosinicus	Streptomyces alanosinicus	68171	JCM 4714	Contig	reference genome	228177	10244856	71	1
GCF_039530985.1	Streptomyces albiaxialis	Streptomyces albiaxialis	329523	JCM 15478	Scaffold	reference genome	283078	9189471	73	1
GCF_008905045.1	Streptomyces albicerus	Streptomyces albicerus	2569859	TRM68295	Scaffold	reference genome	82685	11977091	70	1
GCF_025642175.1	Streptomyces albidocamelliae	Streptomyces albidocamelliae	2981135	HUAS 14-6	Complete Genome	reference genome	8381966	8572100	72	1
GCF_039529395.1	Streptomyces albidochromogenes	Streptomyces albidochromogenes	329524	JCM 13858	Scaffold	reference genome	158238	7327976	71.5	3
GCF_045039635.1	Streptomyces albidoflavus	Streptomyces albidoflavus	1886	NBC_01110	Complete Genome	reference genome	7134393	7215712	73.5	162
GCF_013870515.1	Streptomyces albidus	Streptomyces albidus (ex Kaewkla and Franco 2022)	722709	CAP215	Contig		20451	6657676	70	1
GCF_014645835.1	Streptomyces albiflavescens	Streptomyces albiflavescens	1623582	CGMCC 4.7111	Scaffold	reference genome	217414	10892780	70	1
GCF_023701525.1	Streptomyces albipurpureus	Streptomyces albipurpureus	2897419	CWNU-1	Scaffold	reference genome	108799	9365620	68.5	1
GCF_021228125.1	Streptomyces albireticuli	Streptomyces albireticuli	1940	NRRL B1670	Scaffold	reference genome	272279	8564494	72.5	6
GCF_008634025.1	Streptomyces albofaciens	Streptomyces albofaciens JCM 4342	1306175	ATCC 23873	Contig	reference genome	4757978	9252595	72.5	1
GCF_000716675.1	Streptomyces alboflavus	Streptomyces alboflavus	67267	NRRL B-2373	Contig	reference genome	134286	9717375	72	7
GCF_044901485.1	Streptomyces albogriseolus	Streptomyces albogriseolus	1887	NPDC052706	Scaffold	reference genome	548654	7506412	72.5	62
GCF_008704395.1	Streptomyces alboniger	Streptomyces alboniger	132473	ATCC 12461	Complete Genome	reference genome	7962786	7962786	71	2
GCF_014648695.1	Streptomyces albospinus	Streptomyces albospinus	285515	JCM 3399	Scaffold	reference genome	58161	9206985	71	1
GCF_002150845.1	Streptomyces alboverticillatus	Streptomyces alboverticillatus	173770	NRRL B-24281	Scaffold	reference genome	18412	7044380	72	1
GCF_002154385.1	Streptomyces albovinaceus	Streptomyces albovinaceus	66867	NRRL B-2566	Scaffold	reference genome	22344	7237318	71.5	1
GCF_000716935.1	Streptomyces alboviridis	Streptomyces alboviridis	67269	NRRL B-1579	Contig		264758	8571085	71.5	1
GCF_024752535.1	Streptomyces albus	Streptomyces albus	1888	DSM 40763	Complete Genome	reference genome	7889116	8033415	72.5	35
GCF_018141485.1	Streptomyces alfalfae	Streptomyces alfalfae	1642299	XN-04	Complete Genome	reference genome	8254035	8278595	72	7
GCF_014141535.1	Streptomyces alkaliphilus	Streptomyces alkaliphilus	1472722	DSM 42118	Contig	reference genome	5021	5761373	72.5	2
GCF_013618545.1	Streptomyces alkaliterrae	Streptomyces alkaliterrae	2213162	OF8	Contig	reference genome	26709	6036367	72	3
GCF_045276965.1	Streptomyces althioticus	Streptomyces althioticus	83380	NBC 01666	Complete Genome	reference genome	7542023	7542023	72.5	58
GCF_053591575.1	Streptomyces altiplanensis	Streptomyces altiplanensis	1854571	NPDC003008	Scaffold	reference genome	64554	8012397	71	1
GCF_039532665.1	Streptomyces amakusaensis	Streptomyces amakusaensis	67271	JCM 4167	Scaffold	reference genome	379645	8349877	72	2
GCF_001267885.1	Streptomyces ambofaciens	Streptomyces ambofaciens ATCC 23877	278992	ATCC 23877	Complete Genome	reference genome	8303940	8393598	72	6
GCF_001953875.1	Streptomyces amritsarensis	Streptomyces amritsarensis	681158	MTCC 11845	Scaffold	reference genome	63430	7816792	72.5	3
GCF_014650655.1	Streptomyces anandii	Streptomyces anandii JCM 4720	1306180	JCM 4720	Scaffold	reference genome	15391	7932225	72.5	6
GCF_019400875.1	Streptomyces anatolicus	Streptomyces anatolicus	2675858	BG9H	Contig	reference genome	13615	7259623	71	1
GCF_042651645.1	Streptomyces andamanensis	Streptomyces andamanensis	1565035	PCU 347	Contig	reference genome	538701	8875826	72.5	1
GCF_019933235.1	Streptomyces angustmyceticus	Streptomyces angustmyceticus	285578	JCM 4053	Complete Genome	reference genome	8116382	8116382	72	13
GCF_026627255.1	Streptomyces antarcticus	Streptomyces antarcticus	2996458	H27-S2	Scaffold	reference genome	220250	8504971	72.5	3
GCF_035917655.1	Streptomyces anthocyanicus	Streptomyces anthocyanicus	68174	NBC 01777	Complete Genome	reference genome	8677221	8876440	72	48
GCF_049310305.1	Streptomyces anthophorae	Streptomyces anthophorae	3402626	BH034	Contig	reference genome	9378844	9621129	71	5
GCF_043202155.1	Streptomyces antibioticus	Streptomyces antibioticus	1890	NPDC048228	Scaffold	reference genome	1086161	8176697	72	26
GCF_020532625.1	Streptomyces antimicrobicus	Streptomyces antimicrobicus	2883108	SMC 277	Contig	reference genome	38913	6545928	73.5	1
GCF_045161845.1	Streptomyces antimycoticus	Streptomyces antimycoticus	68175	NBC_00839	Complete Genome	reference genome	10880213	10880213	71	20
GCF_000968685.2	Streptomyces antioxidans	Streptomyces antioxidans	1507734	MUSC 164	Contig	reference genome	135927	9118065	71.5	1
GCF_004005495.1	Streptomyces antnestii	Streptomyces antnestii	2494256	San01	Contig	reference genome	306633	8930571	70.5	1
GCF_001434355.1	Streptomyces anulatus	Streptomyces anulatus	1892	ATCC 11523	Chromosome	reference genome	2269932	8847108	71.5	118
GCF_009739465.1	Streptomyces apocyni	Streptomyces apocyni	2654677	TRM 66233	Scaffold	reference genome	239872	7030968	70.5	1
GCF_008369065.1	Streptomyces apricus	Streptomyces apricus	1828112	SUN51	Scaffold	reference genome	25886	8852793	72	1
GCF_003955715.1	Streptomyces aquilus	Streptomyces aquilus	2548456	GGCR-6	Complete Genome	reference genome	10393987	10393987	71	3
GCF_008932075.1	Streptomyces arboris	Streptomyces arboris	2600619	TRM68085	Scaffold	reference genome	97244	8300205	71.5	8
GCF_003112575.1	Streptomyces ardesiacus	Streptomyces ardesiacus	285564	NBRC 15402	Contig	reference genome	752736	7851547	72.5	20
GCF_022343545.1	Streptomyces arenae	Streptomyces arenae	29301	DSM 40737	Scaffold		205194	10527565	71.5	1
