locus_tag	start	end	strand	product	protein_id	T1_mean_counts	T2_mean_counts	T3_mean_counts	T2vsT1_log2FC	T2vsT1_padj	T3vsT1_log2FC	T3vsT1_padj
SC_RS02900	180084	180824	-	class I SAM-dependent methyltransferase	WP_011026914.1	46.97384480171146	72.89396029640932	47.69004033379665	0.5846861569217157	0.0640578355841938	0.0372524265488617	0.907562923608031
SC_RS03870	413247	414497	+	class I SAM-dependent methyltransferase	WP_011027081.1	4.51792551197752	5494.771971843066	2827.1804614913076	10.21070705279854	2.104889478592119e-104	9.246957149973117	8.43891293050258e-86
SC_RS03935	426015	426833	-	SAM-dependent methyltransferase	WP_011027090.1	145.09353927696654	1388.6796673732676	730.6619443371713	3.233229594520067	4.49745974259306e-47	2.2981547182277335	1.1380866607185346e-24
SC_RS03950	428657	429403	+	class I SAM-dependent DNA methyltransferase	WP_037666971.1	130.1891357231657	160.94446498203675	102.27900256142472	0.2876900888276954	0.2138621159283766	-0.3371318788994072	0.1247364995765593
SC_RS04540	557029	557844	+	SAM-dependent methyltransferase	WP_003978338.1	294.73441086804587	788.4575826900697	370.66853067016456	1.3932433171848595	1.753613602257633e-12	0.3146944350428592	0.1160124348703498
SC_RS04895	635776	636516	-	class I SAM-dependent methyltransferase	WP_011027230.1	15.989812982196232	31.71641410072912	53.484337844051986	0.9015100051262196	0.0163810288707545	1.6710524275636545	2.424210319009803e-06
SC_RS05160	690228	690923	+	class I SAM-dependent methyltransferase	WP_011027271.1	25.218954802389757	119.53970526596412	153.18435838750258	2.1816921316652493	2.93218666201402e-14	2.5400943884516582	1.1069813447101029e-19
SC_RS05450	744945	745763	-	SAM-dependent methyltransferase	WP_003978157.1	1029.6134643036796	6965.213136079846	3340.4747227014627	2.72874848943277	7.290030420962506e-33	1.662115932148806	2.803297391425189e-13
SC_RS05730	805153	805797	+	HemK2/MTQ2 family protein methyltransferase	WP_173943921.1	37.326839308005496	153.7049282874552	79.4958985910401	1.971472753600258	1.2626545087023054e-09	1.0153846197757237	0.0013538468324778
SC_RS06060	874543	875343	+	class I SAM-dependent methyltransferase	WP_003978033.1	62.43704497651466	29.81542135341711	49.00939346650341	-1.006722750570742	0.0007778935192462517	-0.3093181720019652	0.2456334387806335
SC_RS06105	883113	883760	-	class I SAM-dependent methyltransferase	WP_003978024.1	11.02918123106017	18.81794053353983	40.26226783959407	0.6261545303618696	0.1716996087797219	1.722579944694725	9.441399198031096e-05
SC_RS06515	958016	958987	+	L-histidine N(alpha)-methyltransferase	WP_011027441.1	58.66351094147922	1759.0127774138898	320.9429307264898	4.895826022957483	9.919485795462695e-113	2.423969237331236	2.3140694920899016e-28
SC_RS06595	976453	977265	-	SAM-dependent methyltransferase	WP_011027452.1	79.1924294973838	507.9460971821864	191.87049395257205	2.658060779776505	1.812753700778313e-41	1.241502087761784	4.41371842366655e-10
SC_RS06885	1038243	1040561	+	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase	WP_011027494.1	352.51940783295066	3558.9082035346764	400.68954028918273	3.3232589075481034	8.963961654078998e-98	0.1766970836216357	0.2919285669709959
SC_RS06935	1050595	1051344	+	class I SAM-dependent methyltransferase	WP_011027504.1	19.01939828651021	2020.5220370418629	757.4690295540325	6.719936322524591	1.439059298907428e-104	5.296242209836086	2.304292311446081e-65
SC_RS07160	1097372	1098505	+	methyltransferase	WP_161270458.1	758.3032562116546	219.59406203790073	134.63194028395398	-1.7687747792007995	7.489892886177101e-27	-2.4797348554709884	2.0378168346991245e-51
SC_RS07760	1222188	1222787	+	class I SAM-dependent methyltransferase	WP_011027620.1	61.90721241142697	135.27359913324997	82.92777336178749	1.101485433848106	2.655669747138337e-06	0.4087757653773565	0.0794162845868876
SC_RS08195	1319887	1320564	+	class I SAM-dependent methyltransferase	WP_011027667.1	371.13005467879407	408.430080628569	851.7312308381332	0.1322936811001333	0.6190038669895945	1.1593367461798496	7.163989558947639e-07
SC_RS08355	1349799	1350677	+	class I SAM-dependent methyltransferase	WP_003977552.1	1.7096933272428128	5.992347310633291	48.8874044278973	1.3504330307405474	0.0424821621484303	4.632046535461463	1.2621665971271062e-10
SC_RS09335	1571971	1573398	-	RsmB/NOP family class I SAM-dependent RNA methyltransferase	WP_003977354.1	1042.2457454087898	366.7075317344872	217.49887937797723	-1.4895167947459382	4.551725511681094e-21	-2.25405959732072	3.3673217490105803e-46
SC_RS09775	1660653	1661471	-	TrmH family RNA methyltransferase	WP_003977273.1	308.45019611918144	138.54755033989028	85.85781046813848	-1.131951129031791	1.0684152338991352e-09	-1.8312950450105616	2.484609417003085e-23
SC_RS09780	1661473	1662705	-	uroporphyrinogen-III C-methyltransferase	WP_003977272.1	672.1562596653762	353.86646124298204	166.78409055354084	-0.9108935198337148	4.20303487428297e-09	-1.9931087407705448	2.1127831085938287e-37
SC_RS09790	1666903	1668129	-	precorrin-6y C5%2C15-methyltransferase (decarboxylating) subunit CbiE	WP_003977269.1	146.49788486251052	65.4094780219104	87.45013028927764	-1.111558557026424	7.097142585784907e-05	-0.6905542275540599	0.0083570287207158
SC_RS10000	1709299	1710147	-	TrmH family RNA methyltransferase	WP_011027873.1	913.4604244710627	106.751835715768	133.25195781560925	-3.071776232267622	4.982771390812521e-58	-2.764210186538145	1.953008673523977e-53
SC_RS10265	1765257	1766159	-	tRNA (adenine-N1)-methyltransferase	WP_011027901.1	2358.0039016646538	851.751037219024	472.1145762991523	-1.4323453584394084	3.573821610170111e-10	-2.291589936461467	1.0389649581362027e-23
SC_RS10665	1850270	1850887	-	class I SAM-dependent methyltransferase	WP_003977095.1	442.56494868105113	194.8727562270326	166.1180938854185	-1.1620591017733102	3.0767203543888694e-10	-1.4009542607102925	7.0943022171269865e-15
SC_RS11295	1986075	1986806	+	precorrin-2 C(20)-methyltransferase	WP_011028010.1	1582.5403205764742	947.5358910402787	246.65950340749282	-0.722651683700907	4.608645710912658e-05	-2.6710795173807993	1.1013869772266278e-50
