gene_id,old_locus_tag,chrom,start,end,strand,6mA_T1_count,6mA_T1_mean_freq,6mA_T2_count,6mA_T2_mean_freq,6mA_T3_count,6mA_T3_mean_freq,4mC_T1_count,4mC_T1_mean_freq,4mC_T2_count,4mC_T2_mean_freq,4mC_T3_count,4mC_T3_mean_freq,5mC_T1_count,5mC_T1_mean_freq,5mC_T2_count,5mC_T2_mean_freq,5mC_T3_count,5mC_T3_mean_freq,log2FC_T2_vs_T1,padj_T2_vs_T1,baseMean_T2_vs_T1,log2FC_T3_vs_T1,padj_T3_vs_T1,baseMean_T3_vs_T1,log2FC_T3_vs_T2,padj_T3_vs_T2,baseMean_T3_vs_T2,6mA_change_T2_vs_T1,6mA_change_T3_vs_T1,6mA_change_T3_vs_T2,4mC_change_T2_vs_T1,4mC_change_T3_vs_T1,4mC_change_T3_vs_T2
SC_RS02065,,NC_003888.3,577,699,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02070,,NC_003888.3,800,1123,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02075,SCO0002,NC_003888.3,1144,3813,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02080,SCO0003,NC_003888.3,3869,6220,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02085,SCO0004,NC_003888.3,6346,7173,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,10.145450536920526,5.510754414373891e-14,51.55349145962415,7.735271409749111,5.003529298989274e-09,51.55349145962415,-1.9860798863520952,5.302696237635492e-10,51.55349145962415,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02090,SCO0005,NC_003888.3,7154,9307,+,0,0.0,0,0.0,0,0.0,0,0.0,1,90.79333333333334,0,0.0,0,0,0,0,0,0,9.67996973039465,6.467811215071488e-13,37.64038128547583,7.031963909443203,7.920637789255217e-08,37.64038128547583,-2.1587889055421576,2.5901919498219063e-11,37.64038128547583,0.0,0.0,0.0,90.79333333333334,0.0,-90.79333333333334
SC_RS02095,SCO0006,NC_003888.3,9424,10410,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02100,,NC_003888.3,10407,11363,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02110,SCO0010,NC_003888.3,12366,13457,+,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,6.785993216525088,1.023632259402768e-06,9.087768831491523,5.750986768526444,1.6178828631287955e-05,9.087768831491523,-0.6495927324664642,0.1793263990932937,9.087768831491523,0.0,0.0,0.0,0.0,0.0,0.0
SC_RS02120,SCO0012,NC_003888.3,14044,14343,-,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
