locus_tag,product,start,end,strand,category,predicted_methyl_type,SCO_id
SC_RS02900,class I SAM-dependent methyltransferase,180084,180824,-,SAM_dependent_MTase,Unknown,SCO02900
SC_RS03870,class I SAM-dependent methyltransferase,413247,414497,+,SAM_dependent_MTase,Unknown,SCO03870
SC_RS03935,SAM-dependent methyltransferase,426015,426833,-,SAM_dependent_MTase,Unknown,SCO03935
SC_RS03950,class I SAM-dependent DNA methyltransferase,428657,429403,+,DNA_methyltransferase,Unknown,SCO03950
SC_RS04540,SAM-dependent methyltransferase,557029,557844,+,SAM_dependent_MTase,Unknown,SCO04540
SC_RS04895,class I SAM-dependent methyltransferase,635776,636516,-,SAM_dependent_MTase,Unknown,SCO04895
SC_RS05160,class I SAM-dependent methyltransferase,690228,690923,+,SAM_dependent_MTase,Unknown,SCO05160
SC_RS05450,SAM-dependent methyltransferase,744945,745763,-,SAM_dependent_MTase,Unknown,SCO05450
SC_RS06060,class I SAM-dependent methyltransferase,874543,875343,+,SAM_dependent_MTase,Unknown,SCO06060
SC_RS06105,class I SAM-dependent methyltransferase,883113,883760,-,SAM_dependent_MTase,Unknown,SCO06105
SC_RS06595,SAM-dependent methyltransferase,976453,977265,-,SAM_dependent_MTase,Unknown,SCO06595
SC_RS06675,Fpg/Nei family DNA glycosylase,990249,991112,-,DNA_methyltransferase,6mA,SCO06675
SC_RS06935,class I SAM-dependent methyltransferase,1050595,1051344,+,SAM_dependent_MTase,Unknown,SCO06935
SC_RS07760,class I SAM-dependent methyltransferase,1222188,1222787,+,SAM_dependent_MTase,Unknown,SCO07760
SC_RS08195,class I SAM-dependent methyltransferase,1319887,1320564,+,SAM_dependent_MTase,Unknown,SCO08195
SC_RS08355,class I SAM-dependent methyltransferase,1349799,1350677,+,SAM_dependent_MTase,Unknown,SCO08355
SC_RS10595,type ISP restriction/modification enzyme,1837908,1839068,+,DNA_methyltransferase,Unknown,SCO10595
SC_RS10665,class I SAM-dependent methyltransferase,1850270,1850887,-,SAM_dependent_MTase,Unknown,SCO10665
SC_RS10700,DNA polymerase Y family protein,1855022,1855990,-,DNA_methyltransferase,6mA,SCO10700
SC_RS10810,(d)CMP kinase,1881032,1881727,-,DNA_methyltransferase,4mC/5mC,SCO10810
SC_RS11895,methyltransferase domain-containing protein,2112316,2113110,-,SAM_dependent_MTase,Unknown,SCO11895
SC_RS11995,class I SAM-dependent methyltransferase,2129838,2130524,-,SAM_dependent_MTase,Unknown,SCO11995
SC_RS12025,class I SAM-dependent methyltransferase,2135154,2135816,+,SAM_dependent_MTase,Unknown,SCO12025
SC_RS12890,class I SAM-dependent methyltransferase,2333833,2334534,+,SAM_dependent_MTase,Unknown,SCO12890
