Category	Up	Down	Net	Interpretation
C - Energy production	137	109	+28	エネルギー代謝の活性化
D - Cell division	2	8	-6	細胞分裂の抑制傾向
E - Amino acid metabolism	83	81	+2	アミノ酸代謝（ほぼ均衡）
F - Nucleotide metabolism	8	9	-1	ヌクレオチド代謝（ほぼ均衡）
G - Carbohydrate metabolism	42	53	-11	糖代謝の抑制傾向
H - Coenzyme metabolism	46	26	+20	補酵素合成の活性化
I - Lipid metabolism	19	12	+7	脂質代謝の活性化
J - Translation	17	100	-83	リボソーム合成の大幅抑制
K - Transcription	134	205	-71	転写調節の大幅変動
L - Replication/Repair	26	46	-20	DNA複製の抑制
M - Cell envelope	22	25	-3	細胞壁（ほぼ均衡）
N - Cell motility	0	1	-1	細胞運動性の抑制
O - Protein modification	51	36	+15	タンパク質修飾の活性化
P - Inorganic ion transport	109	124	-15	イオン輸送の抑制傾向
Q - Secondary metabolism	9	0	+9	二次代謝の一方向的誘導
R - General function	807	587	+220	多機能遺伝子の活性化
S - Unknown	324	280	+44	未知機能遺伝子の活性化
T - Signal transduction	79	76	+3	シグナル伝達（ほぼ均衡）
U - Secretion	43	34	+9	分泌系の活性化
V - Defense	45	33	+12	防御機構の活性化
