tfbs_id	tf_name	start	end	center	width	strand	pvalue	context	in_reg_promoter	in_nonreg_promoter	region	GCCGGC_T1_overlap	GCCGGC_T1_count	GCCGGC_T1_nearest_dist	AAGCCCG_T1_overlap	AAGCCCG_T1_count	AAGCCCG_T1_nearest_dist	All_4mC_T1_overlap	All_4mC_T1_count	All_4mC_T1_nearest_dist	All_6mA_T1_overlap	All_6mA_T1_count	All_6mA_T1_nearest_dist	All_T1_overlap	All_T1_count	All_T1_nearest_dist
0	GlnR	505584	505599	505591	16	-	2.51e-08	intragenic	False	False	arm	False	0	14262	False	0	11693	False	0	14262	False	0	2529	False	0	2529
1	GlnR	507566	507581	507573	16	-	2.51e-08	intragenic	False	False	arm	False	0	16244	False	0	13675	False	0	16244	False	0	4511	False	0	4511
2	GlnR	2573859	2573874	2573866	16	+	2.51e-08	intragenic	False	False	core	False	0	6594	False	0	37934	False	0	1972	False	0	1801	False	0	1801
3	GlnR	3443172	3443187	3443179	16	+	2.51e-08	promoter	True	False	core	False	0	1516	False	0	3357	False	0	1441	True	1	5	True	1	5
4	GlnR	3819728	3819743	3819735	16	-	2.51e-08	promoter	False	True	core	False	0	253	False	0	5948	False	0	253	False	0	1547	False	0	253
5	GlnR	4115632	4115647	4115639	16	+	2.51e-08	intragenic	False	False	core	False	0	7452	False	0	1039	False	0	1043	False	0	24	False	0	24
6	GlnR	4576721	4576736	4576728	16	+	2.51e-08	promoter	False	True	core	False	0	1865	False	0	10089	False	0	422	False	0	1075	False	0	422
7	GlnR	5293171	5293186	5293178	16	+	2.51e-08	promoter	False	True	core	False	0	2327	False	0	36629	False	0	2327	False	0	117	False	0	117
8	GlnR	5788074	5788089	5788081	16	+	2.51e-08	intragenic	False	False	core	False	0	1179	False	0	4723	False	0	1179	False	0	2607	False	0	1179
9	GlnR	7100880	7100895	7100887	16	-	2.51e-08	intragenic	False	False	core	False	0	1263	False	0	18237	False	0	1263	False	0	6035	False	0	1263
10	GlnR	7910981	7910996	7910988	16	-	2.51e-08	intragenic	False	False	arm	False	0	84	False	0	10355	False	0	84	False	0	992	False	0	84
11	GlnR	246275	246290	246282	16	-	2.69e-07	intragenic	False	False	arm	False	0	4204	False	0	6017	False	0	4204	False	0	135	False	0	135
12	GlnR	660937	660952	660944	16	-	2.69e-07	intragenic	False	False	arm	False	0	2433	False	0	9914	False	0	2433	False	0	321	False	0	321
13	GlnR	732444	732459	732451	16	-	2.69e-07	intragenic	False	False	arm	False	0	10598	False	0	3538	False	0	4549	False	0	258	False	0	258
14	GlnR	862503	862518	862510	16	-	2.69e-07	intragenic	False	False	arm	False	0	166	False	0	79613	False	0	166	False	0	1059	False	0	166
15	GlnR	1238006	1238021	1238013	16	+	2.69e-07	intragenic	False	False	arm	False	0	18043	False	0	27109	True	1	11	False	0	1171	True	1	11
16	GlnR	1458594	1458609	1458601	16	+	2.69e-07	intragenic	False	False	arm	False	0	159	False	0	740	False	0	159	False	0	740	False	0	159
17	GlnR	2503109	2503124	2503116	16	-	2.69e-07	intragenic	False	False	core	False	0	6603	False	0	6267	False	0	1428	False	0	1406	False	0	1406
18	GlnR	2984409	2984424	2984416	16	-	2.69e-07	promoter	False	True	core	False	0	12976	False	0	26579	False	0	855	False	0	6922	False	0	855
19	GlnR	3083186	3083201	3083193	16	-	2.69e-07	promoter	False	True	core	False	0	230	False	0	5630	False	0	230	False	0	4612	False	0	230
20	GlnR	3602035	3602050	3602042	16	+	2.69e-07	promoter	False	True	core	False	0	56	False	0	12440	False	0	56	False	0	4995	False	0	56
21	GlnR	3801575	3801590	3801582	16	+	2.69e-07	promoter	False	True	core	False	0	1887	False	0	16339	False	0	1887	False	0	5913	False	0	1887
22	GlnR	3853441	3853456	3853448	16	+	2.69e-07	intragenic	False	False	core	False	0	4449	False	0	26663	False	0	1828	False	0	7709	False	0	1828
23	GlnR	4591161	4591176	4591168	16	-	2.69e-07	intragenic	False	False	core	False	0	12575	False	0	4351	False	0	2553	False	0	2557	False	0	2553
24	GlnR	5182305	5182320	5182312	16	-	2.69e-07	intragenic	False	False	core	False	0	4541	False	0	27077	False	0	4541	False	0	1818	False	0	1818
25	GlnR	5518389	5518404	5518396	16	+	2.69e-07	intragenic	False	False	core	False	0	2990	False	0	56338	False	0	841	False	0	1782	False	0	841
26	GlnR	5703890	5703905	5703897	16	-	2.69e-07	promoter	False	True	core	False	0	5009	False	0	5900	False	0	5009	False	0	5900	False	0	5009
27	GlnR	5742585	5742600	5742592	16	+	2.69e-07	promoter	False	True	core	False	0	6705	False	0	10705	False	0	6705	False	0	1518	False	0	1518
28	GlnR	5870526	5870541	5870533	16	+	2.69e-07	promoter	False	True	core	False	0	9030	False	0	9154	False	0	7862	False	0	2306	False	0	2306
29	GlnR	6085893	6085908	6085900	16	+	2.69e-07	promoter	False	True	core	False	0	510	False	0	29845	False	0	184	False	0	1348	False	0	184
30	GlnR	6306232	6306247	6306239	16	-	2.69e-07	promoter	False	True	core	False	0	2588	False	0	30936	False	0	2588	False	0	3900	False	0	2588
31	GlnR	7552721	7552736	7552728	16	-	2.69e-07	promoter	False	True	arm	False	0	7203	False	0	6771	False	0	2504	False	0	805	False	0	805
32	GlnR	7748271	7748286	7748278	16	-	2.69e-07	intragenic	False	False	arm	False	0	9168	False	0	35421	False	0	9168	False	0	3233	False	0	3233
33	GlnR	7941302	7941317	7941309	16	+	2.69e-07	promoter	False	True	arm	False	0	5810	False	0	19966	False	0	2194	False	0	1152	False	0	1152
34	GlnR	8195882	8195897	8195889	16	+	2.69e-07	promoter	False	True	arm	False	0	4679	False	0	12060	False	0	4679	False	0	284	False	0	284
35	GlnR	575460	575475	575467	16	+	1.31e-06	intragenic	False	False	arm	False	0	10478	False	0	5246	False	0	10478	False	0	208	False	0	208
36	GlnR	734754	734769	734761	16	-	1.31e-06	intragenic	False	False	arm	False	0	8288	False	0	1228	False	0	2239	False	0	1228	False	0	1228
37	GlnR	1235562	1235577	1235569	16	-	1.31e-06	promoter	False	True	arm	False	0	20487	False	0	24665	False	0	2010	False	0	306	False	0	306
38	GlnR	1421591	1421606	1421598	16	-	1.31e-06	promoter	False	True	arm	False	0	771	False	0	10776	False	0	771	False	0	2294	False	0	771
39	GlnR	1514933	1514948	1514940	16	+	1.31e-06	promoter	False	True	core	False	0	5731	False	0	17403	False	0	2675	False	0	6022	False	0	2675
40	GlnR	1656110	1656125	1656117	16	+	1.31e-06	promoter	False	True	core	False	0	4235	False	0	4777	False	0	4235	False	0	326	False	0	326
41	GlnR	1998276	1998291	1998283	16	-	1.31e-06	promoter	False	True	core	False	0	9827	False	0	6994	False	0	3041	False	0	1943	False	0	1943
42	GlnR	2232294	2232309	2232301	16	+	1.31e-06	promoter	False	True	core	False	0	3829	False	0	2544	False	0	486	False	0	2544	False	0	486
43	GlnR	2545460	2545475	2545467	16	-	1.31e-06	promoter	False	True	core	False	0	724	False	0	15707	False	0	724	False	0	2035	False	0	724
44	GlnR	3897999	3898014	3898006	16	+	1.31e-06	intragenic	False	False	core	False	0	2876	False	0	9575	False	0	2876	False	0	562	False	0	562
45	GlnR	4217420	4217435	4217427	16	-	1.31e-06	promoter	False	True	core	False	0	4176	False	0	7717	False	0	4176	False	0	1380	False	0	1380
46	GlnR	4368169	4368184	4368176	16	-	1.31e-06	promoter	False	True	core	False	0	78	False	0	331	False	0	78	False	0	331	False	0	78
47	GlnR	4454371	4454386	4454378	16	-	1.31e-06	intergenic	False	False	core	False	0	4903	False	0	18162	False	0	58	False	0	624	False	0	58
48	GlnR	4528862	4528877	4528869	16	-	1.31e-06	intragenic	False	False	core	False	0	1126	False	0	43074	False	0	1126	False	0	223	False	0	223
49	GlnR	4935489	4935504	4935496	16	-	1.31e-06	intragenic	False	False	core	False	0	166	False	0	6706	False	0	166	False	0	6706	False	0	166
50	GlnR	5004618	5004633	5004625	16	-	1.31e-06	promoter	False	True	core	False	0	629	False	0	17210	False	0	629	False	0	372	False	0	372
51	GlnR	5671468	5671483	5671475	16	-	1.31e-06	promoter	False	True	core	False	0	5900	False	0	18739	False	0	5900	False	0	8974	False	0	5900
52	GlnR	6021853	6021868	6021860	16	-	1.31e-06	intragenic	False	False	core	False	0	440	False	0	34194	False	0	440	False	0	1577	False	0	440
53	GlnR	6715102	6715117	6715109	16	+	1.31e-06	intragenic	False	False	core	False	0	3547	False	0	10112	False	0	1509	False	0	451	False	0	451
54	GlnR	7353496	7353511	7353503	16	+	1.31e-06	intragenic	False	False	arm	False	0	2882	False	0	26511	False	0	2882	False	0	6943	False	0	2882
55	GlnR	7582629	7582644	7582636	16	-	1.31e-06	promoter	False	True	arm	False	0	2590	False	0	21872	False	0	2590	False	0	1620	False	0	1620
56	GlnR	7601312	7601327	7601319	16	+	1.31e-06	promoter	True	False	arm	False	0	7383	False	0	13978	False	0	7383	False	0	7162	False	0	7162
57	GlnR	7801388	7801403	7801395	16	+	1.31e-06	intragenic	False	False	arm	False	0	10838	False	0	17696	False	0	4626	False	0	2294	False	0	2294
58	GlnR	8427223	8427238	8427230	16	-	1.31e-06	promoter	False	True	arm	False	0	390	False	0	23285	False	0	390	False	0	4418	False	0	390
59	GlnR	175103	175118	175110	16	+	3.85e-06	intragenic	False	False	arm	False	0	491	False	0	2104	False	0	491	False	0	1542	False	0	491
60	GlnR	406808	406823	406815	16	+	3.85e-06	promoter	False	True	arm	False	0	277	False	0	48925	False	0	277	False	0	1007	False	0	277
61	GlnR	468565	468580	468572	16	-	3.85e-06	intragenic	False	False	arm	False	0	8309	False	0	1538	False	0	8309	False	0	1538	False	0	1538
62	GlnR	647652	647667	647659	16	+	3.85e-06	promoter	True	False	arm	False	0	374	False	0	576	False	0	374	False	0	202	False	0	202
63	GlnR	924910	924925	924917	16	+	3.85e-06	promoter	False	True	arm	False	0	12550	False	0	17206	False	0	12550	False	0	247	False	0	247
64	GlnR	1398403	1398418	1398410	16	+	3.85e-06	promoter	False	True	arm	False	0	3965	False	0	33964	False	0	3965	False	0	5741	False	0	3965
65	GlnR	1626792	1626807	1626799	16	-	3.85e-06	promoter	True	False	core	False	0	12041	False	0	1287	False	0	1291	False	0	1287	False	0	1287
66	GlnR	1713629	1713644	1713636	16	+	3.85e-06	promoter	False	True	core	False	0	340	False	0	10570	False	0	340	False	0	1657	False	0	340
