chrom,position,strand,mod_type,timepoint,n_reps,total_coverage,weighted_mod_freq,unweighted_mod_freq
NC_003888.3,131,-,4mC,T1,3,36,69.97,69.97
NC_003888.3,138,-,6mA,T1,3,66,85.86,85.86
NC_003888.3,7328,-,6mA,T1,3,59,50.91,50.91
NC_003888.3,8710,+,6mA,T1,3,31,57.42,57.42
NC_003888.3,10764,+,6mA,T1,3,40,50.4,50.4
NC_003888.3,23405,+,6mA,T1,3,46,56.6,56.6
NC_003888.3,24110,+,6mA,T1,3,48,65.68,65.68
NC_003888.3,24113,+,6mA,T1,3,48,50.98,50.98
NC_003888.3,29409,+,6mA,T1,3,55,57.04,57.04
NC_003888.3,31832,-,6mA,T1,3,53,50.87,50.87
NC_003888.3,43753,+,6mA,T1,3,56,52.68,52.68
NC_003888.3,43757,+,4mC,T1,3,32,54.29,54.29
NC_003888.3,45004,+,6mA,T1,3,56,52.38,52.38
NC_003888.3,51943,+,6mA,T1,3,42,57.31,57.31
NC_003888.3,57394,+,6mA,T1,3,49,53.97,53.97
NC_003888.3,78421,+,6mA,T1,3,43,58.63,58.63
NC_003888.3,82127,-,6mA,T1,3,49,66.34,66.34
NC_003888.3,82128,-,6mA,T1,3,54,69.16,69.16
NC_003888.3,82886,-,6mA,T1,3,49,65.69,65.69
NC_003888.3,86222,+,4mC,T1,3,36,98.04,98.04
NC_003888.3,93654,-,6mA,T1,3,44,61.46,61.46
NC_003888.3,96883,+,6mA,T1,3,49,62.22,62.22
NC_003888.3,104521,-,6mA,T1,3,44,58.02,58.02
NC_003888.3,106467,+,6mA,T1,3,46,52.51,52.51
NC_003888.3,106790,-,6mA,T1,3,45,56.58,56.58
NC_003888.3,108750,+,4mC,T1,3,34,89.56,89.56
NC_003888.3,116615,-,6mA,T1,3,44,52.03,52.03
NC_003888.3,116802,-,6mA,T1,3,50,57.05,57.05
NC_003888.3,125264,-,6mA,T1,3,55,67.17,67.17
NC_003888.3,127250,-,6mA,T1,3,51,53.83,53.83
NC_003888.3,131563,+,4mC,T1,3,31,94.66,94.66
NC_003888.3,135597,-,6mA,T1,3,43,73.19,73.19
NC_003888.3,136278,-,6mA,T1,3,50,56.67,56.67
NC_003888.3,139070,+,4mC,T1,3,31,91.11,91.11
NC_003888.3,140453,+,4mC,T1,3,31,76.59,76.59
NC_003888.3,146773,+,6mA,T1,3,64,61.52,61.52
NC_003888.3,149840,-,4mC,T1,3,34,92.21,92.21
NC_003888.3,159639,+,6mA,T1,3,52,50.33,50.33
NC_003888.3,163824,-,6mA,T1,3,49,62.72,62.72
NC_003888.3,165349,-,6mA,T1,3,59,61.67,61.67
NC_003888.3,166193,+,6mA,T1,3,55,72.04,72.04
NC_003888.3,173006,-,6mA,T1,3,50,82.15,82.15
NC_003888.3,173568,+,6mA,T1,3,65,52.62,52.62
NC_003888.3,175601,+,4mC,T1,3,32,78.31,78.31
NC_003888.3,176720,+,6mA,T1,3,52,53.22,53.22
NC_003888.3,176789,+,6mA,T1,3,48,67.28,67.28
NC_003888.3,178710,-,4mC,T1,3,30,92.59,92.59
NC_003888.3,181109,-,6mA,T1,3,53,54.9,54.9
NC_003888.3,191485,+,6mA,T1,3,50,67.9,67.9
NC_003888.3,199170,+,6mA,T1,3,46,50.38,50.38
NC_003888.3,199192,+,6mA,T1,3,42,60.74,60.74
NC_003888.3,202216,-,6mA,T1,3,48,52.46,52.46
NC_003888.3,203228,-,4mC,T1,3,30,96.97,96.97
NC_003888.3,211143,+,6mA,T1,3,58,52.78,52.78
NC_003888.3,211317,+,6mA,T1,3,55,59.38,59.38
