locus_tag	gene_name	old_locus_tag	product	tf_family	start	end	strand	6mA_T1_count	6mA_T2_count	6mA_T3_count	4mC_T1_count	4mC_T2_count	4mC_T3_count	total_methyl_T1	total_methyl_T2	total_methyl_T3	has_methylation	methyl_change	log2FC_T2vsT1_deseq	padj_T2vsT1_deseq	log2FC_T3vsT1_deseq	padj_T3vsT1_deseq	DEG_T2vsT1	DEG_T3vsT1	is_DEG	expr_dir_T2	expr_dir_T3	coordination_T2	coordination_T3	in_literature_37
SC_RS02455		SCO0089	LysR family transcriptional regulator	LysR	75916	76893	+	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	True	gained_T2,gained_T3	1.9589972494364425	2.5249380577013426e-17	1.3127734931300468	9.797260265484812e-09	True	True	True	up	up	discordant_gain_up	discordant_gain_up	False
SC_RS03250		SCO0266	helix-turn-helix domain-containing protein	HTH (other)	254332	255198	-	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	True	lost_T2,lost_T3	0.1814637166824383	0.6277262454589735	1.0523627135003395	0.0008245978071270458	False	True	True	ns	up	methyl_change_no_expr_change	concordant_derepression	False
SC_RS04270		SCO0471	helix-turn-helix domain-containing protein	HTH (other)	491901	492881	+	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	True	lost_T2	1.1733093432665949	0.0002421652039553491	1.7924413873114893	3.795372707834516e-09	True	True	True	up	up	concordant_derepression	ambiguous	False
SC_RS05075		SCO0632	sigma-70 family RNA polymerase sigma factor	Sigma factor	673733	674317	+	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	True	gained_T3	-0.1773167519469067	0.725454463466912	1.6113360419805196	0.000187298760275269	False	True	True	ns	up	methyl_change_no_expr_change	discordant_gain_up	False
SC_RS05485		SCO0712	helix-turn-helix transcriptional regulator	HTH (other)	753318	756143	-	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	True	gained_T2,gained_T3	-0.5006499103865119	0.2594732812614108	2.8676687798585383	9.986521573425925e-14	False	True	True	ns	up	methyl_change_no_expr_change	discordant_gain_up	False
SC_RS06045		SCO0823	GntR family transcriptional regulator	GntR	872193	872633	+	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	True	gained_T3	-1.3298006901673476	1.0047448089785034e-07	-1.4690041024017018	5.252261329043032e-10	True	True	True	down	down	ambiguous	concordant_repression	False
SC_RS06310		SCO0877	helix-turn-helix transcriptional regulator	HTH (other)	922247	924913	+	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	True	gained_T2,gained_T3	1.688781934919955	3.741050281151121e-24	0.3646558250554286	0.031597342487197	True	False	True	up	ns	discordant_gain_up	methyl_change_no_expr_change	False
SC_RS06430		SCO0897	PPC domain-containing DNA-binding protein	Other regulatory	942974	943408	-	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	True	lost_T2	0.8034364456318976	0.0366907775739251	1.9141949149121151	8.56560951021003e-08	False	True	True	ns	up	methyl_change_no_expr_change	ambiguous	False
SC_RS07000		SCO1008	ArsR/SmtB family transcription factor	ArsR	1063185	1063520	+	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	True	gained_T2,gained_T3	0.1164734698130901	0.6338600448666032	-1.3536105142603478	9.166532378928651e-10	False	True	True	ns	down	methyl_change_no_expr_change	concordant_repression	False
SC_RS07215		SCO1052	helix-turn-helix domain-containing protein	HTH (other)	1108110	1108778	-	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	True	lost_T3	0.3469446698179995	0.5054444212208189	2.364778272966627	3.2210887279223645e-06	False	True	True	ns	up	methyl_change_no_expr_change	concordant_derepression	False
SC_RS07750		SCO1160	sensor histidine kinase	Sensor kinase	1218590	1221178	-	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	True	gained_T3	6.811744535398193	1.5603199022331694e-108	5.57493153704295	5.441703435340198e-73	True	True	True	up	up	ambiguous	discordant_gain_up	False
SC_RS07910		SCO1191	MarR family winged helix-turn-helix transcriptional regulator	MarR	1264183	1264656	-	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	True	gained_T2	-2.8247283435391974	8.542326584087242e-19	-2.1045634810451976	4.162399989543619e-14	True	True	True	down	down	concordant_repression	ambiguous	False
SC_RS08090		SCO1227	helix-turn-helix transcriptional regulator	HTH (other)	1300601	1302022	-	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	True	gained_T2,gained_T3	4.584810932372193	6.884471988046263e-44	4.592536487844196	1.4993462065414009e-44	True	True	True	up	up	discordant_gain_up	discordant_gain_up	False
SC_RS09315		SCO1468	tetratricopeptide repeat protein	TetR	1565986	1568358	-	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	True	lost_T3	3.873766306591509	1.2959238389849076e-39	4.2561166155195	1.1673007901518556e-48	True	True	True	up	up	ambiguous	concordant_derepression	False
SC_RS09835		SCO1564	sigma-70 family RNA polymerase sigma factor	Sigma factor	1674273	1674773	-	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	True	lost_T2	3.559311712441188	2.6224452530615437e-26	1.105773502103029	0.0010388954742131	True	True	True	up	up	concordant_derepression	ambiguous	False
SC_RS10435		SCO1684	tetratricopeptide repeat protein	TetR	1804126	1805076	-	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	True	lost_T2,lost_T3	1.7289097130718962	1.1503249464833512e-05	2.599848031477136	7.34846910549439e-12	True	True	True	up	up	concordant_derepression	concordant_derepression	False
SC_RS11515		SCO1897	DeoR/GlpR family DNA-binding transcription regulator	DeoR	2031485	2032261	+	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	True	gained_T3	1.3069071437293096	4.581746776202382e-05	1.4766740596944503	1.560984307725348e-06	True	True	True	up	up	ambiguous	discordant_gain_up	False
SC_RS13145		SCO2223	TetR/AcrR family transcriptional regulator	TetR	2387313	2388005	+	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	True	lost_T2,lost_T3	-2.60408418536578	1.2629170602358348e-22	-1.9735548451329563	7.098317130464676e-18	True	True	True	down	down	discordant_loss_down	discordant_loss_down	False
SC_RS13965	fasR	SCO2386	fatty acid biosynthesis transcriptional regulator FasR	Other regulatory	2558045	2559250	+	1.0	1.0	1.0	2.0	2.0	1.0	3.0	3.0	2.0	True	lost_T3	-1.3457214719384083	5.209355572407984e-19	-2.008260763804589	1.0606675794215542e-40	True	True	True	down	down	ambiguous	discordant_loss_down	False
SC_RS15270		SCO2639	RNA polymerase sigma factor	Sigma factor	2870032	2870568	-	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	True	lost_T3	-1.718484135527773	9.355453169320593e-09	-1.28534328878955	1.536662176317604e-06	True	True	True	down	down	ambiguous	discordant_loss_down	False
SC_RS15485	fxsT	SCO2681	FxSxx-COOH system tetratricopeptide repeat protein	TetR	2920569	2922815	+	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	True	lost_T2,lost_T3	-1.633740595502153	2.0668006416906303e-08	-0.8112210531302011	0.0030859018231273	True	False	True	down	ns	discordant_loss_down	methyl_change_no_expr_change	False
SC_RS16855		SCO2950	HU family DNA-binding protein	Other regulatory	3206403	3206684	-	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	True	lost_T2	-1.6542997259922183	2.827966405340166e-12	-2.9016567876690877	2.745463874769721e-34	True	True	True	down	down	discordant_loss_down	ambiguous	False
SC_RS17670	mfd	SCO3109	transcription-repair coupling factor	Other regulatory	3404759	3408313	-	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	True	lost_T3	-0.3256079258555034	0.0366592637333631	-1.079052480924651	4.436730741170686e-13	False	True	True	ns	down	methyl_change_no_expr_change	discordant_loss_down	False
SC_RS17795		SCO3134	response regulator transcription factor	Response regulator	3434985	3435764	-	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	True	gained_T2	3.4047840224669184	6.4490549138040534e-49	3.160115290808316	1.7319557842793294e-42	True	True	True	up	up	discordant_gain_up	ambiguous	False
SC_RS21680		SCO3907	single-stranded DNA-binding protein	Other regulatory	4303613	4304212	+	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	True	gained_T2	-2.5294364079004064	8.216758919198887e-26	-3.3273941695903377	1.2549405730008695e-43	True	True	True	down	down	concordant_repression	ambiguous	False
SC_RS22135		SCO4005	SigE family RNA polymerase sigma factor	Sigma factor	4397767	4398372	+	1.0	1.0	1.0	1.0	0.0	0.0	2.0	1.0	1.0	True	lost_T2,lost_T3	0.2650411061157262	0.3644528431520644	3.231774411787676	2.9536927980454345e-33	False	True	True	ns	up	methyl_change_no_expr_change	concordant_derepression	False
