locus_tag	gene_name	old_locus_tag	product	tf_family	start	end	strand	6mA_T1_count	6mA_T2_count	6mA_T3_count	4mC_T1_count	4mC_T2_count	4mC_T3_count	total_methyl_T1	total_methyl_T2	total_methyl_T3	has_methylation	methyl_change	log2FC_T2vsT1_deseq	padj_T2vsT1_deseq	log2FC_T3vsT1_deseq	padj_T3vsT1_deseq	DEG_T2vsT1	DEG_T3vsT1	is_DEG	expr_dir_T2	expr_dir_T3	coordination_T2	coordination_T3	in_literature_37
SC_RS01945			helix-turn-helix domain-containing protein	HTH (other)	13054	13797	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	none					False	False	False	ns	ns	no_methyl_change	no_methyl_change	False
SC_RS01955		SCP2.15c	DNA-binding protein	Other regulatory	14867	15088	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	none					False	False	False	ns	ns	no_methyl_change	no_methyl_change	False
SC_RS02040		SCP2.35	GntR family transcriptional regulator	GntR	26665	27462	+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	none					False	False	False	ns	ns	no_methyl_change	no_methyl_change	False
SC_RS02055		SCP2.38c	helix-turn-helix domain-containing protein	HTH (other)	28549	28968	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	none					False	False	False	ns	ns	no_methyl_change	no_methyl_change	False
SC_RS02060		SCP2.39c	helix-turn-helix domain-containing protein	HTH (other)	28965	29477	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	none					False	False	False	ns	ns	no_methyl_change	no_methyl_change	False
SC_RS02220			RNA polymerase sigma-70 factor	Sigma factor	30379	31274	-							0.0	0.0	0.0	False	none	0.7740014298969246	0.0012097687994748	1.2469573380375325	5.7470673031810194e-08	False	True	True	ns	up	no_methyl_change	no_methyl_change	False
SC_RS00170		SCP1.36c	AraC family transcriptional regulator	AraC	33166	34080	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	none					False	False	False	ns	ns	no_methyl_change	no_methyl_change	False
SC_RS02260		SCO0047	MarR family winged helix-turn-helix transcriptional regulator	MarR	37614	38768	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	none	-0.217473568852473	0.4027410500128949	-0.0316704257102638	0.8956185470250986	False	False	False	ns	ns	no_methyl_change	no_methyl_change	False
SC_RS00205		SCP1.42c	TetR/AcrR family transcriptional regulator	TetR	40107	40730	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	none					False	False	False	ns	ns	no_methyl_change	no_methyl_change	False
SC_RS02325		SCO0062	LacI family DNA-binding transcriptional regulator	LacI	47789	48844	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	none	-1.482151075954944	8.17419526957494e-08	-0.7226818523959183	0.0040285203706509	True	False	True	down	ns	no_methyl_change	no_methyl_change	False
SC_RS02330		SCO0063	ROK family protein	ROK	48889	49824	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	none	-1.20882726219268	3.7688951825281104e-06	-0.3287013636122964	0.1522795798991609	True	False	True	down	ns	no_methyl_change	no_methyl_change	False
SC_RS00320		SCP1.60	helix-turn-helix domain-containing protein	HTH (other)	59650	60522	+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	none					False	False	False	ns	ns	no_methyl_change	no_methyl_change	False
SC_RS02455		SCO0089	LysR family transcriptional regulator	LysR	75916	76893	+	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	True	gained_T2,gained_T3	1.9589972494364425	2.5249380577013426e-17	1.3127734931300468	9.797260265484812e-09	True	True	True	up	up	discordant_gain_up	discordant_gain_up	False
