locus_tag	gene_name	old_locus_tag	product	tf_family	start	end	strand
SC_RS06310		SCO0877	helix-turn-helix transcriptional regulator	HTH (other)	922247	924913	+
SC_RS07000		SCO1008	ArsR/SmtB family transcription factor	ArsR	1063185	1063520	+
SC_RS07910		SCO1191	MarR family winged helix-turn-helix transcriptional regulator	MarR	1264183	1264656	-
SC_RS10435		SCO1684	tetratricopeptide repeat protein	TetR	1804126	1805076	-
SC_RS16855		SCO2950	HU family DNA-binding protein	Other regulatory	3206403	3206684	-
SC_RS17795		SCO3134	response regulator transcription factor	Response regulator	3434985	3435764	-
SC_RS22135		SCO4005	SigE family RNA polymerase sigma factor	Sigma factor	4397767	4398372	+
SC_RS22780		SCO4122	MarR family winged helix-turn-helix transcriptional regulator	MarR	4529468	4530016	+
SC_RS22980		SCO4158	LacI family DNA-binding transcriptional regulator	LacI	4575112	4576134	-
SC_RS25990		SCO4766	LysR family transcriptional regulator	LysR	5178021	5178941	+
SC_RS28630		SCO5289	sensor histidine kinase	Sensor kinase	5762143	5765139	+
SC_RS35195		SCO6599	TetR/AcrR family transcriptional regulator	TetR	7319193	7319846	-
SC_RS38475		SCO7252	DNA-binding protein NsdB	Other regulatory	8062135	8063643	+
SC_RS38785		SCO7314	SigB/SigF/SigG family RNA polymerase sigma factor	Sigma factor	8120541	8121440	+
SC_RS39260		SCO7411	LacI family DNA-binding transcriptional regulator	LacI	8225904	8226962	+
