locus_tag	gene_name	old_locus_tag	product	tf_family	tf_domains	n_tf_domains	start	end	strand
SC_RS26000			response regulator transcription factor	LuxR	GerE;Response_reg	2	5179727	5180338	+
SC_RS22590			developmental transcriptional regulator BldC	MerR	HTH_17;MerR;MerR_1	3	4485363	4485569	+
SC_RS41270			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	8643240	8643812	-
SC_RS40940			helix-turn-helix transcriptional regulator	MarR	HTH_24;MarR_2	2	8586108	8586491	-
SC_RS40930			MarR family winged helix-turn-helix transcriptional regulator	MarR	MarR;MarR_2	2	8584661	8585167	+
SC_RS40715			helix-turn-helix transcriptional regulator	HTH (other)	HTH_3;HTH_31	2	8543383	8544237	-
SC_RS40695			FadR/GntR family transcriptional regulator	GntR	FCD;GntR	2	8539362	8540072	+
SC_RS40665			MarR family winged helix-turn-helix transcriptional regulator	MarR	HTH_24;MarR;MarR_2	3	8532086	8532541	+
SC_RS40315			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	8450331	8451026	-
SC_RS40285			IclR family transcriptional regulator	HTH (other)	HTH_IclR	1	8444856	8445614	+
SC_RS40245			helix-turn-helix transcriptional regulator	HTH (other)	HTH_11	1	8437174	8438154	+
SC_RS40210			LysR family transcriptional regulator	LysR	HTH_1;LysR_substrate	2	8429821	8430759	-
SC_RS40205			TetR/AcrR family transcriptional regulator	TetR	TetR_C_13;TetR_N	2	8429126	8429713	+
SC_RS40155			LysR substrate-binding domain-containing protein	LysR	HTH_1;LysR_substrate	2	8417434	8418396	-
SC_RS40095			helix-turn-helix domain-containing protein	HTH (other)	HTH_3;HTH_31	2	8402873	8403748	+
SC_RS39970			LacI family DNA-binding transcriptional regulator	LacI	LacI;Peripla_BP_1;Peripla_BP_3;Peripla_BP_4	4	8375936	8376949	-
SC_RS39895			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	8360197	8360931	-
SC_RS39865			response regulator transcription factor	Response regulator	Response_reg;Trans_reg_C	2	8352526	8353227	+
SC_RS39710			LacI family DNA-binding transcriptional regulator	LacI	LacI;Peripla_BP_1;Peripla_BP_3;Peripla_BP_4	4	8314675	8315715	-
SC_RS39025			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	8177482	8178147	-
SC_RS38750			LysR family transcriptional regulator ArgP	LysR	HTH_1;LysR_substrate	2	8114185	8115087	-
SC_RS38705			NAD(P)/FAD-dependent oxidoreductase	Response regulator	Response_reg	1	8105397	8107073	-
SC_RS38605			RNA polymerase sigma factor SigF	Sigma factor	Sigma70_r2;Sigma70_r3;Sigma70_r4;Sigma70_r4_2	4	8085400	8086287	-
SC_RS38565			LysR family transcriptional regulator	LysR	HTH_1;LysR_substrate	2	8079088	8079972	-
SC_RS38365			response regulator transcription factor	Response regulator	Response_reg;Trans_reg_C	2	8035811	8036500	+
SC_RS38220			MarR family winged helix-turn-helix transcriptional regulator	MarR	MarR;MarR_2	2	8004242	8004748	+
SC_RS38065			GntR family transcriptional regulator	GntR	FCD;GntR	2	7964783	7965457	+
SC_RS37945			sigma-70 family RNA polymerase sigma factor	Sigma factor	Sigma70_r2;Sigma70_r4_2	2	7939618	7940355	+
SC_RS37785			RNA polymerase sigma-70 factor	Sigma factor	Sigma70_r2;Sigma70_r4_2	2	7901360	7902256	-
SC_RS37690			AAA family ATPase	LuxR	GerE	1	7881841	7884639	+
SC_RS37670			response regulator	Sigma factor	GerE;Response_reg;Sigma70_r4;Sigma70_r4_2	4	7875374	7876051	-
SC_RS37660			MerR family transcriptional regulator	MerR	MerR;MerR_1	2	7873600	7873947	-
SC_RS37610			response regulator transcription factor	Response regulator	Response_reg;Trans_reg_C	2	7863791	7864483	+
SC_RS37565			PadR family transcriptional regulator	PadR	PadR	1	7857217	7857768	+
SC_RS37535			MarR family winged helix-turn-helix transcriptional regulator	MarR	HTH_20;HTH_IclR;MarR;MarR_2	4	7849651	7850187	-
SC_RS37510			GntR family transcriptional regulator	GntR	GntR;HTH_Crp_2	2	7845511	7846272	-
SC_RS37435			MarR family winged helix-turn-helix transcriptional regulator	MarR	MarR;MarR_2	2	7834891	7835298	-
SC_RS37350			LysR family transcriptional regulator	LysR	HTH_1;LysR_substrate	2	7811193	7812110	-
SC_RS37295			LacI family DNA-binding transcriptional regulator	LacI	LacI;Peripla_BP_1;Peripla_BP_3;Peripla_BP_4	4	7791717	7792730	-
SC_RS37085			GntR family transcriptional regulator	GntR	GntR;MarR_2	2	7741171	7741956	-
SC_RS36190			helix-turn-helix domain-containing protein	HTH (other)	HTH_26;HTH_3;HTH_31	3	7562872	7563450	+
SC_RS36185			LysR family transcriptional regulator	LysR	HTH_1;LysR_substrate	2	7561923	7562825	+
SC_RS36140			TetR/AcrR family transcriptional regulator	TetR	TetR_N	1	7552594	7553190	+
SC_RS36060			TetR/AcrR family transcriptional regulator	TetR	TetR_C_6;TetR_N	2	7533249	7533869	-
SC_RS35705			MarR family winged helix-turn-helix transcriptional regulator	MarR	HTH_27;MarR;MarR_2	3	7456000	7456464	+
SC_RS35655			TetR/AcrR family transcriptional regulator	TetR	TetR_C_11;TetR_N	2	7444457	7445071	+
SC_RS35560			helix-turn-helix domain-containing protein	HTH (other)	HTH_3	1	7415327	7415983	-
SC_RS35300			MarR family winged helix-turn-helix transcriptional regulator	MarR	HTH_27;MarR;MarR_2	3	7340945	7341376	+
SC_RS35190			LacI family DNA-binding transcriptional regulator	LacI	LacI;Peripla_BP_1;Peripla_BP_3;Peripla_BP_4	4	7318137	7319177	+
SC_RS35040			substrate-binding domain-containing protein	Other regulatory	Peripla_BP_1;Peripla_BP_4	2	7272140	7273186	+
SC_RS35020			GntR family transcriptional regulator	GntR	FCD;GntR	2	7267256	7267933	+
SC_RS34965			LysR substrate-binding domain-containing protein	LysR	HTH_1;LysR_substrate	2	7253501	7254379	-
SC_RS34880			helix-turn-helix domain-containing protein	HTH (other)	HTH_3;HTH_31	2	7231262	7232125	-
SC_RS34565			TetR family transcriptional regulator	TetR	TetR_N	1	7163600	7164418	-
