sample,timepoint,context,mod_type,n_sites_cov10,mean_pct_mod,median_pct_mod,n_HC_sites_50pct
1-1,T1,CCGG,4mC,105806,0.3,0.0,346
1-1,T1,CCGG,5mC,105806,0.0,0.0,0
1-1,T1,GGCCGG,4mC,13143,2.34,0.0,346
1-1,T1,GGCCGG,5mC,13143,0.0,0.0,0
1-2,T1,CCGG,4mC,298981,0.33,0.0,1105
1-2,T1,CCGG,5mC,298981,0.0,0.0,0
1-2,T1,GGCCGG,4mC,36615,2.61,0.0,1105
1-2,T1,GGCCGG,5mC,36615,0.0,0.0,0
1-3,T1,CCGG,4mC,301615,0.44,0.0,1544
1-3,T1,CCGG,5mC,301615,0.0,0.0,0
1-3,T1,GGCCGG,4mC,37371,3.54,0.0,1544
1-3,T1,GGCCGG,5mC,37371,0.0,0.0,0
2-1,T2,CCGG,4mC,301963,0.46,0.0,1608
2-1,T2,CCGG,5mC,301963,0.0,0.0,0
2-1,T2,GGCCGG,4mC,37500,3.69,0.0,1608
2-1,T2,GGCCGG,5mC,37500,0.0,0.0,0
2-3,T2,CCGG,4mC,301835,0.44,0.0,1537
2-3,T2,CCGG,5mC,301835,0.0,0.0,0
2-3,T2,GGCCGG,4mC,37390,3.51,0.0,1537
2-3,T2,GGCCGG,5mC,37390,0.0,0.0,0
2-4,T2,CCGG,4mC,301730,0.42,0.0,1453
2-4,T2,CCGG,5mC,301730,0.0,0.0,0
2-4,T2,GGCCGG,4mC,37317,3.35,0.0,1453
2-4,T2,GGCCGG,5mC,37317,0.0,0.0,0
3-2,T3,CCGG,4mC,235760,0.08,0.0,185
3-2,T3,CCGG,5mC,235760,0.0,0.0,0
3-2,T3,GGCCGG,4mC,27619,0.61,0.0,185
3-2,T3,GGCCGG,5mC,27619,0.0,0.0,0
3-3,T3,CCGG,4mC,301492,0.39,0.0,1348
3-3,T3,CCGG,5mC,301492,0.0,0.0,0
3-3,T3,GGCCGG,4mC,37165,3.12,0.0,1348
3-3,T3,GGCCGG,5mC,37165,0.0,0.0,0
3-4,T3,CCGG,4mC,300398,0.29,0.0,971
3-4,T3,CCGG,5mC,300398,0.0,0.0,0
3-4,T3,GGCCGG,4mC,36670,2.33,0.0,971
3-4,T3,GGCCGG,5mC,36670,0.0,0.0,0
