locus_tag	gene_name	old_locus_tag	product	tf_family	start	end	strand	region	baseMean	T1_mean	T2_mean	T3_mean	log2FC_T2	log2FC_T3	padj_T2	padj_T3	gene_length	gc_promoter	intergenic_dist	n_fimo_hits	nearest_methyl_dist	sites_within_2kb	methyl_density_2kb	operon_size	is_monocistronic	temporal_pattern	coordination_T2	coordination_T3
SC_RS02455		SCO0089	LysR family transcriptional regulator	LysR	75916	76893	+	arm	101.96837109266303	40.54569821230714	162.06973370584305	103.28968135983898	1.9589972494364425	1.3127734931300468	2.5249380577013426e-17	9.797260265484812e-09	978	0.6666666666666666	0.0	8	290	1	0.25	1	True	T2T3_up	discordant_gain_up	discordant_gain_up
SC_RS03250		SCO0266	helix-turn-helix domain-containing protein	HTH (other)	254332	255198	-	arm	34.685792597197064	24.224793190192088	27.774151466014576	52.058433135384526	0.1814637166824383	1.0523627135003395	0.6277262454589735	0.0008245978071270458	867	0.7	83.0	3	293	2	0.5	2	False	T3_up	methyl_change_no_expr_change	concordant_derepression
SC_RS04270		SCO0471	helix-turn-helix domain-containing protein	HTH (other)	491901	492881	+	arm	54.117421729534186	23.146089915636512	55.302905323420454	83.90326994954559	1.1733093432665949	1.7924413873114893	0.0002421652039553491	3.795372707834516e-09	981	0.78	10.0	4	239	5	1.25	3	False	T2T3_up	concordant_derepression	ambiguous
SC_RS05075		SCO0632	sigma-70 family RNA polymerase sigma factor	Sigma factor	673733	674317	+	arm	16.630401452366712	9.400809808480577	8.132699606895171	32.3576949417244	-0.1773167519469067	1.6113360419805196	0.725454463466912	0.000187298760275269	585	0.7166666666666667	330.0	7	52	1	0.25	2	False	T3_up	methyl_change_no_expr_change	discordant_gain_up
SC_RS05485		SCO0712	helix-turn-helix transcriptional regulator	HTH (other)	753318	756143	-	arm	51.093845671660496	16.50883414330821	10.936191992968112	125.83651087870517	-0.5006499103865119	2.8676687798585383	0.2594732812614108	9.986521573425925e-14	2826	0.71	121.0	11	114	4	1.0	3	False	T3_up	methyl_change_no_expr_change	discordant_gain_up
SC_RS06045		SCO0823	GntR family transcriptional regulator	GntR	872193	872633	+	arm	79.41156122099117	137.3933105628831	53.05458592054325	47.78678717954719	-1.3298006901673476	-1.4690041024017018	1.0047448089785034e-07	5.252261329043032e-10	441	0.6666666666666666	107.0	4	247	2	0.5	1	True	T2T3_down	ambiguous	concordant_repression
SC_RS06310		SCO0877	helix-turn-helix transcriptional regulator	HTH (other)	922247	924913	+	arm	654.9005041217672	353.01303938817813	1152.860328576631	458.8281444004926	1.688781934919955	0.3646558250554286	3.741050281151121e-24	0.031597342487197	2667	0.6633333333333333	72.0	5	170	2	0.5	4	False	T2_up	discordant_gain_up	methyl_change_no_expr_change
SC_RS07000		SCO1008	ArsR/SmtB family transcription factor	ArsR	1063185	1063520	+	arm	256.50317952583157	310.9304679678069	338.5742897038015	120.0047809058862	0.1164734698130901	-1.3536105142603478	0.6338600448666032	9.166532378928651e-10	336	0.66	172.0	4	183	3	0.75	1	True	T3_down	methyl_change_no_expr_change	concordant_repression
SC_RS07215		SCO1052	helix-turn-helix domain-containing protein	HTH (other)	1108110	1108778	-	arm	17.84167156962963	6.631451351062374	9.166591687990636	37.72697166983587	0.3469446698179995	2.364778272966627	0.5054444212208189	3.2210887279223645e-06	669	0.7933333333333333	19.0	7	216	8	2.0	1	True	T3_up	methyl_change_no_expr_change	concordant_derepression
SC_RS07750		SCO1160	sensor histidine kinase	Sensor kinase	1218590	1221178	-	arm	769.5397534381489	13.853231802480375	1608.329464780363	686.4365637316035	6.811744535398193	5.57493153704295	1.5603199022331694e-108	5.441703435340198e-73	2589	0.7433333333333333	0.0	2	86	4	1.0	2	False	T2T3_up	ambiguous	discordant_gain_up
