SCO7711|SC_RS40740	Q9XAP2|RamR_S._coelicolor	35.484	31	18	1	266	294	3	33	3.2	18.1	509	399
SCO7252|SC_RS38475	P0ACQ4|OxyR_E._coli_K-12	31.034	29	20	0	362	390	111	139	0.35	20.8	502	305
SCO7252|SC_RS38475	Q9XAP2|RamR_S._coelicolor	66.667	9	3	0	298	306	22	30	4.6	17.3	502	399
SCO7252|SC_RS38475	P0ACJ0|Lrp_E._coli_K-12	60.000	10	4	0	251	260	34	43	8.1	16.5	502	164
SCO1227|SC_RS08090	P0ACQ4|OxyR_E._coli_K-12	34.286	35	21	1	366	398	3	37	3.1	17.7	473	305
SCO1227|SC_RS08090	P0ACQ4|OxyR_E._coli_K-12	42.105	19	11	0	418	436	274	292	6.2	16.9	473	305
SCO1227|SC_RS08090	P9WGI1|SigB_M._tuberculosis_H37Rv	35.897	39	22	1	299	337	278	313	3.7	17.7	473	528
SCO3134|SC_RS17795	P0ACJ0|Lrp_E._coli_K-12	29.630	27	19	0	215	241	17	43	0.038	22.7	259	164
SCO3134|SC_RS17795	O25617|HP1021_H._pylori_26695	30.435	23	16	0	62	84	306	328	0.38	20.0	259	363
SCO3134|SC_RS17795	P9WGI1|SigB_M._tuberculosis_H37Rv	29.730	37	25	1	203	239	221	256	0.58	19.2	259	528
SCO3134|SC_RS17795	P9WGI1|SigB_M._tuberculosis_H37Rv	34.483	29	17	1	196	222	352	380	0.61	19.2	259	528
SCO3134|SC_RS17795	P9WGI1|SigB_M._tuberculosis_H37Rv	77.778	9	2	0	23	31	122	130	1.4	18.1	259	528
SCO1160|SC_RS07750	Q9XAP2|RamR_S._coelicolor	50.000	16	8	0	630	645	328	343	7.2	17.7	862	399
SCO6685|SC_RS35610	P9WGI1|SigB_M._tuberculosis_H37Rv	66.667	9	3	0	58	66	107	115	3.9	16.2	202	528
SCO6685|SC_RS35610	P0ACQ4|OxyR_E._coli_K-12	41.667	12	7	0	56	67	85	96	7.4	15.4	202	305
SCO6685|SC_RS35610	P0ACQ4|OxyR_E._coli_K-12	46.154	13	7	0	50	62	22	34	9.0	15.0	202	305
SCO5027|SC_RS27300	P0ACQ4|OxyR_E._coli_K-12	22.581	31	24	0	154	184	97	127	0.12	21.9	397	305
SCO5027|SC_RS27300	O25617|HP1021_H._pylori_26695	33.333	33	21	1	133	164	251	283	0.42	20.4	397	363
SCO5027|SC_RS27300	P0ACJ0|Lrp_E._coli_K-12	40.909	22	11	1	1	20	34	55	4.0	16.9	397	164
SCO5027|SC_RS27300	P9WGI1|SigB_M._tuberculosis_H37Rv	50.000	12	6	0	141	152	483	494	6.7	16.5	397	528
SCO5956|SC_RS32025	Q9XAP2|RamR_S._coelicolor	37.500	24	14	1	102	125	200	222	0.50	19.2	215	399
SCO5956|SC_RS32025	P9WGI1|SigB_M._tuberculosis_H37Rv	42.857	21	10	1	27	47	388	406	1.3	17.7	215	528
SCO2223|SC_RS13145	P0ACJ0|Lrp_E._coli_K-12	24.211	95	61	4	52	136	68	161	0.19	20.4	230	164
SCO2223|SC_RS13145	P0ACQ4|OxyR_E._coli_K-12	30.769	26	18	0	71	96	80	105	4.2	16.2	230	305
SCO2223|SC_RS13145	Q9XAP2|RamR_S._coelicolor	30.000	30	16	1	124	148	339	368	8.4	15.4	230	399
SCO4122|SC_RS22780	P27245|MarR_E._coli_K-12	22.481	129	96	2	37	164	18	143	3.13e-06	33.9	182	144
SCO4122|SC_RS22780	P0ACJ0|Lrp_E._coli_K-12	32.258	31	21	0	76	106	28	58	0.001	26.9	182	164
SCO4122|SC_RS22780	Q9XAP2|RamR_S._coelicolor	28.125	32	23	0	110	141	243	274	0.74	18.5	182	399
SCO4122|SC_RS22780	Q9XAP2|RamR_S._coelicolor	50.000	12	6	0	27	38	369	380	2.9	16.5	182	399
SCO4122|SC_RS22780	P9WGI1|SigB_M._tuberculosis_H37Rv	50.000	12	6	0	79	90	396	407	0.89	18.1	182	528
SCO7279|SC_RS38610	P9WGI1|SigB_M._tuberculosis_H37Rv	38.462	39	18	2	23	55	18	56	1.8	16.9	157	528
SCO7279|SC_RS38610	P0ACQ4|OxyR_E._coli_K-12	66.667	9	3	0	42	50	242	250	3.4	16.2	157	305
SCO0089|SC_RS02455	P0ACQ4|OxyR_E._coli_K-12	31.987	297	171	9	1	274	3	291	4.42e-29	102	325	305
SCO0089|SC_RS02455	P9WGI1|SigB_M._tuberculosis_H37Rv	36.364	33	20	1	208	239	285	317	1.4	18.5	325	528
SCO0089|SC_RS02455	Q9XAP2|RamR_S._coelicolor	36.842	19	9	1	193	208	83	101	4.7	16.5	325	399
SCO0089|SC_RS02455	Q9XAP2|RamR_S._coelicolor	50.000	12	6	0	204	215	339	350	8.1	16.2	325	399
SCO0089|SC_RS02455	Q9XAP2|RamR_S._coelicolor	41.176	17	10	0	15	31	378	394	8.4	15.8	325	399
SCO7314|SC_RS38785	P9WGI1|SigB_M._tuberculosis_H37Rv	25.751	233	155	7	50	270	289	515	3.56e-16	67.0	299	528
SCO7314|SC_RS38785	Q9XAP2|RamR_S._coelicolor	32.000	25	17	0	202	226	145	169	0.43	20.0	299	399
SCO7314|SC_RS38785	O25617|HP1021_H._pylori_26695	27.273	22	16	0	127	148	330	351	0.88	18.9	299	363
SCO7314|SC_RS38785	P0ACQ4|OxyR_E._coli_K-12	33.333	9	6	0	109	117	30	38	5.8	16.2	299	305
SCO7314|SC_RS38785	P0ACQ4|OxyR_E._coli_K-12	71.429	7	2	0	269	275	200	206	7.7	15.8	299	305
SCO7314|SC_RS38785	P27245|MarR_E._coli_K-12	37.500	16	10	0	213	228	74	89	7.4	15.8	299	144
SC_RS36220|SC_RS36220	Q9XAP2|RamR_S._coelicolor	62.500	8	3	0	90	97	93	100	2.1	16.2	109	399
SC_RS36220|SC_RS36220	Q9XAP2|RamR_S._coelicolor	29.630	27	16	1	81	107	152	175	4.1	15.0	109	399
SC_RS36220|SC_RS36220	P9WGI1|SigB_M._tuberculosis_H37Rv	38.095	21	13	0	12	32	96	116	2.8	15.8	109	528
SCO0877|SC_RS06310	P0ACQ4|OxyR_E._coli_K-12	31.746	63	41	1	507	569	41	101	0.15	23.1	888	305
SCO0877|SC_RS06310	O25617|HP1021_H._pylori_26695	24.806	129	86	6	614	737	194	316	1.4	20.0	888	363
SCO0877|SC_RS06310	P9WGI1|SigB_M._tuberculosis_H37Rv	32.258	31	21	0	226	256	388	418	1.6	20.0	888	528
SCO0877|SC_RS06310	P9WGI1|SigB_M._tuberculosis_H37Rv	37.037	27	15	1	110	136	314	338	5.2	18.1	888	528
SCO0877|SC_RS06310	P9WGI1|SigB_M._tuberculosis_H37Rv	40.909	22	13	0	30	51	252	273	9.8	17.3	888	528
SCO0877|SC_RS06310	Q9XAP2|RamR_S._coelicolor	34.211	76	35	4	356	430	160	221	1.8	19.6	888	399
SCO5433|SC_RS29350	O25617|HP1021_H._pylori_26695	28.261	46	32	1	415	459	314	359	0.65	20.8	761	363
SCO5433|SC_RS29350	O25617|HP1021_H._pylori_26695	77.778	9	2	0	237	245	107	115	1.6	19.6	761	363
SCO5433|SC_RS29350	O25617|HP1021_H._pylori_26695	31.818	22	15	0	544	565	15	36	2.4	18.9	761	363
SCO5433|SC_RS29350	Q9XAP2|RamR_S._coelicolor	47.059	17	9	0	372	388	280	296	0.75	20.4	761	399
SCO5433|SC_RS29350	Q9XAP2|RamR_S._coelicolor	44.000	25	14	0	40	64	368	392	5.5	17.7	761	399
SCO5433|SC_RS29350	Q9XAP2|RamR_S._coelicolor	27.941	68	31	4	559	612	286	349	9.3	16.9	761	399
SCO5433|SC_RS29350	P0ACQ4|OxyR_E._coli_K-12	72.727	11	3	0	155	165	238	248	1.4	19.6	761	305
SCO5433|SC_RS29350	P0ACQ4|OxyR_E._coli_K-12	47.368	19	10	0	726	744	234	252	1.6	19.6	761	305
SCO5433|SC_RS29350	P9WGI1|SigB_M._tuberculosis_H37Rv	54.545	11	5	0	410	420	518	528	4.4	18.1	761	528
SCO5433|SC_RS29350	P9WGI1|SigB_M._tuberculosis_H37Rv	33.333	39	19	1	709	747	42	73	6.2	17.7	761	528
SCO5433|SC_RS29350	P9WGI1|SigB_M._tuberculosis_H37Rv	42.105	19	11	0	175	193	255	273	7.3	17.3	761	528
SCO2386|SC_RS13965	P0ACQ4|OxyR_E._coli_K-12	40.000	20	12	0	47	66	256	275	1.1	18.9	401	305
SCO2386|SC_RS13965	P0ACQ4|OxyR_E._coli_K-12	37.500	24	14	1	150	172	282	305	4.6	16.9	401	305
SCO2386|SC_RS13965	Q9XAP2|RamR_S._coelicolor	40.000	15	9	0	325	339	195	209	4.3	17.3	401	399
SCO2950|SC_RS16855	P9WGI1|SigB_M._tuberculosis_H37Rv	39.286	28	14	1	57	84	33	57	5.3	14.6	93	528
SCO4639|SC_RS25370	Q9XAP2|RamR_S._coelicolor	38.095	21	13	0	111	131	95	115	1.3	17.7	201	399
SCO4639|SC_RS25370	O25617|HP1021_H._pylori_26695	32.258	31	17	1	166	196	169	195	1.7	17.3	201	363
SCO4639|SC_RS25370	O25617|HP1021_H._pylori_26695	63.636	11	4	0	66	76	350	360	3.0	16.5	201	363
SCO4639|SC_RS25370	P0ACQ4|OxyR_E._coli_K-12	36.364	11	7	0	97	107	91	101	6.6	15.4	201	305
SCO6299|SC_RS33745	Q9XAP2|RamR_S._coelicolor	27.273	33	17	1	212	237	88	120	2.3	17.3	285	399
SCO6299|SC_RS33745	P9WGI1|SigB_M._tuberculosis_H37Rv	25.758	66	37	3	21	74	374	439	3.2	16.9	285	528
SCO6299|SC_RS33745	P0ACJ0|Lrp_E._coli_K-12	33.333	15	10	0	28	42	29	43	6.3	16.2	285	164
