id	item	verdict	n	stale_dependency
D2-01	L5-01	FEASIBLE	n = 1,334 instances for the null; 1,116 / 1,302 / 1,017 pooled canonical site rows per timepoint (90_ table, reproduced by canonical_sites.aagcccg_pooled_by_timepoint)	no
D2-02	L5-02	FEASIBLE (after mandatory rebuild)	unattributed 6mA n = 1,516 (T1) / 1,669 (T2) / 1,852 (T3); ample for both Fisher tests	YES
D2-03	L5-03	FEASIBLE (wider than the item claims) — but the expected null is unlikely to hold	pooled 8,227 instance-library observations; per-library 169-1,528; 1,408/1,470 inside a gene (library 1-3)	no
D2-04	L5-04	FEASIBLE (quoting only) — with an unfixable provenance gap	9 libraries; CCGG mean_sites 235,467/301,843/279,217; GGCCGG 29,043/37,402/33,818	YES
D2-05	L5-05	FEASIBLE (no recomputation)	n_tss = 1,051; sites in the -300..+50 zone 37/46/30 (small); far-upstream 427/556/376	no
D2-06	L5-06	FEASIBLE (no recomputation)	858 sites called at all three timepoints; 1,188 shared T1-T2	no
D2-07	L5-07	FEASIBLE-BUT-WEAK	29 regions; 140/214/118 canonical GCCGGC 4mC sites in-region across the whole BGC set (i.e. ~5/7/4 per region on average)	no
D2-08	L5-08	FEASIBLE (no recomputation)	62/989 for classification metrics; 59/960 for LFC metrics; 59/958 for baseline expression	no
D2-09	L5-10	FEASIBLE (after mandatory rebuild) — and the rebuild makes it stronger, not weaker	rebuilt n approx. 264-280 per contrast (vs 45-59 in the existing table); CCGG family rows already 269-307	YES
D2-10	L5-12	FEASIBLE (small recomputation) — blocked on an authoring decision, not on data	2 genes (redZ, redD); 3 timepoints - a two-gene anecdote, not a test	no
D2-11	L5-15	NOT FEASIBLE	not applicable - input missing	no
