term	regex	EN_hits	JP_hits
relocation	\brelocat	[]	[]
再配置	再配置	[]	[]
synchronous erasure	synchronous(?:ly)? eras	[]	[]
同期消去	同期(?:的に)?消去|同期的消去	[]	[]
core-to-arm	core-to-arm|コアからアーム	[]	[]
transcriptional competence	transcriptional competence|転写コンピテンス|転写能	[]	[]
Gatekeeper	[Gg]atekeeper|ゲートキーパー	[]	[]
four-layer	four-layer|四層	[]	[]
antagonistic blocs	antagonistic bloc|拮抗	[]	[]
138,440	138,?440	[]	[]
1.761	1\.761	[]	[]
31.6%	31\.6	[]	[]
62→0	62\s*(?:→|->|to)\s*0	[]	[]
C3/C5	C[₃3]/C[₅5]|A1[↔–-]C5|A0[↔–-]C3	[]	[]
0.908/0.917	0\.908|0\.917	[]	[]
57 Exposed	\b57\b.{0,12}Exposed|Exposed.{0,12}\b57\b|57\s*(?:個の|の)?Exposed	[]	[]
Trim Galore	Trim ?Galore	[]	[]
853/855	853/855|853 of 855	[]	[]
4.84	\b4\.84\b	[]	[]
47% of reads	47%\s*of\s*(?:the\s*)?reads|readの47%	[]	[]
0.000	\b0\.000\b	[]	[]
6.8%	\b6\.8%	[]	[]
3.7%	\b3\.7%	[]	[]
82% of 407	82%\s*of\s*(?:the\s*)?407|407.{0,6}82%	[]	"[[42, ""サイトのうち101(91%がコア)はT2で検出されず、T1で検出されていなかった407のサイト(82%が腕部)がT2で新たに検出された。この腕部側への拡大は、core/armシークエ""], [201, ""1)。T2におけるGCCGGC部位集合のアーム側への拡大(T1で検出されなかった407部位、82%がアーム)はcore/armカバレッジ比の2.26から1.13への低下と同時に生""]]"
99.8	\b99\.8\b	[]	[]
libraries 2-2 and 3-1	2-2 and 3-1|2-2[、と]3-1|excluded	"[[83, "", although a small difference cannot be excluded. The ±0.5 log₂FC margin (a ~1.4-fold ch""], [124, ""o both sequencing assays (cultures 1-4, 2-2 and 3-1 were set aside: 1-4 for the lowest RNA ""], [241, ""rn given the 3–4 bp A↔C spacing, but is excluded as the generic explanation: across 2.1 ""], [241, ""nce, and signal-level effects cannot be excluded with absolute certainty without single-""]]"	"[[119, ""op)の組み合わせが最も良好な3培養を両シーケンスアッセイに供した(培養1-4、2-2、3-1は除外した:1-4はグループ内でRNA濃度が最も低かったため、2-2はA260/""]]"
19/82	19/82|19 of 82	[]	[]
