sec_idx	heading	n_groups_EN	n_groups_JP	identical_sequence	en_seq
0	DNA methylation is spatially organised around, but does not instruct, the regulatory genome of *Streptomyces coelicolor*: a 4mC/6mA methylome with a same-strand AAGCCCG dual modification	0	0	True	
1	Abstract	0	0	True	
2	Introduction	6	6	True	1 2 2 3 4 5,6
3	Results	0	0	True	
4	R0. The three sampled timepoints capture distinct developmental and physiological states	2	2	True	2,7 2,7
5	R0b. Nanopore base-modification calling identifies a 4mC mark at GCCGGC and a same-strand dual modification of AAGCCCG	3	3	True	2 8 9
6	R1. The GCCGGC 4mC methylome is core-concentrated and largely stable across development, with arm-ward expansion at T2	0	0	True	
7	R2. Both modification types are depleted from promoter-proximal regions genome-wide, with modestly stronger depletion at regulatory genes	0	0	True	
8	R3. Vegetative GCCGGC methylation defines a core-localised Exposed/Shielded regulatory partition	0	0	True	
9	R4. Exposed promoters retain their methylation across the developmental switch and show no directional expression response	0	0	True	
10	R5. The three methylation gene sets show distinct pathway enrichment: quorum sensing (GCCGGC-proximal) and siderophore biosynthesis (dual-targeted)	0	0	True	
11	R6. Positional stratification reveals CDS-dominant distribution and position-specific functional enrichment	0	0	True	
12	Methods	0	0	True	
13	Bacterial strains and growth conditions	1	1	True	2
14	Dry cell weight and antibiotic quantification	0	0	True	
15	Genomic DNA extraction and Nanopore long-read sequencing	0	0	True	
16	Basecalling and methylation-aware base modification detection	1	1	True	2
17	Methylation extraction and high-confidence site calling	1	1	True	10
18	Motif identification and co-modification analysis	1	1	True	5,6
19	RNA-seq library preparation and transcriptome analysis	1	1	True	2
20	Epigenome–transcriptome integration	4	4	True	2 11 12 13
21	Spatial statistics and independence testing	0	0	True	
22	Reproducibility and replicate analysis	0	0	True	
23	REBASE annotation and comparative genomics	0	0	True	
24	Statistical analyses and data availability	0	0	True	
25	Effect-size estimation and statistical power	0	0	True	
26	Discussion	0	0	True	
27	A largely stable methylome: quantitative modulation with sites held in place across the developmental transition	9	9	True	14–16 17 7 13 18 19 3 4 3
28	Promoter methylation does not predict the direction of transcriptional change	2	2	True	20,21 22,23
29	R-M System Diversity and Implications for Heterologous BGC Expression	5	5	True	24 25 26 27,28 29
30	AAGCCCG Dual Modification: Mechanistic Interpretations	4	4	True	30 5,6 31 9
31	GCCGGC 4mC Exhibits Strand-Specific (Hemi-)Methylation	0	1	False	
32	Limitations	3	3	True	32 17 19
33	Conclusion	0	0	True	
34	Figure Legends	0	0	True	
35	Figure 1 | Methylation landscape of *Streptomyces coelicolor* A3(2) M145 across developmental timepoints.	0	0	True	
36	Figure 2 | The GCCGGC 4mC methylome is core-concentrated and largely stable across development.	2	2	True	13 13
37	Figure 3 | A methylation-depleted zone surrounds transcription start sites.	0	0	True	
38	Figure 4 | The Exposed promoters retain their methylation across the switch and bias expression only weakly.	0	0	True	
39	Figure 5 | KEGG pathway enrichment of gene sets defined by proximity to modification sites.	0	0	True	
40	Figure 6 | Genus-wide selection on the identified methylation motifs across 833 *Streptomyces* genomes.	0	0	True	
42	Supplementary Materials	0	0	True	
43	Supplementary Materials List	0	0	True	
44	Supplementary Figures	1	1	True	8
45	Supplementary Tables	5	5	True	7 7 12 11 10
