GeneName1,GeneName2,Probability,Number genomes pair conserved
SCO0186,SCO0187,100,21
SCO0216,SCO0217,95,77
SCO0217,SCO0218,100,44
SCO0218,SCO0219,100,44
SCO0275,SCO0276,97,11
SCO0290,SCO0291,100,79
SCO0379,SCO0380,100,21
SCO0381,SCO0382,100,43
SCO0382,SCO0383,100,20
SCO0392,SCO0393,100,15
SCO0438,SCO0439,100,22
SCO0439,SCO0440,100,28
SCO0441,SCO0442,100,73
SCO0442,SCO0443,100,80
SCO0453,SCO0454,100,14
SCO0454,SCO0455,100,91
SCO0578,SCO0579,96,10
SCO0618,SCO0619,100,22
SCO0632,SCO0633,96,10
SCO0639,SCO0640,100,13
SCO0660,SCO0661,100,41
SCO0661,SCO0662,100,103
SCO0689,SCO0690,100,46
SCO0706,SCO0707,100,40
SCO0707,SCO0708,100,93
SCO0708,SCO0709,100,113
SCO0709,SCO0710,100,111
SCO0721,SCO0722,100,23
SCO0754,SCO0755,96,10
SCO0815,SCO0816,100,47
SCO0816,SCO0817,100,14
SCO0823,SCO0824,100,43
SCO0851,SCO0852,100,29
SCO0870,SCO0871,100,49
SCO0871,SCO0872,100,19
SCO0910,SCO0911,96,10
SCO0911,SCO0912,100,13
SCO0920,SCO0921,97,11
SCO0922,SCO0923,100,149
SCO0923,SCO0924,100,23
SCO0982,SCO0983,100,34
SCO1081,SCO1082,100,111
SCO1131,SCO1132,100,45
SCO1132,SCO1133,100,46
SCO1133,SCO1134,100,45
SCO1136,SCO1137,100,59
SCO1173,SCO1174,100,16
SCO1183,SCO1184,100,14
SCO1197,SCO1198,100,27
SCO1212,SCO1213,100,47
SCO1231,SCO1232,100,21
SCO1232,SCO1233,100,26
SCO1233,SCO1234,100,24
SCO1234,SCO1235,100,74
SCO1235,SCO1236,100,68
SCO1244,SCO1245,100,34
SCO1245,SCO1246,100,57
SCO1268,SCO1269,100,107
SCO1269,SCO1270,100,127
SCO1367,SCO1368,100,40
SCO1383,SCO1384,100,20
SCO1384,SCO1385,97,11
SCO1385,SCO1386,100,15
SCO1386,SCO1387,100,20
SCO1390,SCO1391,100,36
SCO1440,SCO1441,100,95
SCO1472,SCO1473,100,103
SCO1478,SCO1479,100,16
SCO1479,SCO1480,100,15
SCO1481,SCO1482,98,12
SCO1482,SCO1483,100,17
SCO1483,SCO1484,100,135
SCO1484,SCO1485,96,10
SCO1486,SCO1487,100,79
SCO1487,SCO1488,100,59
SCO1490,SCO1491,100,45
SCO1494,SCO1495,100,107
SCO1495,SCO1496,100,41
SCO1498,SCO1499,100,22
SCO1499,SCO1500,100,30
SCO1500,SCO1501,100,48
SCO1508,SCO1509,100,13
SCO1513,SCO1514,100,31
SCO1514,SCO1515,100,22
SCO1515,SCO1516,100,96
SCO1516,SCO1517,100,25
SCO1517,SCO1518,100,19
SCO1518,SCO1519,100,99
SCO1519,SCO1520,100,83
SCO1522,SCO1523,100,61
SCO1526,SCO1527,96,10
SCO1530,SCO1531,100,15
SCO1546,SCO1547,100,32
SCO1557,SCO1558,100,114
SCO1558,SCO1559,100,130
SCO1594,SCO1595,100,170
SCO1597,SCO1598,100,15
SCO1598,SCO1599,100,107
SCO1599,SCO1600,100,82
SCO1631,SCO1632,96,10
