gene,operonID
SCO0001,1
SCO0002,2
SCO0003,3
SCO0004,3
SCO0005,3
SCO0006,3
SCO0007,4
SCO0008,4
SCO0009,5
SCO0010,6
SCO0011,7
SCO0012,7
SCO0013,8
SCO0014,9
SCO0015,10
SCO0016,11
SCO0017,11
SCO0018,12
SCO0019,13
SCO0020,14
SCO0021,14
SCO0022,15
SCO0025,16
SCO0026,17
SCO0027,18
SCO0028,19
SCO0029,20
SCO0030,21
SCO0031,22
SCO0032,22
SCO0033,23
SCO0034,24
SCO0035,25
SCO0036,25
SCO0037,26
SCO0038,26
SCO0039,27
SCO0040,27
SCO0041,27
SCO0042,27
SCO0043,28
SCO0044,29
SCO0045,29
SCO0046,30
SCO0047,31
SCO0048,32
SCO0049,33
SCO0050,34
SCO0051,35
SCO0053,36
SCO0055,37
SCO0056,38
SCO0057,39
SCO0058,40
SCO0059,41
SCO0060,41
SCO0061,42
SCO0062,43
SCO0063,43
SCO0064,43
SCO0065,44
SCO0066,44
SCO0067,44
SCO0068,44
SCO0069,45
SCO0070,46
SCO0071,47
SCO0072,48
SCO0073,49
SCO0074,49
SCO0075,49
SCO0076,50
SCO0079,51
SCO0080,52
SCO0081,53
SCO0083,54
SCO0084,55
SCO0085,56
SCO0086,56
SCO0087,57
SCO0088,58
SCO0089,59
SCO0090,60
SCO0091,61
SCO0092,62
SCO0095,63
SCO0096,64
SCO0097,65
SCO0098,66
SCO0099,67
SCO0101,68
SCO0102,69
SCO0103,69
SCO0104,69
SCO0105,70
SCO0106,71
SCO0107,72
SCO0108,73
SCO0109,74
SCO0110,75
SCO0111,76
SCO0112,77
SCO0113,78
SCO0114,79
SCO0116,80
SCO0117,81
SCO0118,82
SCO0119,83
SCO0120,84
SCO0121,84
SCO0122,85
SCO0123,86
SCO0124,87
SCO0125,87
SCO0126,87
SCO0127,87
SCO0128,87
SCO0129,87
SCO0130,88
SCO0131,89
SCO0132,90
SCO0133,91
SCO0134,92
SCO0135,93
SCO0136,94
SCO0137,94
SCO0138,95
SCO0139,95
SCO0140,95
SCO0141,96
SCO0142,97
SCO0143,98
SCO0144,98
SCO0145,98
SCO0146,99
SCO0147,100
SCO0148,100
SCO0149,101
SCO0150,102
SCO0151,103
SCO0152,103
SCO0153,104
SCO0154,105
SCO0155,106
SCO0156,107
SCO0157,108
SCO0158,108
SCO0159,108
SCO0160,109
SCO0161,109
SCO0162,110
SCO0163,111
SCO0164,112
SCO0165,113
SCO0166,114
SCO0167,115
SCO0168,116
SCO0169,116
SCO0170,117
SCO0171,118
SCO0172,119
SCO0173,120
SCO0174,120
SCO0175,121
SCO0176,122
SCO0177,123
SCO0178,124
SCO0179,125
SCO0180,125
SCO0181,125
SCO0182,126
SCO0183,127
SCO0184,127
SCO0185,127
SCO0186,127
SCO0187,127
SCO0188,127
SCO0189,128
SCO0190,128
SCO0191,128
SCO0192,129
SCO0193,130
SCO0194,131
SCO0195,132
SCO0196,133
SCO0197,134
SCO0198,135
SCO0199,135
SCO0200,135
SCO0201,135
SCO0202,136
SCO0203,137
SCO0204,138
SCO0205,139
SCO0206,140
SCO0207,140
SCO0208,141
SCO0209,142
SCO0210,143
SCO0211,143
SCO0212,144
SCO0213,144
