gene_id	gene_name	TSS	strand	tss_source	promoter_start_genome	promoter_end_genome	GCCGGC_in_promoter	GCCGGC_count	GCCGGC_positions_relative_to_TSS
SC_RS05450	SCO0705	745801	-	Jeong2016_dRNA-seq	745751	746001	False	0	
SC_RS06105	SCO0835	883760	-	GFF_annotation	883710	883960	True	1	17
SC_RS06595	SCO0929	977298	-	Jeong2016_dRNA-seq	977248	977498	False	0	
SC_RS11875	SCO1969	2109316	+	Jeong2016_dRNA-seq	2109116	2109366	False	0	
SC_RS12500	SCO2092	2248858	-	Jeong2016_dRNA-seq	2248808	2249058	False	0	
SC_RS12890	SCO2170	2333833	+	GFF_annotation	2333633	2333883	True	1	-133
SC_RS13205	SCO2235	2405920	+	Jeong2016_dRNA-seq	2405720	2405970	False	0	
SC_RS13305	SCO2256	2423051	+	Jeong2016_dRNA-seq	2422851	2423101	False	0	
SC_RS26345	SCO4837	5269166	+	Jeong2016_dRNA-seq	5268966	5269216	False	0	
SC_RS38275		8016858	+	GFF_annotation	8016658	8016908	False	0	
SC_RS38280	SCO7213	8016644	+	Jeong2016_dRNA-seq	8016444	8016694	False	0	
SC_RS39465	SCO7452	8268311	-	GFF_annotation	8268261	8268511	True	1	-64
