locus_tag	old_locus_tag	tf_family_input	annotation_input	product_gbk	log2FC	delta_methyl_combined	category	all_pfam_domains	top_pfam	best_blast_hit	blast_pident	blast_evalue	best_blast_summary	literature_family_match
SC_RS40740	SCO7711	Sensor kinase	sensor histidine kinase	sensor histidine kinase	3.323752560787572	1.6763	A,B,C	HATPase_c,HisKA_3	HisKA_3 (PF07730, E=2.0e-12)	Q9XAP2|RamR_S._coelicolor	35.484	3.2	Q9XAP2|RamR_S._coelicolor pident=35.5% len=31 E=3.2e+00 bit=18.1	no Pfam-level match
SC_RS38475	SCO7252	Other regulatory	DNA-binding protein NsdB	DNA-binding protein NsdB	9.530292574912137	0.9231	A,B,C		no Pfam hit	P0ACQ4|OxyR_E._coli_K-12	31.034	0.35	P0ACQ4|OxyR_E._coli_K-12 pident=31.0% len=29 E=3.5e-01 bit=20.8	no Pfam-level match
SC_RS08090	SCO1227	HTH (other)	helix-turn-helix transcriptional regulator	helix-turn-helix transcriptional regulator	4.8574849580221	0.8776	A,B,C	HTH_3,HTH_31	HTH_31 (PF13560, E=1.0e-12)	P0ACQ4|OxyR_E._coli_K-12	34.286	3.1	P0ACQ4|OxyR_E._coli_K-12 pident=34.3% len=35 E=3.1e+00 bit=17.7	no Pfam-level match
SC_RS17795	SCO3134	Response regulator	response regulator transcription factor	response regulator transcription factor	3.862293400136804	0.5996	A,B,C	GerE,Response_reg,Sigma70_r4_2	GerE (PF00196, E=1.3e-17)	P0ACJ0|Lrp_E._coli_K-12	29.63	0.038	P0ACJ0|Lrp_E._coli_K-12 pident=29.6% len=27 E=3.8e-02 bit=22.7	TCS Response Regulator GerE/Receiver (S. coelicolor RamR analogue)
SC_RS07750	SCO1160	Sensor kinase	sensor histidine kinase	sensor histidine kinase	7.895713314069832	0.5153	A,B,C	HATPase_c,NIT	NIT (PF08376, E=2.3e-34)	Q9XAP2|RamR_S._coelicolor	50.0	7.2	Q9XAP2|RamR_S._coelicolor pident=50.0% len=16 E=7.2e+00 bit=17.7	no Pfam-level match
SC_RS35610	SCO6685	Response regulator	two-component system response regulator RamR	two-component system response regulator RamR	8.847923903643316	0.4583999999999998	A,B,C	GerE,HTH_23,HTH_28,HTH_IclR,Sigma70_r4,Sigma70_r4_2	GerE (PF00196, E=8.5e-14)	P9WGI1|SigB_M._tuberculosis_H37Rv	66.667	3.9	P9WGI1|SigB_M._tuberculosis_H37Rv pident=66.7% len=9 E=3.9e+00 bit=16.2	TCS Response Regulator GerE/Receiver (S. coelicolor RamR analogue)
SC_RS27300	SCO5027	HTH (other)	winged helix DNA-binding domain-containing protein	winged helix DNA-binding domain-containing protein	-2.0816956167144225	-0.1554999999999999	A,B,C	AlkZ-like	AlkZ-like (PF06224, E=5.3e-55)	P0ACQ4|OxyR_E._coli_K-12	22.581	0.12	P0ACQ4|OxyR_E._coli_K-12 pident=22.6% len=31 E=1.2e-01 bit=21.9	no Pfam-level match
SC_RS32025	SCO5956	TetR	TetR/AcrR family transcriptional regulator	TetR/AcrR family transcriptional regulator	-2.276955921465654	-0.2187000000000001	A,B,C	TetR_N	TetR_N (PF00440, E=3.8e-09)	Q9XAP2|RamR_S._coelicolor	37.5	0.5	Q9XAP2|RamR_S._coelicolor pident=37.5% len=24 E=5.0e-01 bit=19.2	TetR/AcrR (Casadesús & Low 2006 review; methylation-coupled repressors)
SC_RS13145	SCO2223	TetR	TetR/AcrR family transcriptional regulator	TetR/AcrR family transcriptional regulator	-2.7985256796387907	-0.5136	A,B,C	TetR_C_46,TetR_N	TetR_C_46 (PF21943, E=4.1e-36)	P0ACJ0|Lrp_E._coli_K-12	24.211	0.19	P0ACJ0|Lrp_E._coli_K-12 pident=24.2% len=95 E=1.9e-01 bit=20.4	TetR/AcrR (Casadesús & Low 2006 review; methylation-coupled repressors)
SC_RS22780	SCO4122	MarR	MarR family winged helix-turn-helix transcriptional regulator	MarR family winged helix-turn-helix transcriptional regulator	-3.862409740149491	-0.6448	A,B,C	HTH_24,MarR,MarR_2	MarR (PF01047, E=5.2e-09)	P27245|MarR_E._coli_K-12	22.481	3.13e-06	P27245|MarR_E._coli_K-12 pident=22.5% len=129 E=3.1e-06 bit=33.9	MarR (E. coli MarR; methylation-context regulator)
SC_RS38610	SCO7279	HTH (other)	helix-turn-helix domain-containing protein	helix-turn-helix domain-containing protein	1.459130272910083	1.1946	A,B	HTH_25,HTH_3,HTH_31	HTH_3 (PF01381, E=8.9e-10)	P9WGI1|SigB_M._tuberculosis_H37Rv	38.462	1.8	P9WGI1|SigB_M._tuberculosis_H37Rv pident=38.5% len=39 E=1.8e+00 bit=16.9	no Pfam-level match
SC_RS02455	SCO0089	LysR	LysR family transcriptional regulator	LysR family transcriptional regulator	1.996267814330596	0.7856000000000001	A,B	HTH_1,LysR_substrate	LysR_substrate (PF03466, E=1.0e-35)	P0ACQ4|OxyR_E._coli_K-12	31.987	4.42e-29	P0ACQ4|OxyR_E._coli_K-12 pident=32.0% len=297 E=4.4e-29 bit=102.0	LysR/OxyR (E. coli OxyR; agn43 Dam-switch)
SC_RS38785	SCO7314	Sigma factor	SigB/SigF/SigG family RNA polymerase sigma factor	SigB/SigF/SigG family RNA polymerase sigma factor	1.9106358305601812	0.7639	A,B	HTH_23,Sigma70_r2,Sigma70_r3,Sigma70_r4,Sigma70_r4_2	Sigma70_r2 (PF04542, E=2.8e-18)	P9WGI1|SigB_M._tuberculosis_H37Rv	25.751	3.56e-16	P9WGI1|SigB_M._tuberculosis_H37Rv pident=25.8% len=233 E=3.6e-16 bit=67.0	Sigma-70 ECF (M. tuberculosis SigB; m6A-near-σ-box)
SC_RS36220		HTH (other)	helix-turn-helix transcriptional regulator	helix-turn-helix transcriptional regulator	1.7717150262982868	0.6209	A,B		no Pfam hit				no hit	no Pfam-level match
SC_RS06310	SCO0877	HTH (other)	helix-turn-helix transcriptional regulator	helix-turn-helix transcriptional regulator	1.6553679271158672	0.5313	A,B	AAA_16,GerE,HTH_20,HTH_23,Sigma70_r4_2	AAA_16 (PF13191, E=6.4e-18)	P0ACQ4|OxyR_E._coli_K-12	31.746	0.15	P0ACQ4|OxyR_E._coli_K-12 pident=31.7% len=63 E=1.5e-01 bit=23.1	TCS Response Regulator GerE/Receiver (S. coelicolor RamR analogue)
SC_RS29350	SCO5433	Other regulatory	AfsR-like transcriptional regulator TcrA	AfsR-like transcriptional regulator TcrA	1.1870150801249613	0.5193	A,B	AAA_16,SNAP,TPR_1,TPR_10,TPR_12,TPR_16,TPR_17,TPR_2,TPR_7,TPR_8,TPR_MalT	TPR_12 (PF13424, E=3.3e-23)	O25617|HP1021_H._pylori_26695	28.261	0.65	O25617|HP1021_H._pylori_26695 pident=28.3% len=46 E=6.5e-01 bit=20.8	no Pfam-level match
SC_RS13965	SCO2386	Other regulatory	fatty acid biosynthesis transcriptional regulator FasR	fatty acid biosynthesis transcriptional regulator FasR	-1.3096522610330428	-0.1829	A,B	GGDEF_2,HTH_30	HTH_30 (PF13556, E=2.4e-20)	P0ACQ4|OxyR_E._coli_K-12	40.0	1.1	P0ACQ4|OxyR_E._coli_K-12 pident=40.0% len=20 E=1.1e+00 bit=18.9	no Pfam-level match
SC_RS16855	SCO2950	Other regulatory	HU family DNA-binding protein	HU family DNA-binding protein	-1.6613775957407972	-0.507	A,B	Bac_DNA_binding	Bac_DNA_binding (PF00216, E=1.8e-28)	P9WGI1|SigB_M._tuberculosis_H37Rv	39.286	5.3	P9WGI1|SigB_M._tuberculosis_H37Rv pident=39.3% len=28 E=5.3e+00 bit=14.6	no Pfam-level match
SC_RS25370	SCO4639	TetR	TetR/AcrR family transcriptional regulator	TetR/AcrR family transcriptional regulator	-1.2374927770659256	-0.5498	A,B	TetR_N	TetR_N (PF00440, E=2.9e-07)	Q9XAP2|RamR_S._coelicolor	38.095	1.3	Q9XAP2|RamR_S._coelicolor pident=38.1% len=21 E=1.3e+00 bit=17.7	TetR/AcrR (Casadesús & Low 2006 review; methylation-coupled repressors)
