threshold	inst	n	n_both	n_A_only	n_C_only	n_neither	OR
0.5	+101059	75	14	18	25	18	0.56
0.5	+1025654	101	40	26	20	15	1.1538461538461537
0.5	+1045180	97	22	34	16	25	1.0110294117647058
0.5	+1092468	94	26	18	27	23	1.2304526748971194
0.5	+1115327	97	21	7	52	17	0.9807692307692307
0.5	+1127683	78	6	15	25	32	0.512
0.5	+1145008	82	25	7	22	28	4.545454545454546
0.5	+1147652	100	23	10	40	27	1.5525
0.5	+1161370	91	19	14	40	18	0.6107142857142858
0.5	+11652	46	7	7	9	23	2.5555555555555554
0.5	+1168616	96	22	22	21	31	1.4761904761904763
0.5	+1172267	93	27	10	35	21	1.62
0.5	+1178737	80	30	16	16	18	2.109375
0.5	+1180880	87	17	9	34	27	1.5
0.5	+1214414	92	30	8	38	16	1.5789473684210527
0.5	+1231640	112	21	24	38	29	0.6677631578947368
0.5	+1237575	124	22	28	35	39	0.8755102040816326
0.5	+1237998	122	37	11	48	26	1.821969696969697
0.5	+1249043	108	46	24	21	17	1.5515873015873016
0.5	+1282747	99	31	23	23	22	1.289224952741021
0.5	+1296590	109	28	19	31	31	1.4736842105263157
0.5	+1308454	100	14	16	39	31	0.6955128205128205
0.5	+1316552	98	25	18	35	20	0.7936507936507936
0.5	+1326115	107	22	12	33	40	2.2222222222222223
0.5	+1378792	103	15	16	42	30	0.6696428571428571
0.5	+1400216	120	21	18	52	29	0.6506410256410257
0.5	+1420322	118	29	12	57	20	0.847953216374269
0.5	+1447840	98	13	24	16	45	1.5234375
0.5	+1492591	89	21	19	26	23	0.9777327935222672
0.5	+1508040	92	25	6	42	19	1.8849206349206349
0.5	+1517363	100	36	28	19	17	1.150375939849624
0.5	+1517611	98	14	14	49	21	0.42857142857142855
0.5	+1520586	88	14	8	49	17	0.6071428571428571
0.5	+1550661	99	7	28	31	33	0.2661290322580645
0.5	+157430	80	0	14	13	53	0.0
0.5	+1589224	107	12	19	53	23	0.2740814299900695
0.5	+1600572	105	12	13	40	40	0.9230769230769231
0.5	+1608883	113	26	27	30	30	0.9629629629629629
0.5	+1635825	135	20	19	48	48	1.0526315789473684
0.5	+1660893	106	36	26	31	13	0.5806451612903226
0.5	+166674	73	4	2	37	30	1.6216216216216217
0.5	+1675040	117	25	32	17	43	1.9761029411764706
0.5	+1677539	128	28	40	28	32	0.8
0.5	+1740719	99	33	18	23	25	1.9927536231884058
0.5	+1751548	116	45	20	26	25	2.1634615384615383
0.5	+1772486	123	16	24	43	40	0.6201550387596899
0.5	+1788762	121	23	14	58	26	0.7364532019704434
0.5	+1823840	109	29	28	23	29	1.3059006211180124
0.5	+1831095	102	37	35	7	23	3.473469387755102
0.5	+186458	71	15	13	26	17	0.7544378698224852
0.5	+1887435	112	23	17	31	41	1.7893738140417457
0.5	+1895819	110	34	17	37	22	1.1891891891891893
0.5	+190348	61	11	9	21	20	1.164021164021164
0.5	+190480	61	15	6	19	21	2.763157894736842
0.5	+191485	68	28	16	16	8	0.875
0.5	+1923560	121	21	17	48	35	0.9007352941176471
0.5	+1926873	113	5	1	74	33	2.22972972972973
0.5	+1944700	125	34	12	50	29	1.6433333333333333
0.5	+1947798	132	41	23	44	24	0.9723320158102767
0.5	+195942	66	12	10	28	16	0.6857142857142857
0.5	+1966674	123	5	39	6	73	1.5598290598290598
0.5	+1975673	113	4	34	21	54	0.3025210084033613
0.5	+2005471	133	47	35	21	30	1.9183673469387754
0.5	+2016196	122	27	42	7	46	4.224489795918367
0.5	+201830	66	3	15	23	25	0.21739130434782608
0.5	+2021784	138	24	5	83	26	1.5036144578313253
0.5	+2066362	147	22	17	52	56	1.3936651583710407
0.5	+2078947	159	28	19	70	42	0.8842105263157894
0.5	+2101735	123	15	21	45	42	0.6666666666666666
0.5	+210344	71	19	14	19	19	1.3571428571428572
0.5	+2109005	149	56	27	36	30	1.728395061728395
0.5	+2109245	160	21	22	61	56	0.8763040238450075
0.5	+2119598	147	36	44	26	41	1.2902097902097902
0.5	+2128927	132	22	15	81	14	0.25349794238683127
0.5	+2158535	161	26	20	66	49	0.9651515151515152
0.5	+222430	71	13	7	43	8	0.34551495016611294
0.5	+2231811	120	24	22	36	38	1.1515151515151516
0.5	+2236992	145	19	53	21	52	0.8876909254267745
0.5	+224082	72	28	11	21	12	1.4545454545454546
0.5	+2249999	140	22	22	53	43	0.8113207547169812
0.5	+2255111	140	10	24	35	71	0.8452380952380952
0.5	+2268730	135	40	21	47	27	1.094224924012158
0.5	+2271012	142	20	14	64	44	0.9821428571428571
0.5	+2274042	138	44	34	24	36	1.9411764705882353
0.5	+2297085	123	11	21	53	38	0.3755615453728661
0.5	+2318177	138	22	24	56	36	0.5892857142857143
0.5	+232456	67	16	19	15	17	0.9543859649122807
0.5	+23405	63	23	16	9	15	2.3958333333333335
0.5	+2340861	143	46	34	22	41	2.521390374331551
0.5	+2361981	144	45	15	69	15	0.6521739130434783
0.5	+2362188	145	72	20	37	16	1.5567567567567568
0.5	+2400278	155	33	16	90	16	0.36666666666666664
