gene_id,old_locus_tag,gene_name,chrom,start,end,strand,gff_tss,experimental_tss,tss_source,tss
SC_RS02065,,,NC_003888.3,577,699,+,577,,GFF_annotation,577
SC_RS02070,,,NC_003888.3,800,1123,+,800,,GFF_annotation,800
SC_RS02075,SCO0002,,NC_003888.3,1144,3813,+,1144,,GFF_annotation,1144
SC_RS02080,SCO0003,,NC_003888.3,3869,6220,+,3869,,GFF_annotation,3869
SC_RS02085,SCO0004,,NC_003888.3,6346,7173,+,6346,,GFF_annotation,6346
SC_RS02090,SCO0005,,NC_003888.3,7154,9307,+,7154,,GFF_annotation,7154
SC_RS02095,SCO0006,,NC_003888.3,9424,10410,+,9424,,GFF_annotation,9424
SC_RS02100,,,NC_003888.3,10407,11363,+,10407,,GFF_annotation,10407
SC_RS02110,SCO0010,,NC_003888.3,12366,13457,+,12366,,GFF_annotation,12366
SC_RS02120,SCO0012,,NC_003888.3,14044,14343,-,14343,,GFF_annotation,14343
SC_RS02130,SCO0014,,NC_003888.3,15317,15595,-,15595,,GFF_annotation,15595
SC_RS02135,SCO0015,nhaA,NC_003888.3,16070,17302,-,17302,,GFF_annotation,17302
SC_RS02140,SCO0016,,NC_003888.3,17715,17918,+,17715,,GFF_annotation,17715
SC_RS02145,SCO0017,,NC_003888.3,17919,18263,+,17919,,GFF_annotation,17919
SC_RS02150,SCO0018,,NC_003888.3,18485,19363,-,19363,,GFF_annotation,19363
SC_RS02155,SCO0020,,NC_003888.3,19971,21620,+,19971,,GFF_annotation,19971
SC_RS02160,SCO0021,,NC_003888.3,21758,22210,+,21758,,GFF_annotation,21758
SC_RS02180,SCO0026,,NC_003888.3,23343,23831,+,23343,23276.0,Jeong2016_dRNA-seq,23276
SC_RS02185,,,NC_003888.3,24378,24614,-,24614,,GFF_annotation,24614
SC_RS02190,SCO0030,,NC_003888.3,25248,25871,+,25248,,GFF_annotation,25248
SC_RS02195,SCO0031,,NC_003888.3,25843,26385,-,26385,,GFF_annotation,26385
SC_RS02200,SCO0033,,NC_003888.3,26527,28728,-,28728,,GFF_annotation,28728
SC_RS02205,SCO0034,,NC_003888.3,29040,29519,+,29040,,GFF_annotation,29040
SC_RS02210,SCO0035,,NC_003888.3,29605,30054,-,30054,,GFF_annotation,30054
SC_RS02225,SCO0039,,NC_003888.3,31625,32137,+,31625,,GFF_annotation,31625
SC_RS02230,SCO0040,,NC_003888.3,32134,33357,+,32134,,GFF_annotation,32134
SC_RS02235,SCO0041,,NC_003888.3,33360,33845,+,33360,,GFF_annotation,33360
SC_RS02240,SCO0042,,NC_003888.3,33842,34777,+,33842,,GFF_annotation,33842
SC_RS02245,SCO0043,,NC_003888.3,35179,35907,-,35907,,GFF_annotation,35907
SC_RS02250,SCO0044,,NC_003888.3,36006,36674,-,36674,,GFF_annotation,36674
SC_RS02255,SCO0046,,NC_003888.3,36816,37478,+,36816,,GFF_annotation,36816
SC_RS02260,SCO0047,,NC_003888.3,37614,38768,-,38768,,GFF_annotation,38768
SC_RS02265,,,NC_003888.3,39107,39325,-,39325,,GFF_annotation,39325
SC_RS02270,SCO0049,,NC_003888.3,39489,39812,+,39489,,GFF_annotation,39489
SC_RS02275,SCO0050,,NC_003888.3,39901,40212,+,39901,,GFF_annotation,39901
SC_RS02285,SCO0053,,NC_003888.3,41354,42174,+,41354,,GFF_annotation,41354
SC_RS02290,SCO0055,,NC_003888.3,42171,43682,-,43682,43682.0,Jeong2016_dRNA-seq,43682
SC_RS02295,SCO0057,,NC_003888.3,43950,44090,+,43950,,GFF_annotation,43950
SC_RS02305,,,NC_003888.3,44796,44975,+,44796,,GFF_annotation,44796
SC_RS02310,SCO0059,,NC_003888.3,45267,46073,+,45267,,GFF_annotation,45267
SC_RS02315,SCO0060,,NC_003888.3,46064,46201,+,46064,,GFF_annotation,46064
